♦Q, ♣5, ♠A, ♦8, ♠Q | pair
♦Q, ♣5, ♠A, ♦8, ♥8 | pair
♦Q, ♣5, ♠A, ♦8, ♦8 | pair
♦Q, ♣5, ♠A, ♣K, ♠Q | pair
♦Q, ♣5, ♠A, ♣10, ♠Q | pair
♦Q, ♣5, ♠A, ♣10, ♥10 | pair
♦Q, ♣5, ♠A, ♠Q, ♣6 | pair
♦Q, ♣5, ♠A, ♠Q, ♦7 | pair
♦Q, ♣5, ♠A, ♠Q, ♦3 | pair
♦Q, ♣5, ♠A, ♠Q, ♥8 | pair
♦Q, ♣5, ♠A, ♠Q, ♦8 | pair
♦Q, ♣5, ♠A, ♠Q, ♥10 | pair
♦Q, ♣5, ♠A, ♠Q, ♥9 | pair
♦Q, ♣5, ♠A, ♥8, ♦8 | pair
♦Q, ♣5, ♦8, ♣K, ♠Q | pair
♦Q, ♣5, ♦8, ♣K, ♥8 | pair
♦Q, ♣5, ♦8, ♣K, ♦8 | pair
♦Q, ♣5, ♦8, ♣10, ♠Q | pair
♦Q, ♣5, ♦8, ♣10, ♥8 | pair
♦Q, ♣5, ♦8, ♣10, ♦8 | pair
♦Q, ♣5, ♦8, ♣10, ♥10 | pair
♦Q, ♣5, ♦8, ♠Q, ♣6 | pair
♦Q, ♣5, ♦8, ♠Q, ♦7 | pair
♦Q, ♣5, ♦8, ♠Q, ♦3 | pair
♦Q, ♣5, ♦8, ♠Q, ♥8 | two pairs
♦Q, ♣5, ♦8, ♠Q, ♦8 | two pairs
♦Q, ♣5, ♦8, ♠Q, ♥10 | pair
♦Q, ♣5, ♦8, ♠Q, ♥9 | pair
♦Q, ♣5, ♦8, ♣6, ♥8 | pair
♦Q, ♣5, ♦8, ♣6, ♦8 | pair
♦Q, ♣5, ♦8, ♦7, ♥8 | pair
♦Q, ♣5, ♦8, ♦7, ♦8 | pair
♦Q, ♣5, ♦8, ♦3, ♥8 | pair
♦Q, ♣5, ♦8, ♦3, ♦8 | pair
♦Q, ♣5, ♦8, ♥8, ♦8 | three of a kind
♦Q, ♣5, ♦8, ♥8, ♥10 | pair
♦Q, ♣5, ♦8, ♥8, ♥9 | pair
♦Q, ♣5, ♦8, ♦8, ♥10 | pair
♦Q, ♣5, ♦8, ♦8, ♥9 | pair
♦Q, ♣5, ♣K, ♣10, ♠Q | pair
♦Q, ♣5, ♣K, ♣10, ♥10 | pair
♦Q, ♣5, ♣K, ♠Q, ♣6 | pair
♦Q, ♣5, ♣K, ♠Q, ♦7 | pair
♦Q, ♣5, ♣K, ♠Q, ♦3 | pair
♦Q, ♣5, ♣K, ♠Q, ♥8 | pair
♦Q, ♣5, ♣K, ♠Q, ♦8 | pair
♦Q, ♣5, ♣K, ♠Q, ♥10 | pair
♦Q, ♣5, ♣K, ♠Q, ♥9 | pair
♦Q, ♣5, ♣K, ♥8, ♦8 | pair
♦Q, ♣5, ♣10, ♠Q, ♣6 | pair
♦Q, ♣5, ♣10, ♠Q, ♦7 | pair
♦Q, ♣5, ♣10, ♠Q, ♦3 | pair
♦Q, ♣5, ♣10, ♠Q, ♥8 | pair
♦Q, ♣5, ♣10, ♠Q, ♦8 | pair
♦Q, ♣5, ♣10, ♠Q, ♥10 | two pairs
♦Q, ♣5, ♣10, ♠Q, ♥9 | pair
♦Q, ♣5, ♣10, ♣6, ♥10 | pair
♦Q, ♣5, ♣10, ♦7, ♥10 | pair
♦Q, ♣5, ♣10, ♦3, ♥10 | pair
♦Q, ♣5, ♣10, ♥8, ♦8 | pair
♦Q, ♣5, ♣10, ♥8, ♥10 | pair
♦Q, ♣5, ♣10, ♦8, ♥10 | pair
♦Q, ♣5, ♣10, ♥10, ♥9 | pair
♦Q, ♣5, ♠Q, ♣6, ♦7 | pair
♦Q, ♣5, ♠Q, ♣6, ♦3 | pair
♦Q, ♣5, ♠Q, ♣6, ♥8 | pair
♦Q, ♣5, ♠Q, ♣6, ♦8 | pair
♦Q, ♣5, ♠Q, ♣6, ♥10 | pair
♦Q, ♣5, ♠Q, ♣6, ♥9 | pair
♦Q, ♣5, ♠Q, ♦7, ♦3 | pair
♦Q, ♣5, ♠Q, ♦7, ♥8 | pair
♦Q, ♣5, ♠Q, ♦7, ♦8 | pair
♦Q, ♣5, ♠Q, ♦7, ♥10 | pair
♦Q, ♣5, ♠Q, ♦7, ♥9 | pair
♦Q, ♣5, ♠Q, ♦3, ♥8 | pair
♦Q, ♣5, ♠Q, ♦3, ♦8 | pair
♦Q, ♣5, ♠Q, ♦3, ♥10 | pair
♦Q, ♣5, ♠Q, ♦3, ♥9 | pair
♦Q, ♣5, ♠Q, ♥8, ♦8 | two pairs
♦Q, ♣5, ♠Q, ♥8, ♥10 | pair
♦Q, ♣5, ♠Q, ♥8, ♥9 | pair
♦Q, ♣5, ♠Q, ♦8, ♥10 | pair
♦Q, ♣5, ♠Q, ♦8, ♥9 | pair
♦Q, ♣5, ♠Q, ♥10, ♥9 | pair
♦Q, ♣5, ♣6, ♥8, ♦8 | pair
♦Q, ♣5, ♦7, ♥8, ♦8 | pair
♦Q, ♣5, ♦3, ♥8, ♦8 | pair
♦Q, ♣5, ♥8, ♦8, ♥10 | pair
♦Q, ♣5, ♥8, ♦8, ♥9 | pair
♦Q, ♠A, ♦8, ♣K, ♠Q | pair
♦Q, ♠A, ♦8, ♣K, ♥8 | pair
♦Q, ♠A, ♦8, ♣K, ♦8 | pair
♦Q, ♠A, ♦8, ♣10, ♠Q | pair
♦Q, ♠A, ♦8, ♣10, ♥8 | pair
♦Q, ♠A, ♦8, ♣10, ♦8 | pair
♦Q, ♠A, ♦8, ♣10, ♥10 | pair
♦Q, ♠A, ♦8, ♠Q, ♣6 | pair
♦Q, ♠A, ♦8, ♠Q, ♦7 | pair
♦Q, ♠A, ♦8, ♠Q, ♦3 | pair
♦Q, ♠A, ♦8, ♠Q, ♥8 | two pairs
♦Q, ♠A, ♦8, ♠Q, ♦8 | two pairs
♦Q, ♠A, ♦8, ♠Q, ♥10 | pair
♦Q, ♠A, ♦8, ♠Q, ♥9 | pair
♦Q, ♠A, ♦8, ♣6, ♥8 | pair
♦Q, ♠A, ♦8, ♣6, ♦8 | pair
♦Q, ♠A, ♦8, ♦7, ♥8 | pair
♦Q, ♠A, ♦8, ♦7, ♦8 | pair
♦Q, ♠A, ♦8, ♦3, ♥8 | pair
♦Q, ♠A, ♦8, ♦3, ♦8 | pair
♦Q, ♠A, ♦8, ♥8, ♦8 | three of a kind
♦Q, ♠A, ♦8, ♥8, ♥10 | pair
♦Q, ♠A, ♦8, ♥8, ♥9 | pair
♦Q, ♠A, ♦8, ♦8, ♥10 | pair
♦Q, ♠A, ♦8, ♦8, ♥9 | pair
♦Q, ♠A, ♣K, ♣10, ♠Q | pair
♦Q, ♠A, ♣K, ♣10, ♥10 | pair
♦Q, ♠A, ♣K, ♠Q, ♣6 | pair
♦Q, ♠A, ♣K, ♠Q, ♦7 | pair
♦Q, ♠A, ♣K, ♠Q, ♦3 | pair
♦Q, ♠A, ♣K, ♠Q, ♥8 | pair
♦Q, ♠A, ♣K, ♠Q, ♦8 | pair
♦Q, ♠A, ♣K, ♠Q, ♥10 | pair
♦Q, ♠A, ♣K, ♠Q, ♥9 | pair
♦Q, ♠A, ♣K, ♥8, ♦8 | pair
♦Q, ♠A, ♣10, ♠Q, ♣6 | pair
♦Q, ♠A, ♣10, ♠Q, ♦7 | pair
♦Q, ♠A, ♣10, ♠Q, ♦3 | pair
♦Q, ♠A, ♣10, ♠Q, ♥8 | pair
♦Q, ♠A, ♣10, ♠Q, ♦8 | pair
♦Q, ♠A, ♣10, ♠Q, ♥10 | two pairs
♦Q, ♠A, ♣10, ♠Q, ♥9 | pair
♦Q, ♠A, ♣10, ♣6, ♥10 | pair
♦Q, ♠A, ♣10, ♦7, ♥10 | pair
♦Q, ♠A, ♣10, ♦3, ♥10 | pair
♦Q, ♠A, ♣10, ♥8, ♦8 | pair
♦Q, ♠A, ♣10, ♥8, ♥10 | pair
♦Q, ♠A, ♣10, ♦8, ♥10 | pair
♦Q, ♠A, ♣10, ♥10, ♥9 | pair
♦Q, ♠A, ♠Q, ♣6, ♦7 | pair
♦Q, ♠A, ♠Q, ♣6, ♦3 | pair
♦Q, ♠A, ♠Q, ♣6, ♥8 | pair
♦Q, ♠A, ♠Q, ♣6, ♦8 | pair
♦Q, ♠A, ♠Q, ♣6, ♥10 | pair
♦Q, ♠A, ♠Q, ♣6, ♥9 | pair
♦Q, ♠A, ♠Q, ♦7, ♦3 | pair
♦Q, ♠A, ♠Q, ♦7, ♥8 | pair
♦Q, ♠A, ♠Q, ♦7, ♦8 | pair
♦Q, ♠A, ♠Q, ♦7, ♥10 | pair
♦Q, ♠A, ♠Q, ♦7, ♥9 | pair
♦Q, ♠A, ♠Q, ♦3, ♥8 | pair
♦Q, ♠A, ♠Q, ♦3, ♦8 | pair
♦Q, ♠A, ♠Q, ♦3, ♥10 | pair
♦Q, ♠A, ♠Q, ♦3, ♥9 | pair
♦Q, ♠A, ♠Q, ♥8, ♦8 | two pairs
♦Q, ♠A, ♠Q, ♥8, ♥10 | pair
♦Q, ♠A, ♠Q, ♥8, ♥9 | pair
♦Q, ♠A, ♠Q, ♦8, ♥10 | pair
♦Q, ♠A, ♠Q, ♦8, ♥9 | pair
