♣2, ♣6, ♦5, ♦6, ♥A | pair
♣2, ♣6, ♦5, ♦6, ♣J | pair
♣2, ♣6, ♦5, ♦6, ♥K | pair
♣2, ♣6, ♦5, ♦6, ♥4 | pair
♣2, ♣6, ♦5, ♦6, ♣2 | two pairs
♣2, ♣6, ♦5, ♦6, ♠J | pair
♣2, ♣6, ♦5, ♦6, ♣J | pair
♣2, ♣6, ♦5, ♦6, ♣Q | pair
♣2, ♣6, ♦5, ♥A, ♣2 | pair
♣2, ♣6, ♦5, ♣J, ♣2 | pair
♣2, ♣6, ♦5, ♣J, ♠J | pair
♣2, ♣6, ♦5, ♣J, ♣J | pair
♣2, ♣6, ♦5, ♥K, ♣2 | pair
♣2, ♣6, ♦5, ♥4, ♣2 | pair
♣2, ♣6, ♦5, ♣2, ♠J | pair
♣2, ♣6, ♦5, ♣2, ♣J | pair
♣2, ♣6, ♦5, ♣2, ♣Q | pair
♣2, ♣6, ♦5, ♠J, ♣J | pair
♣2, ♣6, ♦6, ♥A, ♣J | pair
♣2, ♣6, ♦6, ♥A, ♥K | pair
♣2, ♣6, ♦6, ♥A, ♥4 | pair
♣2, ♣6, ♦6, ♥A, ♣2 | two pairs
♣2, ♣6, ♦6, ♥A, ♠J | pair
♣2, ♣6, ♦6, ♥A, ♣J | pair
♣2, ♣6, ♦6, ♥A, ♣Q | pair
♣2, ♣6, ♦6, ♣J, ♥K | pair
♣2, ♣6, ♦6, ♣J, ♥4 | pair
♣2, ♣6, ♦6, ♣J, ♣2 | two pairs
♣2, ♣6, ♦6, ♣J, ♠J | two pairs
♣2, ♣6, ♦6, ♣J, ♣J | two pairs
♣2, ♣6, ♦6, ♣J, ♣Q | pair
♣2, ♣6, ♦6, ♥K, ♥4 | pair
♣2, ♣6, ♦6, ♥K, ♣2 | two pairs
♣2, ♣6, ♦6, ♥K, ♠J | pair
♣2, ♣6, ♦6, ♥K, ♣J | pair
♣2, ♣6, ♦6, ♥K, ♣Q | pair
♣2, ♣6, ♦6, ♥4, ♣2 | two pairs
♣2, ♣6, ♦6, ♥4, ♠J | pair
♣2, ♣6, ♦6, ♥4, ♣J | pair
♣2, ♣6, ♦6, ♥4, ♣Q | pair
♣2, ♣6, ♦6, ♣2, ♠J | two pairs
♣2, ♣6, ♦6, ♣2, ♣J | two pairs
♣2, ♣6, ♦6, ♣2, ♣Q | two pairs
♣2, ♣6, ♦6, ♠J, ♣J | two pairs
♣2, ♣6, ♦6, ♠J, ♣Q | pair
♣2, ♣6, ♦6, ♣J, ♣Q | pair
♣2, ♣6, ♥A, ♣J, ♣2 | pair
♣2, ♣6, ♥A, ♣J, ♠J | pair
♣2, ♣6, ♥A, ♣J, ♣J | pair
♣2, ♣6, ♥A, ♥K, ♣2 | pair
♣2, ♣6, ♥A, ♥4, ♣2 | pair
♣2, ♣6, ♥A, ♣2, ♠J | pair
♣2, ♣6, ♥A, ♣2, ♣J | pair
♣2, ♣6, ♥A, ♣2, ♣Q | pair
♣2, ♣6, ♥A, ♠J, ♣J | pair
♣2, ♣6, ♣J, ♥K, ♣2 | pair
♣2, ♣6, ♣J, ♥K, ♠J | pair
♣2, ♣6, ♣J, ♥K, ♣J | pair
♣2, ♣6, ♣J, ♥4, ♣2 | pair
♣2, ♣6, ♣J, ♥4, ♠J | pair
♣2, ♣6, ♣J, ♥4, ♣J | pair
♣2, ♣6, ♣J, ♣2, ♠J | two pairs
♣2, ♣6, ♣J, ♣2, ♣J | flush
♣2, ♣6, ♣J, ♣2, ♣Q | flush
♣2, ♣6, ♣J, ♠J, ♣J | three of a kind
♣2, ♣6, ♣J, ♠J, ♣Q | pair
♣2, ♣6, ♣J, ♣J, ♣Q | flush
♣2, ♣6, ♥K, ♥4, ♣2 | pair
♣2, ♣6, ♥K, ♣2, ♠J | pair
♣2, ♣6, ♥K, ♣2, ♣J | pair
♣2, ♣6, ♥K, ♣2, ♣Q | pair
♣2, ♣6, ♥K, ♠J, ♣J | pair
♣2, ♣6, ♥4, ♣2, ♠J | pair
♣2, ♣6, ♥4, ♣2, ♣J | pair
♣2, ♣6, ♥4, ♣2, ♣Q | pair
♣2, ♣6, ♥4, ♠J, ♣J | pair
♣2, ♣6, ♣2, ♠J, ♣J | two pairs
♣2, ♣6, ♣2, ♠J, ♣Q | pair
♣2, ♣6, ♣2, ♣J, ♣Q | flush
♣2, ♣6, ♠J, ♣J, ♣Q | pair
♣2, ♦5, ♦6, ♥A, ♣2 | pair
♣2, ♦5, ♦6, ♣J, ♣2 | pair
♣2, ♦5, ♦6, ♣J, ♠J | pair
♣2, ♦5, ♦6, ♣J, ♣J | pair
♣2, ♦5, ♦6, ♥K, ♣2 | pair
♣2, ♦5, ♦6, ♥4, ♣2 | pair
♣2, ♦5, ♦6, ♣2, ♠J | pair
♣2, ♦5, ♦6, ♣2, ♣J | pair
♣2, ♦5, ♦6, ♣2, ♣Q | pair
♣2, ♦5, ♦6, ♠J, ♣J | pair
♣2, ♦5, ♥A, ♣J, ♣2 | pair
♣2, ♦5, ♥A, ♣J, ♠J | pair
♣2, ♦5, ♥A, ♣J, ♣J | pair
♣2, ♦5, ♥A, ♥K, ♣2 | pair
♣2, ♦5, ♥A, ♥4, ♣2 | pair
♣2, ♦5, ♥A, ♣2, ♠J | pair
♣2, ♦5, ♥A, ♣2, ♣J | pair
♣2, ♦5, ♥A, ♣2, ♣Q | pair
♣2, ♦5, ♥A, ♠J, ♣J | pair
♣2, ♦5, ♣J, ♥K, ♣2 | pair
♣2, ♦5, ♣J, ♥K, ♠J | pair
♣2, ♦5, ♣J, ♥K, ♣J | pair
♣2, ♦5, ♣J, ♥4, ♣2 | pair
♣2, ♦5, ♣J, ♥4, ♠J | pair
♣2, ♦5, ♣J, ♥4, ♣J | pair
♣2, ♦5, ♣J, ♣2, ♠J | two pairs
♣2, ♦5, ♣J, ♣2, ♣J | two pairs
♣2, ♦5, ♣J, ♣2, ♣Q | pair
♣2, ♦5, ♣J, ♠J, ♣J | three of a kind
♣2, ♦5, ♣J, ♠J, ♣Q | pair
♣2, ♦5, ♣J, ♣J, ♣Q | pair
♣2, ♦5, ♥K, ♥4, ♣2 | pair
♣2, ♦5, ♥K, ♣2, ♠J | pair
♣2, ♦5, ♥K, ♣2, ♣J | pair
♣2, ♦5, ♥K, ♣2, ♣Q | pair
♣2, ♦5, ♥K, ♠J, ♣J | pair
♣2, ♦5, ♥4, ♣2, ♠J | pair
♣2, ♦5, ♥4, ♣2, ♣J | pair
♣2, ♦5, ♥4, ♣2, ♣Q | pair
♣2, ♦5, ♥4, ♠J, ♣J | pair
♣2, ♦5, ♣2, ♠J, ♣J | two pairs
♣2, ♦5, ♣2, ♠J, ♣Q | pair
♣2, ♦5, ♣2, ♣J, ♣Q | pair
♣2, ♦5, ♠J, ♣J, ♣Q | pair
♣2, ♦6, ♥A, ♣J, ♣2 | pair
♣2, ♦6, ♥A, ♣J, ♠J | pair
♣2, ♦6, ♥A, ♣J, ♣J | pair
♣2, ♦6, ♥A, ♥K, ♣2 | pair
♣2, ♦6, ♥A, ♥4, ♣2 | pair
♣2, ♦6, ♥A, ♣2, ♠J | pair
♣2, ♦6, ♥A, ♣2, ♣J | pair
♣2, ♦6, ♥A, ♣2, ♣Q | pair
