♦Q, ♥6, ♥3, ♦4, ♦3 | pair
♦Q, ♥6, ♥3, ♦4, ♥6 | pair
♦Q, ♥6, ♥3, ♦4, ♠3 | pair
♦Q, ♥6, ♥3, ♦4, ♦6 | pair
♦Q, ♥6, ♥3, ♦A, ♦3 | pair
♦Q, ♥6, ♥3, ♦A, ♥6 | pair
♦Q, ♥6, ♥3, ♦A, ♠3 | pair
♦Q, ♥6, ♥3, ♦A, ♦6 | pair
♦Q, ♥6, ♥3, ♣9, ♦3 | pair
♦Q, ♥6, ♥3, ♣9, ♥6 | pair
♦Q, ♥6, ♥3, ♣9, ♠3 | pair
♦Q, ♥6, ♥3, ♣9, ♦6 | pair
♦Q, ♥6, ♥3, ♦3, ♥6 | two pairs
♦Q, ♥6, ♥3, ♦3, ♠3 | three of a kind
♦Q, ♥6, ♥3, ♦3, ♠K | pair
♦Q, ♥6, ♥3, ♦3, ♦7 | pair
♦Q, ♥6, ♥3, ♦3, ♥7 | pair
♦Q, ♥6, ♥3, ♦3, ♣2 | pair
♦Q, ♥6, ♥3, ♦3, ♦6 | two pairs
♦Q, ♥6, ♥3, ♦3, ♣8 | pair
♦Q, ♥6, ♥3, ♦3, ♣7 | pair
♦Q, ♥6, ♥3, ♥6, ♠3 | two pairs
♦Q, ♥6, ♥3, ♥6, ♠K | pair
♦Q, ♥6, ♥3, ♥6, ♦7 | pair
♦Q, ♥6, ♥3, ♥6, ♥7 | pair
♦Q, ♥6, ♥3, ♥6, ♣2 | pair
♦Q, ♥6, ♥3, ♥6, ♦6 | three of a kind
♦Q, ♥6, ♥3, ♥6, ♣8 | pair
♦Q, ♥6, ♥3, ♥6, ♣7 | pair
♦Q, ♥6, ♥3, ♠3, ♠K | pair
♦Q, ♥6, ♥3, ♠3, ♦7 | pair
♦Q, ♥6, ♥3, ♠3, ♥7 | pair
♦Q, ♥6, ♥3, ♠3, ♣2 | pair
♦Q, ♥6, ♥3, ♠3, ♦6 | two pairs
♦Q, ♥6, ♥3, ♠3, ♣8 | pair
♦Q, ♥6, ♥3, ♠3, ♣7 | pair
♦Q, ♥6, ♥3, ♠K, ♦6 | pair
♦Q, ♥6, ♥3, ♦7, ♥7 | pair
♦Q, ♥6, ♥3, ♦7, ♦6 | pair
♦Q, ♥6, ♥3, ♦7, ♣7 | pair
♦Q, ♥6, ♥3, ♥7, ♦6 | pair
♦Q, ♥6, ♥3, ♥7, ♣7 | pair
♦Q, ♥6, ♥3, ♣2, ♦6 | pair
♦Q, ♥6, ♥3, ♦6, ♣8 | pair
♦Q, ♥6, ♥3, ♦6, ♣7 | pair
♦Q, ♥6, ♦4, ♦A, ♥6 | pair
♦Q, ♥6, ♦4, ♦A, ♦6 | pair
♦Q, ♥6, ♦4, ♣9, ♥6 | pair
♦Q, ♥6, ♦4, ♣9, ♦6 | pair
♦Q, ♥6, ♦4, ♦3, ♥6 | pair
♦Q, ♥6, ♦4, ♦3, ♠3 | pair
♦Q, ♥6, ♦4, ♦3, ♦6 | pair
♦Q, ♥6, ♦4, ♥6, ♠3 | pair
♦Q, ♥6, ♦4, ♥6, ♠K | pair
♦Q, ♥6, ♦4, ♥6, ♦7 | pair
♦Q, ♥6, ♦4, ♥6, ♥7 | pair
♦Q, ♥6, ♦4, ♥6, ♣2 | pair
