♠7, ♦7, ♦3, ♥8, ♣2 | pair
♠7, ♦7, ♦3, ♥8, ♣7 | three of a kind
♠7, ♦7, ♦3, ♥8, ♦J | pair
♠7, ♦7, ♦3, ♥8, ♠Q | pair
♠7, ♦7, ♦3, ♥8, ♣3 | two pairs
♠7, ♦7, ♦3, ♥8, ♦Q | pair
♠7, ♦7, ♦3, ♥8, ♠2 | pair
♠7, ♦7, ♦3, ♥8, ♦10 | pair
♠7, ♦7, ♦3, ♥8, ♣2 | pair
♠7, ♦7, ♦3, ♥8, ♥4 | pair
♠7, ♦7, ♦3, ♥8, ♣5 | pair
♠7, ♦7, ♦3, ♥8, ♣J | pair
♠7, ♦7, ♦3, ♣2, ♣7 | three of a kind
♠7, ♦7, ♦3, ♣2, ♦J | pair
♠7, ♦7, ♦3, ♣2, ♠Q | pair
♠7, ♦7, ♦3, ♣2, ♣3 | two pairs
♠7, ♦7, ♦3, ♣2, ♦Q | pair
♠7, ♦7, ♦3, ♣2, ♠2 | two pairs
♠7, ♦7, ♦3, ♣2, ♦10 | pair
♠7, ♦7, ♦3, ♣2, ♣2 | two pairs
♠7, ♦7, ♦3, ♣2, ♥4 | pair
♠7, ♦7, ♦3, ♣2, ♣5 | pair
♠7, ♦7, ♦3, ♣2, ♣J | pair
♠7, ♦7, ♦3, ♣7, ♦J | three of a kind
♠7, ♦7, ♦3, ♣7, ♠Q | three of a kind
♠7, ♦7, ♦3, ♣7, ♣3 | fullhouse
♠7, ♦7, ♦3, ♣7, ♦Q | three of a kind
♠7, ♦7, ♦3, ♣7, ♠2 | three of a kind
♠7, ♦7, ♦3, ♣7, ♦10 | three of a kind
♠7, ♦7, ♦3, ♣7, ♣2 | three of a kind
♠7, ♦7, ♦3, ♣7, ♥4 | three of a kind
♠7, ♦7, ♦3, ♣7, ♣5 | three of a kind
♠7, ♦7, ♦3, ♣7, ♣J | three of a kind
♠7, ♦7, ♦3, ♦J, ♠Q | pair
♠7, ♦7, ♦3, ♦J, ♣3 | two pairs
♠7, ♦7, ♦3, ♦J, ♦Q | pair
♠7, ♦7, ♦3, ♦J, ♠2 | pair
♠7, ♦7, ♦3, ♦J, ♦10 | pair
♠7, ♦7, ♦3, ♦J, ♣2 | pair
♠7, ♦7, ♦3, ♦J, ♥4 | pair
♠7, ♦7, ♦3, ♦J, ♣5 | pair
♠7, ♦7, ♦3, ♦J, ♣J | two pairs
♠7, ♦7, ♦3, ♠Q, ♣3 | two pairs
♠7, ♦7, ♦3, ♠Q, ♦Q | two pairs
♠7, ♦7, ♦3, ♠Q, ♠2 | pair
♠7, ♦7, ♦3, ♠Q, ♦10 | pair
♠7, ♦7, ♦3, ♠Q, ♣2 | pair
♠7, ♦7, ♦3, ♠Q, ♥4 | pair
♠7, ♦7, ♦3, ♠Q, ♣5 | pair
♠7, ♦7, ♦3, ♠Q, ♣J | pair
♠7, ♦7, ♦3, ♣3, ♦Q | two pairs
♠7, ♦7, ♦3, ♣3, ♠2 | two pairs
♠7, ♦7, ♦3, ♣3, ♦10 | two pairs
♠7, ♦7, ♦3, ♣3, ♣2 | two pairs
♠7, ♦7, ♦3, ♣3, ♥4 | two pairs
♠7, ♦7, ♦3, ♣3, ♣5 | two pairs
♠7, ♦7, ♦3, ♣3, ♣J | two pairs
♠7, ♦7, ♦3, ♦Q, ♠2 | pair
♠7, ♦7, ♦3, ♦Q, ♦10 | pair
♠7, ♦7, ♦3, ♦Q, ♣2 | pair
♠7, ♦7, ♦3, ♦Q, ♥4 | pair
♠7, ♦7, ♦3, ♦Q, ♣5 | pair
♠7, ♦7, ♦3, ♦Q, ♣J | pair
♠7, ♦7, ♦3, ♠2, ♦10 | pair
♠7, ♦7, ♦3, ♠2, ♣2 | two pairs
♠7, ♦7, ♦3, ♠2, ♥4 | pair
♠7, ♦7, ♦3, ♠2, ♣5 | pair
♠7, ♦7, ♦3, ♠2, ♣J | pair
♠7, ♦7, ♦3, ♦10, ♣2 | pair
♠7, ♦7, ♦3, ♦10, ♥4 | pair
♠7, ♦7, ♦3, ♦10, ♣5 | pair
♠7, ♦7, ♦3, ♦10, ♣J | pair
♠7, ♦7, ♦3, ♣2, ♥4 | pair
♠7, ♦7, ♦3, ♣2, ♣5 | pair
♠7, ♦7, ♦3, ♣2, ♣J | pair
♠7, ♦7, ♦3, ♥4, ♣5 | pair
♠7, ♦7, ♦3, ♥4, ♣J | pair
♠7, ♦7, ♦3, ♣5, ♣J | pair
♠7, ♦7, ♥8, ♣2, ♣7 | three of a kind
♠7, ♦7, ♥8, ♣2, ♦J | pair
♠7, ♦7, ♥8, ♣2, ♠Q | pair
♠7, ♦7, ♥8, ♣2, ♣3 | pair
♠7, ♦7, ♥8, ♣2, ♦Q | pair
♠7, ♦7, ♥8, ♣2, ♠2 | two pairs
♠7, ♦7, ♥8, ♣2, ♦10 | pair
♠7, ♦7, ♥8, ♣2, ♣2 | two pairs
♠7, ♦7, ♥8, ♣2, ♥4 | pair
♠7, ♦7, ♥8, ♣2, ♣5 | pair
♠7, ♦7, ♥8, ♣2, ♣J | pair
♠7, ♦7, ♥8, ♣7, ♦J | three of a kind
♠7, ♦7, ♥8, ♣7, ♠Q | three of a kind
♠7, ♦7, ♥8, ♣7, ♣3 | three of a kind
♠7, ♦7, ♥8, ♣7, ♦Q | three of a kind
♠7, ♦7, ♥8, ♣7, ♠2 | three of a kind
♠7, ♦7, ♥8, ♣7, ♦10 | three of a kind
♠7, ♦7, ♥8, ♣7, ♣2 | three of a kind
♠7, ♦7, ♥8, ♣7, ♥4 | three of a kind
♠7, ♦7, ♥8, ♣7, ♣5 | three of a kind
♠7, ♦7, ♥8, ♣7, ♣J | three of a kind
♠7, ♦7, ♥8, ♦J, ♠Q | pair
♠7, ♦7, ♥8, ♦J, ♣3 | pair
♠7, ♦7, ♥8, ♦J, ♦Q | pair
♠7, ♦7, ♥8, ♦J, ♠2 | pair
♠7, ♦7, ♥8, ♦J, ♦10 | pair
♠7, ♦7, ♥8, ♦J, ♣2 | pair
♠7, ♦7, ♥8, ♦J, ♥4 | pair
♠7, ♦7, ♥8, ♦J, ♣5 | pair
♠7, ♦7, ♥8, ♦J, ♣J | two pairs
♠7, ♦7, ♥8, ♠Q, ♣3 | pair
♠7, ♦7, ♥8, ♠Q, ♦Q | two pairs
♠7, ♦7, ♥8, ♠Q, ♠2 | pair
♠7, ♦7, ♥8, ♠Q, ♦10 | pair
♠7, ♦7, ♥8, ♠Q, ♣2 | pair
♠7, ♦7, ♥8, ♠Q, ♥4 | pair
