♠Q, ♥A, ♦8, ♣J, ♥8 | pair
♠Q, ♥A, ♦8, ♣J, ♣8 | pair
♠Q, ♥A, ♦8, ♣J, ♥Q | pair
♠Q, ♥A, ♦8, ♣J, ♥Q | pair
♠Q, ♥A, ♦8, ♣J, ♦8 | pair
♠Q, ♥A, ♦8, ♣J, ♥Q | pair
♠Q, ♥A, ♦8, ♣J, ♦8 | pair
♠Q, ♥A, ♦8, ♥8, ♣8 | three of a kind
♠Q, ♥A, ♦8, ♥8, ♥5 | pair
♠Q, ♥A, ♦8, ♥8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♥8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♥8, ♠7 | pair
♠Q, ♥A, ♦8, ♥8, ♦K | pair
♠Q, ♥A, ♦8, ♥8, ♥2 | pair
♠Q, ♥A, ♦8, ♥8, ♥5 | pair
♠Q, ♥A, ♦8, ♥8, ♦8 | three of a kind
♠Q, ♥A, ♦8, ♥8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♥8, ♦8 | three of a kind
♠Q, ♥A, ♦8, ♣8, ♥5 | pair
♠Q, ♥A, ♦8, ♣8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♣8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♣8, ♠7 | pair
♠Q, ♥A, ♦8, ♣8, ♦K | pair
♠Q, ♥A, ♦8, ♣8, ♥2 | pair
♠Q, ♥A, ♦8, ♣8, ♥5 | pair
♠Q, ♥A, ♦8, ♣8, ♦8 | three of a kind
♠Q, ♥A, ♦8, ♣8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♣8, ♦8 | three of a kind
♠Q, ♥A, ♦8, ♥5, ♥Q | pair
♠Q, ♥A, ♦8, ♥5, ♥Q | pair
♠Q, ♥A, ♦8, ♥5, ♥5 | pair
♠Q, ♥A, ♦8, ♥5, ♦8 | pair
♠Q, ♥A, ♦8, ♥5, ♥Q | pair
♠Q, ♥A, ♦8, ♥5, ♦8 | pair
