♣2, ♠3, ♥A, ♠10, ♥3 | pair
♣2, ♠3, ♥A, ♠10, ♣A | pair
♣2, ♠3, ♥A, ♠10, ♣A | pair
♣2, ♠3, ♥A, ♠K, ♥3 | pair
♣2, ♠3, ♥A, ♠K, ♣A | pair
♣2, ♠3, ♥A, ♠K, ♠K | pair
♣2, ♠3, ♥A, ♠K, ♣A | pair
♣2, ♠3, ♥A, ♦8, ♥3 | pair
♣2, ♠3, ♥A, ♦8, ♣A | pair
♣2, ♠3, ♥A, ♦8, ♣A | pair
♣2, ♠3, ♥A, ♦8, ♠8 | pair
♣2, ♠3, ♥A, ♥7, ♥3 | pair
♣2, ♠3, ♥A, ♥7, ♣A | pair
♣2, ♠3, ♥A, ♥7, ♣A | pair
♣2, ♠3, ♥A, ♥3, ♣A | two pairs
♣2, ♠3, ♥A, ♥3, ♠Q | pair
♣2, ♠3, ♥A, ♥3, ♠K | pair
♣2, ♠3, ♥A, ♥3, ♦Q | pair
♣2, ♠3, ♥A, ♥3, ♣A | two pairs
♣2, ♠3, ♥A, ♥3, ♠8 | pair
♣2, ♠3, ♥A, ♥3, ♦9 | pair
♣2, ♠3, ♥A, ♣A, ♠Q | pair
♣2, ♠3, ♥A, ♣A, ♠K | pair
♣2, ♠3, ♥A, ♣A, ♦Q | pair
♣2, ♠3, ♥A, ♣A, ♣A | three of a kind
♣2, ♠3, ♥A, ♣A, ♠8 | pair
♣2, ♠3, ♥A, ♣A, ♦9 | pair
♣2, ♠3, ♥A, ♠Q, ♦Q | pair
♣2, ♠3, ♥A, ♠Q, ♣A | pair
♣2, ♠3, ♥A, ♠K, ♣A | pair
♣2, ♠3, ♥A, ♦Q, ♣A | pair
♣2, ♠3, ♥A, ♣A, ♠8 | pair
♣2, ♠3, ♥A, ♣A, ♦9 | pair
♣2, ♠3, ♠10, ♠K, ♥3 | pair
♣2, ♠3, ♠10, ♠K, ♠K | pair
♣2, ♠3, ♠10, ♦8, ♥3 | pair
♣2, ♠3, ♠10, ♦8, ♠8 | pair
♣2, ♠3, ♠10, ♥7, ♥3 | pair
♣2, ♠3, ♠10, ♥3, ♣A | pair
♣2, ♠3, ♠10, ♥3, ♠Q | pair
♣2, ♠3, ♠10, ♥3, ♠K | pair
♣2, ♠3, ♠10, ♥3, ♦Q | pair
♣2, ♠3, ♠10, ♥3, ♣A | pair
♣2, ♠3, ♠10, ♥3, ♠8 | pair
♣2, ♠3, ♠10, ♥3, ♦9 | pair
♣2, ♠3, ♠10, ♣A, ♣A | pair
♣2, ♠3, ♠10, ♠Q, ♦Q | pair
♣2, ♠3, ♠K, ♦8, ♥3 | pair
♣2, ♠3, ♠K, ♦8, ♠K | pair
♣2, ♠3, ♠K, ♦8, ♠8 | pair
♣2, ♠3, ♠K, ♥7, ♥3 | pair
♣2, ♠3, ♠K, ♥7, ♠K | pair
♣2, ♠3, ♠K, ♥3, ♣A | pair
♣2, ♠3, ♠K, ♥3, ♠Q | pair
♣2, ♠3, ♠K, ♥3, ♠K | two pairs
♣2, ♠3, ♠K, ♥3, ♦Q | pair
♣2, ♠3, ♠K, ♥3, ♣A | pair
♣2, ♠3, ♠K, ♥3, ♠8 | pair
♣2, ♠3, ♠K, ♥3, ♦9 | pair
♣2, ♠3, ♠K, ♣A, ♠K | pair
♣2, ♠3, ♠K, ♣A, ♣A | pair
♣2, ♠3, ♠K, ♠Q, ♠K | pair
♣2, ♠3, ♠K, ♠Q, ♦Q | pair
♣2, ♠3, ♠K, ♠K, ♦Q | pair
♣2, ♠3, ♠K, ♠K, ♣A | pair
♣2, ♠3, ♠K, ♠K, ♠8 | pair
♣2, ♠3, ♠K, ♠K, ♦9 | pair
♣2, ♠3, ♦8, ♥7, ♥3 | pair
♣2, ♠3, ♦8, ♥7, ♠8 | pair
♣2, ♠3, ♦8, ♥3, ♣A | pair
♣2, ♠3, ♦8, ♥3, ♠Q | pair
♣2, ♠3, ♦8, ♥3, ♠K | pair
♣2, ♠3, ♦8, ♥3, ♦Q | pair
♣2, ♠3, ♦8, ♥3, ♣A | pair
♣2, ♠3, ♦8, ♥3, ♠8 | two pairs
♣2, ♠3, ♦8, ♥3, ♦9 | pair
♣2, ♠3, ♦8, ♣A, ♣A | pair
♣2, ♠3, ♦8, ♣A, ♠8 | pair
♣2, ♠3, ♦8, ♠Q, ♦Q | pair
♣2, ♠3, ♦8, ♠Q, ♠8 | pair
♣2, ♠3, ♦8, ♠K, ♠8 | pair
♣2, ♠3, ♦8, ♦Q, ♠8 | pair
♣2, ♠3, ♦8, ♣A, ♠8 | pair
♣2, ♠3, ♦8, ♠8, ♦9 | pair
♣2, ♠3, ♥7, ♥3, ♣A | pair
♣2, ♠3, ♥7, ♥3, ♠Q | pair
♣2, ♠3, ♥7, ♥3, ♠K | pair
♣2, ♠3, ♥7, ♥3, ♦Q | pair
♣2, ♠3, ♥7, ♥3, ♣A | pair
♣2, ♠3, ♥7, ♥3, ♠8 | pair
♣2, ♠3, ♥7, ♥3, ♦9 | pair
♣2, ♠3, ♥7, ♣A, ♣A | pair
♣2, ♠3, ♥7, ♠Q, ♦Q | pair
♣2, ♠3, ♥3, ♣A, ♠Q | pair
♣2, ♠3, ♥3, ♣A, ♠K | pair
♣2, ♠3, ♥3, ♣A, ♦Q | pair
♣2, ♠3, ♥3, ♣A, ♣A | two pairs
♣2, ♠3, ♥3, ♣A, ♠8 | pair
♣2, ♠3, ♥3, ♣A, ♦9 | pair
♣2, ♠3, ♥3, ♠Q, ♠K | pair
♣2, ♠3, ♥3, ♠Q, ♦Q | two pairs
♣2, ♠3, ♥3, ♠Q, ♣A | pair
