♠K, ♠K, ♠8, ♣9, ♥5 | pair
♠K, ♠K, ♠8, ♣9, ♣10 | pair
♠K, ♠K, ♠8, ♣9, ♣3 | pair
♠K, ♠K, ♠8, ♣9, ♣8 | two pairs
♠K, ♠K, ♠8, ♣9, ♣5 | pair
♠K, ♠K, ♠8, ♣9, ♣6 | pair
♠K, ♠K, ♠8, ♥5, ♣10 | pair
♠K, ♠K, ♠8, ♥5, ♣3 | pair
♠K, ♠K, ♠8, ♥5, ♣8 | two pairs
♠K, ♠K, ♠8, ♥5, ♣5 | two pairs
♠K, ♠K, ♠8, ♥5, ♣6 | pair
♠K, ♠K, ♠8, ♣10, ♣3 | pair
♠K, ♠K, ♠8, ♣10, ♣8 | two pairs
♠K, ♠K, ♠8, ♣10, ♣5 | pair
♠K, ♠K, ♠8, ♣10, ♣6 | pair
♠K, ♠K, ♠8, ♣3, ♣8 | two pairs
♠K, ♠K, ♠8, ♣3, ♣5 | pair
♠K, ♠K, ♠8, ♣3, ♣6 | pair
♠K, ♠K, ♠8, ♣8, ♣5 | two pairs
♠K, ♠K, ♠8, ♣8, ♣6 | two pairs
♠K, ♠K, ♠8, ♣5, ♣6 | pair
♠K, ♠K, ♣9, ♥5, ♣10 | pair
♠K, ♠K, ♣9, ♥5, ♣3 | pair
♠K, ♠K, ♣9, ♥5, ♣8 | pair
♠K, ♠K, ♣9, ♥5, ♣5 | two pairs
♠K, ♠K, ♣9, ♥5, ♣6 | pair
♠K, ♠K, ♣9, ♣10, ♣3 | pair
♠K, ♠K, ♣9, ♣10, ♣8 | pair
♠K, ♠K, ♣9, ♣10, ♣5 | pair
♠K, ♠K, ♣9, ♣10, ♣6 | pair
♠K, ♠K, ♣9, ♣3, ♣8 | pair
♠K, ♠K, ♣9, ♣3, ♣5 | pair
♠K, ♠K, ♣9, ♣3, ♣6 | pair
♠K, ♠K, ♣9, ♣8, ♣5 | pair
♠K, ♠K, ♣9, ♣8, ♣6 | pair
♠K, ♠K, ♣9, ♣5, ♣6 | pair
♠K, ♠K, ♥5, ♣10, ♣3 | pair
♠K, ♠K, ♥5, ♣10, ♣8 | pair
♠K, ♠K, ♥5, ♣10, ♣5 | two pairs
♠K, ♠K, ♥5, ♣10, ♣6 | pair
♠K, ♠K, ♥5, ♣3, ♣8 | pair
♠K, ♠K, ♥5, ♣3, ♣5 | two pairs
♠K, ♠K, ♥5, ♣3, ♣6 | pair
♠K, ♠K, ♥5, ♣8, ♣5 | two pairs
♠K, ♠K, ♥5, ♣8, ♣6 | pair
♠K, ♠K, ♥5, ♣5, ♣6 | two pairs
♠K, ♠K, ♣10, ♣3, ♣8 | pair
♠K, ♠K, ♣10, ♣3, ♣5 | pair
♠K, ♠K, ♣10, ♣3, ♣6 | pair
♠K, ♠K, ♣10, ♣8, ♣5 | pair
♠K, ♠K, ♣10, ♣8, ♣6 | pair
♠K, ♠K, ♣10, ♣5, ♣6 | pair
♠K, ♠K, ♣3, ♣8, ♣5 | pair
♠K, ♠K, ♣3, ♣8, ♣6 | pair
♠K, ♠K, ♣3, ♣5, ♣6 | pair
♠K, ♠K, ♣8, ♣5, ♣6 | pair
♠K, ♠8, ♣9, ♥5, ♣8 | pair
♠K, ♠8, ♣9, ♥5, ♣5 | pair
♠K, ♠8, ♣9, ♣10, ♣8 | pair
♠K, ♠8, ♣9, ♣3, ♣8 | pair
♠K, ♠8, ♣9, ♣8, ♣5 | pair
♠K, ♠8, ♣9, ♣8, ♣6 | pair
♠K, ♠8, ♥5, ♣10, ♣8 | pair
♠K, ♠8, ♥5, ♣10, ♣5 | pair
