♦8, ♣4, ♦2, ♠7, ♦2 | pair
♦8, ♣4, ♦2, ♠7, ♣4 | pair
♦8, ♣4, ♦2, ♦3, ♥3 | pair
♦8, ♣4, ♦2, ♦3, ♦2 | pair
♦8, ♣4, ♦2, ♦3, ♣4 | pair
♦8, ♣4, ♦2, ♦A, ♦2 | pair
♦8, ♣4, ♦2, ♦A, ♦A | pair
♦8, ♣4, ♦2, ♦A, ♣4 | pair
♦8, ♣4, ♦2, ♥3, ♦2 | pair
♦8, ♣4, ♦2, ♥3, ♣4 | pair
♦8, ♣4, ♦2, ♦2, ♦A | pair
♦8, ♣4, ♦2, ♦2, ♥10 | pair
♦8, ♣4, ♦2, ♦2, ♠J | pair
♦8, ♣4, ♦2, ♦2, ♣4 | two pairs
♦8, ♣4, ♦2, ♦A, ♣4 | pair
♦8, ♣4, ♦2, ♥10, ♣4 | pair
♦8, ♣4, ♦2, ♠J, ♣4 | pair
♦8, ♣4, ♠7, ♦3, ♥3 | pair
♦8, ♣4, ♠7, ♦3, ♣4 | pair
♦8, ♣4, ♠7, ♦A, ♦A | pair
♦8, ♣4, ♠7, ♦A, ♣4 | pair
♦8, ♣4, ♠7, ♥3, ♣4 | pair
♦8, ♣4, ♠7, ♦2, ♣4 | pair
♦8, ♣4, ♠7, ♦A, ♣4 | pair
♦8, ♣4, ♠7, ♥10, ♣4 | pair
♦8, ♣4, ♠7, ♠J, ♣4 | pair
♦8, ♣4, ♦3, ♦A, ♥3 | pair
♦8, ♣4, ♦3, ♦A, ♦A | pair
♦8, ♣4, ♦3, ♦A, ♣4 | pair
♦8, ♣4, ♦3, ♥3, ♦2 | pair
♦8, ♣4, ♦3, ♥3, ♦A | pair
♦8, ♣4, ♦3, ♥3, ♥10 | pair
♦8, ♣4, ♦3, ♥3, ♠J | pair
♦8, ♣4, ♦3, ♥3, ♣4 | two pairs
♦8, ♣4, ♦3, ♦2, ♣4 | pair
♦8, ♣4, ♦3, ♦A, ♣4 | pair
♦8, ♣4, ♦3, ♥10, ♣4 | pair
♦8, ♣4, ♦3, ♠J, ♣4 | pair
♦8, ♣4, ♦A, ♥3, ♦A | pair
♦8, ♣4, ♦A, ♥3, ♣4 | pair
♦8, ♣4, ♦A, ♦2, ♦A | pair
♦8, ♣4, ♦A, ♦2, ♣4 | pair
♦8, ♣4, ♦A, ♦A, ♥10 | pair
♦8, ♣4, ♦A, ♦A, ♠J | pair
♦8, ♣4, ♦A, ♦A, ♣4 | two pairs
♦8, ♣4, ♦A, ♥10, ♣4 | pair
♦8, ♣4, ♦A, ♠J, ♣4 | pair
♦8, ♣4, ♥3, ♦2, ♣4 | pair
♦8, ♣4, ♥3, ♦A, ♣4 | pair
♦8, ♣4, ♥3, ♥10, ♣4 | pair
♦8, ♣4, ♥3, ♠J, ♣4 | pair
♦8, ♣4, ♦2, ♦A, ♣4 | pair
♦8, ♣4, ♦2, ♥10, ♣4 | pair
♦8, ♣4, ♦2, ♠J, ♣4 | pair
♦8, ♣4, ♦A, ♥10, ♣4 | pair
♦8, ♣4, ♦A, ♠J, ♣4 | pair
♦8, ♣4, ♥10, ♠J, ♣4 | pair
♦8, ♦2, ♠7, ♦3, ♥3 | pair
♦8, ♦2, ♠7, ♦3, ♦2 | pair
♦8, ♦2, ♠7, ♦A, ♦2 | pair
♦8, ♦2, ♠7, ♦A, ♦A | pair
♦8, ♦2, ♠7, ♥3, ♦2 | pair
♦8, ♦2, ♠7, ♦2, ♦A | pair
♦8, ♦2, ♠7, ♦2, ♥10 | pair
♦8, ♦2, ♠7, ♦2, ♠J | pair
♦8, ♦2, ♠7, ♦2, ♣4 | pair
♦8, ♦2, ♦3, ♦A, ♥3 | pair
♦8, ♦2, ♦3, ♦A, ♦2 | flush
♦8, ♦2, ♦3, ♦A, ♦A | flush
♦8, ♦2, ♦3, ♥3, ♦2 | two pairs
♦8, ♦2, ♦3, ♥3, ♦A | pair
♦8, ♦2, ♦3, ♥3, ♥10 | pair
♦8, ♦2, ♦3, ♥3, ♠J | pair
♦8, ♦2, ♦3, ♥3, ♣4 | pair
♦8, ♦2, ♦3, ♦2, ♦A | flush
♦8, ♦2, ♦3, ♦2, ♥10 | pair
♦8, ♦2, ♦3, ♦2, ♠J | pair
♦8, ♦2, ♦3, ♦2, ♣4 | pair
♦8, ♦2, ♦A, ♥3, ♦2 | pair
♦8, ♦2, ♦A, ♥3, ♦A | pair
♦8, ♦2, ♦A, ♦2, ♦A | flush
♦8, ♦2, ♦A, ♦2, ♥10 | pair
♦8, ♦2, ♦A, ♦2, ♠J | pair
♦8, ♦2, ♦A, ♦2, ♣4 | pair
♦8, ♦2, ♦A, ♦A, ♥10 | pair
♦8, ♦2, ♦A, ♦A, ♠J | pair
♦8, ♦2, ♦A, ♦A, ♣4 | pair
♦8, ♦2, ♥3, ♦2, ♦A | pair
♦8, ♦2, ♥3, ♦2, ♥10 | pair
♦8, ♦2, ♥3, ♦2, ♠J | pair
♦8, ♦2, ♥3, ♦2, ♣4 | pair
♦8, ♦2, ♦2, ♦A, ♥10 | pair
♦8, ♦2, ♦2, ♦A, ♠J | pair
♦8, ♦2, ♦2, ♦A, ♣4 | pair
