♥J, ♣2, ♣2, ♦J, ♠Q | two pairs
♥J, ♣2, ♣2, ♦J, ♦8 | two pairs
♥J, ♣2, ♣2, ♦J, ♥A | two pairs
♥J, ♣2, ♣2, ♦J, ♣10 | two pairs
♥J, ♣2, ♣2, ♦J, ♣8 | two pairs
♥J, ♣2, ♣2, ♦J, ♠J | fullhouse
♥J, ♣2, ♣2, ♦J, ♣8 | two pairs
♥J, ♣2, ♣2, ♠Q, ♦8 | pair
♥J, ♣2, ♣2, ♠Q, ♥A | pair
♥J, ♣2, ♣2, ♠Q, ♣10 | pair
♥J, ♣2, ♣2, ♠Q, ♣8 | pair
♥J, ♣2, ♣2, ♠Q, ♠J | two pairs
♥J, ♣2, ♣2, ♠Q, ♣8 | pair
♥J, ♣2, ♣2, ♦8, ♥A | pair
♥J, ♣2, ♣2, ♦8, ♣10 | pair
♥J, ♣2, ♣2, ♦8, ♣8 | two pairs
♥J, ♣2, ♣2, ♦8, ♠J | two pairs
♥J, ♣2, ♣2, ♦8, ♣8 | two pairs
♥J, ♣2, ♣2, ♥A, ♣10 | pair
♥J, ♣2, ♣2, ♥A, ♣8 | pair
♥J, ♣2, ♣2, ♥A, ♠J | two pairs
♥J, ♣2, ♣2, ♥A, ♣8 | pair
♥J, ♣2, ♣2, ♣10, ♣8 | pair
♥J, ♣2, ♣2, ♣10, ♠J | two pairs
♥J, ♣2, ♣2, ♣10, ♣8 | pair
♥J, ♣2, ♣2, ♣8, ♠J | two pairs
♥J, ♣2, ♣2, ♣8, ♣8 | two pairs
♥J, ♣2, ♣2, ♠J, ♣8 | two pairs
♥J, ♣2, ♦J, ♠Q, ♦8 | pair
♥J, ♣2, ♦J, ♠Q, ♥A | pair
♥J, ♣2, ♦J, ♠Q, ♣10 | pair
♥J, ♣2, ♦J, ♠Q, ♣8 | pair
♥J, ♣2, ♦J, ♠Q, ♠J | three of a kind
♥J, ♣2, ♦J, ♠Q, ♣8 | pair
♥J, ♣2, ♦J, ♦8, ♥A | pair
♥J, ♣2, ♦J, ♦8, ♣10 | pair
♥J, ♣2, ♦J, ♦8, ♣8 | two pairs
♥J, ♣2, ♦J, ♦8, ♠J | three of a kind
♥J, ♣2, ♦J, ♦8, ♣8 | two pairs
♥J, ♣2, ♦J, ♥A, ♣10 | pair
♥J, ♣2, ♦J, ♥A, ♣8 | pair
♥J, ♣2, ♦J, ♥A, ♠J | three of a kind
♥J, ♣2, ♦J, ♥A, ♣8 | pair
