♦Q, ♥Q, ♣J, ♥10, ♥5 | pair
♦Q, ♥Q, ♣J, ♥10, ♦10 | two pairs
♦Q, ♥Q, ♣J, ♥10, ♠A | pair
♦Q, ♥Q, ♣J, ♥10, ♦10 | two pairs
♦Q, ♥Q, ♣J, ♥10, ♣J | two pairs
♦Q, ♥Q, ♣J, ♥10, ♣J | two pairs
♦Q, ♥Q, ♣J, ♥10, ♣4 | pair
♦Q, ♥Q, ♣J, ♥10, ♦3 | pair
♦Q, ♥Q, ♣J, ♥10, ♥Q | three of a kind
♦Q, ♥Q, ♣J, ♥10, ♥4 | pair
♦Q, ♥Q, ♣J, ♥5, ♦10 | pair
♦Q, ♥Q, ♣J, ♥5, ♠A | pair
♦Q, ♥Q, ♣J, ♥5, ♦10 | pair
♦Q, ♥Q, ♣J, ♥5, ♣J | two pairs
♦Q, ♥Q, ♣J, ♥5, ♣J | two pairs
♦Q, ♥Q, ♣J, ♥5, ♣4 | pair
♦Q, ♥Q, ♣J, ♥5, ♦3 | pair
♦Q, ♥Q, ♣J, ♥5, ♥Q | three of a kind
♦Q, ♥Q, ♣J, ♥5, ♥4 | pair
♦Q, ♥Q, ♣J, ♦10, ♠A | pair
♦Q, ♥Q, ♣J, ♦10, ♦10 | two pairs
♦Q, ♥Q, ♣J, ♦10, ♣J | two pairs
♦Q, ♥Q, ♣J, ♦10, ♣J | two pairs
♦Q, ♥Q, ♣J, ♦10, ♣4 | pair
♦Q, ♥Q, ♣J, ♦10, ♦3 | pair
♦Q, ♥Q, ♣J, ♦10, ♥Q | three of a kind
♦Q, ♥Q, ♣J, ♦10, ♥4 | pair
♦Q, ♥Q, ♣J, ♠A, ♦10 | pair
♦Q, ♥Q, ♣J, ♠A, ♣J | two pairs
♦Q, ♥Q, ♣J, ♠A, ♣J | two pairs
♦Q, ♥Q, ♣J, ♠A, ♣4 | pair
♦Q, ♥Q, ♣J, ♠A, ♦3 | pair
♦Q, ♥Q, ♣J, ♠A, ♥Q | three of a kind
♦Q, ♥Q, ♣J, ♠A, ♥4 | pair
♦Q, ♥Q, ♣J, ♦10, ♣J | two pairs
♦Q, ♥Q, ♣J, ♦10, ♣J | two pairs
♦Q, ♥Q, ♣J, ♦10, ♣4 | pair
♦Q, ♥Q, ♣J, ♦10, ♦3 | pair
♦Q, ♥Q, ♣J, ♦10, ♥Q | three of a kind
♦Q, ♥Q, ♣J, ♦10, ♥4 | pair
