♥5, ♥7, ♦K, ♦10, ♠10 | pair
♥5, ♥7, ♦10, ♠10, ♥4 | pair
♥5, ♥7, ♦10, ♠10, ♠J | pair
♥5, ♥7, ♦10, ♠10, ♥A | pair
♥5, ♥7, ♦10, ♠10, ♦Q | pair
♥5, ♥7, ♦10, ♠10, ♠2 | pair
♥5, ♦K, ♦10, ♠10, ♥4 | pair
♥5, ♦K, ♦10, ♠10, ♠J | pair
♥5, ♦K, ♦10, ♠10, ♥A | pair
♥5, ♦K, ♦10, ♠10, ♦Q | pair
♥5, ♦K, ♦10, ♠10, ♠2 | pair
♥5, ♦10, ♠10, ♥4, ♠J | pair
♥5, ♦10, ♠10, ♥4, ♥A | pair
♥5, ♦10, ♠10, ♥4, ♦Q | pair
♥5, ♦10, ♠10, ♥4, ♠2 | pair
♥5, ♦10, ♠10, ♠J, ♥A | pair
♥5, ♦10, ♠10, ♠J, ♦Q | pair
♥5, ♦10, ♠10, ♠J, ♠2 | pair
♥5, ♦10, ♠10, ♥A, ♦Q | pair
♥5, ♦10, ♠10, ♥A, ♠2 | pair
♥5, ♦10, ♠10, ♦Q, ♠2 | pair
♥7, ♦K, ♦10, ♠10, ♥4 | pair
♥7, ♦K, ♦10, ♠10, ♠J | pair
♥7, ♦K, ♦10, ♠10, ♥A | pair
♥7, ♦K, ♦10, ♠10, ♦Q | pair
♥7, ♦K, ♦10, ♠10, ♠2 | pair
♥7, ♦10, ♠10, ♥4, ♠J | pair
♥7, ♦10, ♠10, ♥4, ♥A | pair
♥7, ♦10, ♠10, ♥4, ♦Q | pair
♥7, ♦10, ♠10, ♥4, ♠2 | pair
♥7, ♦10, ♠10, ♠J, ♥A | pair
♥7, ♦10, ♠10, ♠J, ♦Q | pair
♥7, ♦10, ♠10, ♠J, ♠2 | pair
♥7, ♦10, ♠10, ♥A, ♦Q | pair
♥7, ♦10, ♠10, ♥A, ♠2 | pair
♥7, ♦10, ♠10, ♦Q, ♠2 | pair
♦K, ♦10, ♠10, ♥4, ♠J | pair
♦K, ♦10, ♠10, ♥4, ♥A | pair
♦K, ♦10, ♠10, ♥4, ♦Q | pair
♦K, ♦10, ♠10, ♥4, ♠2 | pair
♦K, ♦10, ♠10, ♠J, ♥A | pair
♦K, ♦10, ♠10, ♠J, ♦Q | pair
♦K, ♦10, ♠10, ♠J, ♠2 | pair
♦K, ♦10, ♠10, ♥A, ♦Q | pair
♦K, ♦10, ♠10, ♥A, ♠2 | pair
♦K, ♦10, ♠10, ♦Q, ♠2 | pair
♦K, ♦10, ♠J, ♥A, ♦Q | straight
♦K, ♠10, ♠J, ♥A, ♦Q | straight
♦10, ♠10, ♥4, ♠J, ♥A | pair
♦10, ♠10, ♥4, ♠J, ♦Q | pair
♦10, ♠10, ♥4, ♠J, ♠2 | pair
♦10, ♠10, ♥4, ♥A, ♦Q | pair
♦10, ♠10, ♥4, ♥A, ♠2 | pair
♦10, ♠10, ♥4, ♦Q, ♠2 | pair
♦10, ♠10, ♠J, ♥A, ♦Q | pair
♦10, ♠10, ♠J, ♥A, ♠2 | pair
♦10, ♠10, ♠J, ♦Q, ♠2 | pair
♦10, ♠10, ♥A, ♦Q, ♠2 | pair
