♠4, ♥3, ♦7, ♣3, ♦K | pair
♠4, ♥3, ♦7, ♣3, ♥Q | pair
♠4, ♥3, ♦7, ♣3, ♣J | pair
♠4, ♥3, ♦7, ♣3, ♦2 | pair
♠4, ♥3, ♦7, ♣3, ♥8 | pair
♠4, ♥3, ♦7, ♣3, ♠J | pair
♠4, ♥3, ♦7, ♣J, ♠J | pair
♠4, ♥3, ♣3, ♦K, ♥Q | pair
♠4, ♥3, ♣3, ♦K, ♣J | pair
♠4, ♥3, ♣3, ♦K, ♦2 | pair
♠4, ♥3, ♣3, ♦K, ♥8 | pair
♠4, ♥3, ♣3, ♦K, ♠J | pair
♠4, ♥3, ♣3, ♥Q, ♣J | pair
♠4, ♥3, ♣3, ♥Q, ♦2 | pair
♠4, ♥3, ♣3, ♥Q, ♥8 | pair
♠4, ♥3, ♣3, ♥Q, ♠J | pair
♠4, ♥3, ♣3, ♣J, ♦2 | pair
♠4, ♥3, ♣3, ♣J, ♥8 | pair
♠4, ♥3, ♣3, ♣J, ♠J | two pairs
♠4, ♥3, ♣3, ♦2, ♥8 | pair
♠4, ♥3, ♣3, ♦2, ♠J | pair
♠4, ♥3, ♣3, ♥8, ♠J | pair
♠4, ♥3, ♦K, ♣J, ♠J | pair
♠4, ♥3, ♥Q, ♣J, ♠J | pair
♠4, ♥3, ♣J, ♦2, ♠J | pair
♠4, ♥3, ♣J, ♥8, ♠J | pair
♠4, ♦7, ♣3, ♣J, ♠J | pair
♠4, ♦7, ♦K, ♣J, ♠J | pair
♠4, ♦7, ♥Q, ♣J, ♠J | pair
♠4, ♦7, ♣J, ♦2, ♠J | pair
♠4, ♦7, ♣J, ♥8, ♠J | pair
♠4, ♣3, ♦K, ♣J, ♠J | pair
♠4, ♣3, ♥Q, ♣J, ♠J | pair
♠4, ♣3, ♣J, ♦2, ♠J | pair
♠4, ♣3, ♣J, ♥8, ♠J | pair
♠4, ♦K, ♥Q, ♣J, ♠J | pair
♠4, ♦K, ♣J, ♦2, ♠J | pair
♠4, ♦K, ♣J, ♥8, ♠J | pair
♠4, ♥Q, ♣J, ♦2, ♠J | pair
♠4, ♥Q, ♣J, ♥8, ♠J | pair
♠4, ♣J, ♦2, ♥8, ♠J | pair
♥3, ♦7, ♣3, ♦K, ♥Q | pair
♥3, ♦7, ♣3, ♦K, ♣J | pair
♥3, ♦7, ♣3, ♦K, ♦2 | pair
♥3, ♦7, ♣3, ♦K, ♥8 | pair
♥3, ♦7, ♣3, ♦K, ♠J | pair
♥3, ♦7, ♣3, ♥Q, ♣J | pair
