♥6, ♥K, ♦6, ♥8, ♦10 | pair
♥6, ♥K, ♦6, ♥8, ♣J | pair
♥6, ♥K, ♦6, ♥8, ♠4 | pair
♥6, ♥K, ♦6, ♥8, ♥Q | pair
♥6, ♥K, ♦6, ♥8, ♣9 | pair
♥6, ♥K, ♦6, ♥8, ♦4 | pair
♥6, ♥K, ♦6, ♥8, ♦Q | pair
♥6, ♥K, ♦6, ♥8, ♥9 | pair
♥6, ♥K, ♦6, ♦10, ♣J | pair
♥6, ♥K, ♦6, ♦10, ♠4 | pair
♥6, ♥K, ♦6, ♦10, ♥Q | pair
♥6, ♥K, ♦6, ♦10, ♣9 | pair
♥6, ♥K, ♦6, ♦10, ♦4 | pair
♥6, ♥K, ♦6, ♦10, ♦Q | pair
♥6, ♥K, ♦6, ♦10, ♥9 | pair
♥6, ♥K, ♦6, ♣J, ♠4 | pair
♥6, ♥K, ♦6, ♣J, ♥Q | pair
♥6, ♥K, ♦6, ♣J, ♣9 | pair
♥6, ♥K, ♦6, ♣J, ♦4 | pair
♥6, ♥K, ♦6, ♣J, ♦Q | pair
♥6, ♥K, ♦6, ♣J, ♥9 | pair
♥6, ♥K, ♦6, ♠4, ♥Q | pair
♥6, ♥K, ♦6, ♠4, ♣9 | pair
♥6, ♥K, ♦6, ♠4, ♦4 | two pairs
♥6, ♥K, ♦6, ♠4, ♦Q | pair
♥6, ♥K, ♦6, ♠4, ♥9 | pair
♥6, ♥K, ♦6, ♥Q, ♣9 | pair
♥6, ♥K, ♦6, ♥Q, ♦4 | pair
♥6, ♥K, ♦6, ♥Q, ♦Q | two pairs
♥6, ♥K, ♦6, ♥Q, ♥9 | pair
♥6, ♥K, ♦6, ♣9, ♦4 | pair
♥6, ♥K, ♦6, ♣9, ♦Q | pair
♥6, ♥K, ♦6, ♣9, ♥9 | two pairs
♥6, ♥K, ♦6, ♦4, ♦Q | pair
♥6, ♥K, ♦6, ♦4, ♥9 | pair
♥6, ♥K, ♦6, ♦Q, ♥9 | pair
♥6, ♥K, ♥8, ♠4, ♦4 | pair
♥6, ♥K, ♥8, ♥Q, ♦Q | pair
♥6, ♥K, ♥8, ♥Q, ♥9 | flush
♥6, ♥K, ♥8, ♣9, ♥9 | pair
♥6, ♥K, ♦10, ♠4, ♦4 | pair
♥6, ♥K, ♦10, ♥Q, ♦Q | pair
♥6, ♥K, ♦10, ♣9, ♥9 | pair
♥6, ♥K, ♣J, ♠4, ♦4 | pair
♥6, ♥K, ♣J, ♥Q, ♦Q | pair
♥6, ♥K, ♣J, ♣9, ♥9 | pair
♥6, ♥K, ♠4, ♥Q, ♦4 | pair
♥6, ♥K, ♠4, ♥Q, ♦Q | pair
♥6, ♥K, ♠4, ♣9, ♦4 | pair
♥6, ♥K, ♠4, ♣9, ♥9 | pair
♥6, ♥K, ♠4, ♦4, ♦Q | pair
♥6, ♥K, ♠4, ♦4, ♥9 | pair
♥6, ♥K, ♥Q, ♣9, ♦Q | pair
♥6, ♥K, ♥Q, ♣9, ♥9 | pair
♥6, ♥K, ♥Q, ♦4, ♦Q | pair
♥6, ♥K, ♥Q, ♦Q, ♥9 | pair
♥6, ♥K, ♣9, ♦4, ♥9 | pair
♥6, ♥K, ♣9, ♦Q, ♥9 | pair
♥6, ♦6, ♥8, ♦10, ♣J | pair
♥6, ♦6, ♥8, ♦10, ♠4 | pair
♥6, ♦6, ♥8, ♦10, ♥Q | pair
♥6, ♦6, ♥8, ♦10, ♣9 | pair
♥6, ♦6, ♥8, ♦10, ♦4 | pair
♥6, ♦6, ♥8, ♦10, ♦Q | pair
♥6, ♦6, ♥8, ♦10, ♥9 | pair
♥6, ♦6, ♥8, ♣J, ♠4 | pair
♥6, ♦6, ♥8, ♣J, ♥Q | pair
♥6, ♦6, ♥8, ♣J, ♣9 | pair
♥6, ♦6, ♥8, ♣J, ♦4 | pair
♥6, ♦6, ♥8, ♣J, ♦Q | pair
♥6, ♦6, ♥8, ♣J, ♥9 | pair
♥6, ♦6, ♥8, ♠4, ♥Q | pair
♥6, ♦6, ♥8, ♠4, ♣9 | pair
♥6, ♦6, ♥8, ♠4, ♦4 | two pairs
♥6, ♦6, ♥8, ♠4, ♦Q | pair
♥6, ♦6, ♥8, ♠4, ♥9 | pair
♥6, ♦6, ♥8, ♥Q, ♣9 | pair
♥6, ♦6, ♥8, ♥Q, ♦4 | pair
♥6, ♦6, ♥8, ♥Q, ♦Q | two pairs
♥6, ♦6, ♥8, ♥Q, ♥9 | pair
♥6, ♦6, ♥8, ♣9, ♦4 | pair
♥6, ♦6, ♥8, ♣9, ♦Q | pair
♥6, ♦6, ♥8, ♣9, ♥9 | two pairs
♥6, ♦6, ♥8, ♦4, ♦Q | pair
♥6, ♦6, ♥8, ♦4, ♥9 | pair
♥6, ♦6, ♥8, ♦Q, ♥9 | pair
♥6, ♦6, ♦10, ♣J, ♠4 | pair
♥6, ♦6, ♦10, ♣J, ♥Q | pair
♥6, ♦6, ♦10, ♣J, ♣9 | pair
♥6, ♦6, ♦10, ♣J, ♦4 | pair
♥6, ♦6, ♦10, ♣J, ♦Q | pair
♥6, ♦6, ♦10, ♣J, ♥9 | pair
♥6, ♦6, ♦10, ♠4, ♥Q | pair
♥6, ♦6, ♦10, ♠4, ♣9 | pair
♥6, ♦6, ♦10, ♠4, ♦4 | two pairs
♥6, ♦6, ♦10, ♠4, ♦Q | pair
♥6, ♦6, ♦10, ♠4, ♥9 | pair
♥6, ♦6, ♦10, ♥Q, ♣9 | pair
♥6, ♦6, ♦10, ♥Q, ♦4 | pair
♥6, ♦6, ♦10, ♥Q, ♦Q | two pairs
♥6, ♦6, ♦10, ♥Q, ♥9 | pair
♥6, ♦6, ♦10, ♣9, ♦4 | pair
♥6, ♦6, ♦10, ♣9, ♦Q | pair
♥6, ♦6, ♦10, ♣9, ♥9 | two pairs
♥6, ♦6, ♦10, ♦4, ♦Q | pair
♥6, ♦6, ♦10, ♦4, ♥9 | pair
♥6, ♦6, ♦10, ♦Q, ♥9 | pair
♥6, ♦6, ♣J, ♠4, ♥Q | pair
♥6, ♦6, ♣J, ♠4, ♣9 | pair
♥6, ♦6, ♣J, ♠4, ♦4 | two pairs
♥6, ♦6, ♣J, ♠4, ♦Q | pair
♥6, ♦6, ♣J, ♠4, ♥9 | pair
♥6, ♦6, ♣J, ♥Q, ♣9 | pair
♥6, ♦6, ♣J, ♥Q, ♦4 | pair
♥6, ♦6, ♣J, ♥Q, ♦Q | two pairs
♥6, ♦6, ♣J, ♥Q, ♥9 | pair
♥6, ♦6, ♣J, ♣9, ♦4 | pair
♥6, ♦6, ♣J, ♣9, ♦Q | pair
♥6, ♦6, ♣J, ♣9, ♥9 | two pairs
♥6, ♦6, ♣J, ♦4, ♦Q | pair
♥6, ♦6, ♣J, ♦4, ♥9 | pair
♥6, ♦6, ♣J, ♦Q, ♥9 | pair
♥6, ♦6, ♠4, ♥Q, ♣9 | pair
♥6, ♦6, ♠4, ♥Q, ♦4 | two pairs
♥6, ♦6, ♠4, ♥Q, ♦Q | two pairs
♥6, ♦6, ♠4, ♥Q, ♥9 | pair
♥6, ♦6, ♠4, ♣9, ♦4 | two pairs
♥6, ♦6, ♠4, ♣9, ♦Q | pair
♥6, ♦6, ♠4, ♣9, ♥9 | two pairs
♥6, ♦6, ♠4, ♦4, ♦Q | two pairs
♥6, ♦6, ♠4, ♦4, ♥9 | two pairs
♥6, ♦6, ♠4, ♦Q, ♥9 | pair
♥6, ♦6, ♥Q, ♣9, ♦4 | pair
♥6, ♦6, ♥Q, ♣9, ♦Q | two pairs
♥6, ♦6, ♥Q, ♣9, ♥9 | two pairs
♥6, ♦6, ♥Q, ♦4, ♦Q | two pairs
♥6, ♦6, ♥Q, ♦4, ♥9 | pair
♥6, ♦6, ♥Q, ♦Q, ♥9 | two pairs
♥6, ♦6, ♣9, ♦4, ♦Q | pair
♥6, ♦6, ♣9, ♦4, ♥9 | two pairs
♥6, ♦6, ♣9, ♦Q, ♥9 | two pairs
♥6, ♦6, ♦4, ♦Q, ♥9 | pair
♥6, ♥8, ♦10, ♠4, ♦4 | pair
♥6, ♥8, ♦10, ♥Q, ♦Q | pair
♥6, ♥8, ♦10, ♣9, ♥9 | pair
♥6, ♥8, ♣J, ♠4, ♦4 | pair
♥6, ♥8, ♣J, ♥Q, ♦Q | pair
♥6, ♥8, ♣J, ♣9, ♥9 | pair
♥6, ♥8, ♠4, ♥Q, ♦4 | pair
♥6, ♥8, ♠4, ♥Q, ♦Q | pair
♥6, ♥8, ♠4, ♣9, ♦4 | pair
♥6, ♥8, ♠4, ♣9, ♥9 | pair
♥6, ♥8, ♠4, ♦4, ♦Q | pair
♥6, ♥8, ♠4, ♦4, ♥9 | pair
