♣2, ♦J, ♠10, ♦J, ♥5 | pair
♣2, ♦J, ♠10, ♦J, ♠9 | pair
♣2, ♦J, ♠10, ♦J, ♥Q | pair
♣2, ♦J, ♠10, ♦J, ♥3 | pair
♣2, ♦J, ♠10, ♦J, ♣2 | two pairs
♣2, ♦J, ♠10, ♦J, ♦10 | two pairs
♣2, ♦J, ♠10, ♦J, ♥4 | pair
♣2, ♦J, ♠10, ♦J, ♦6 | pair
♣2, ♦J, ♠10, ♦J, ♦3 | pair
♣2, ♦J, ♠10, ♦J, ♦4 | pair
♣2, ♦J, ♠10, ♦J, ♦6 | pair
♣2, ♦J, ♠10, ♥5, ♣2 | pair
♣2, ♦J, ♠10, ♥5, ♦10 | pair
♣2, ♦J, ♠10, ♠9, ♣2 | pair
♣2, ♦J, ♠10, ♠9, ♦10 | pair
♣2, ♦J, ♠10, ♥Q, ♣2 | pair
♣2, ♦J, ♠10, ♥Q, ♦10 | pair
♣2, ♦J, ♠10, ♥3, ♣2 | pair
♣2, ♦J, ♠10, ♥3, ♦10 | pair
♣2, ♦J, ♠10, ♥3, ♦3 | pair
♣2, ♦J, ♠10, ♣2, ♦10 | two pairs
♣2, ♦J, ♠10, ♣2, ♥4 | pair
♣2, ♦J, ♠10, ♣2, ♦6 | pair
♣2, ♦J, ♠10, ♣2, ♦3 | pair
♣2, ♦J, ♠10, ♣2, ♦4 | pair
♣2, ♦J, ♠10, ♣2, ♦6 | pair
♣2, ♦J, ♠10, ♦10, ♥4 | pair
♣2, ♦J, ♠10, ♦10, ♦6 | pair
♣2, ♦J, ♠10, ♦10, ♦3 | pair
♣2, ♦J, ♠10, ♦10, ♦4 | pair
♣2, ♦J, ♠10, ♦10, ♦6 | pair
♣2, ♦J, ♠10, ♥4, ♦4 | pair
♣2, ♦J, ♠10, ♦6, ♦6 | pair
♣2, ♦J, ♦J, ♥5, ♠9 | pair
♣2, ♦J, ♦J, ♥5, ♥Q | pair
♣2, ♦J, ♦J, ♥5, ♥3 | pair
♣2, ♦J, ♦J, ♥5, ♣2 | two pairs
♣2, ♦J, ♦J, ♥5, ♦10 | pair
♣2, ♦J, ♦J, ♥5, ♥4 | pair
♣2, ♦J, ♦J, ♥5, ♦6 | pair
♣2, ♦J, ♦J, ♥5, ♦3 | pair
♣2, ♦J, ♦J, ♥5, ♦4 | pair
♣2, ♦J, ♦J, ♥5, ♦6 | pair
♣2, ♦J, ♦J, ♠9, ♥Q | pair
♣2, ♦J, ♦J, ♠9, ♥3 | pair
♣2, ♦J, ♦J, ♠9, ♣2 | two pairs
♣2, ♦J, ♦J, ♠9, ♦10 | pair
♣2, ♦J, ♦J, ♠9, ♥4 | pair
♣2, ♦J, ♦J, ♠9, ♦6 | pair
♣2, ♦J, ♦J, ♠9, ♦3 | pair
♣2, ♦J, ♦J, ♠9, ♦4 | pair
♣2, ♦J, ♦J, ♠9, ♦6 | pair
♣2, ♦J, ♦J, ♥Q, ♥3 | pair
♣2, ♦J, ♦J, ♥Q, ♣2 | two pairs
♣2, ♦J, ♦J, ♥Q, ♦10 | pair
♣2, ♦J, ♦J, ♥Q, ♥4 | pair
♣2, ♦J, ♦J, ♥Q, ♦6 | pair
♣2, ♦J, ♦J, ♥Q, ♦3 | pair
♣2, ♦J, ♦J, ♥Q, ♦4 | pair
♣2, ♦J, ♦J, ♥Q, ♦6 | pair
♣2, ♦J, ♦J, ♥3, ♣2 | two pairs
♣2, ♦J, ♦J, ♥3, ♦10 | pair
♣2, ♦J, ♦J, ♥3, ♥4 | pair
♣2, ♦J, ♦J, ♥3, ♦6 | pair
♣2, ♦J, ♦J, ♥3, ♦3 | two pairs
♣2, ♦J, ♦J, ♥3, ♦4 | pair
♣2, ♦J, ♦J, ♥3, ♦6 | pair
♣2, ♦J, ♦J, ♣2, ♦10 | two pairs
♣2, ♦J, ♦J, ♣2, ♥4 | two pairs
♣2, ♦J, ♦J, ♣2, ♦6 | two pairs
♣2, ♦J, ♦J, ♣2, ♦3 | two pairs
♣2, ♦J, ♦J, ♣2, ♦4 | two pairs
♣2, ♦J, ♦J, ♣2, ♦6 | two pairs
♣2, ♦J, ♦J, ♦10, ♥4 | pair
♣2, ♦J, ♦J, ♦10, ♦6 | pair
♣2, ♦J, ♦J, ♦10, ♦3 | pair
♣2, ♦J, ♦J, ♦10, ♦4 | pair
♣2, ♦J, ♦J, ♦10, ♦6 | pair
♣2, ♦J, ♦J, ♥4, ♦6 | pair
♣2, ♦J, ♦J, ♥4, ♦3 | pair
♣2, ♦J, ♦J, ♥4, ♦4 | two pairs
♣2, ♦J, ♦J, ♥4, ♦6 | pair
♣2, ♦J, ♦J, ♦6, ♦3 | pair
♣2, ♦J, ♦J, ♦6, ♦4 | pair
♣2, ♦J, ♦J, ♦6, ♦6 | two pairs
♣2, ♦J, ♦J, ♦3, ♦4 | pair
♣2, ♦J, ♦J, ♦3, ♦6 | pair
♣2, ♦J, ♦J, ♦4, ♦6 | pair
♣2, ♦J, ♥5, ♠9, ♣2 | pair
♣2, ♦J, ♥5, ♥Q, ♣2 | pair
♣2, ♦J, ♥5, ♥3, ♣2 | pair
♣2, ♦J, ♥5, ♥3, ♦3 | pair
♣2, ♦J, ♥5, ♣2, ♦10 | pair
♣2, ♦J, ♥5, ♣2, ♥4 | pair
♣2, ♦J, ♥5, ♣2, ♦6 | pair
♣2, ♦J, ♥5, ♣2, ♦3 | pair
♣2, ♦J, ♥5, ♣2, ♦4 | pair
♣2, ♦J, ♥5, ♣2, ♦6 | pair
♣2, ♦J, ♥5, ♥4, ♦4 | pair
♣2, ♦J, ♥5, ♦6, ♦6 | pair
♣2, ♦J, ♠9, ♥Q, ♣2 | pair
♣2, ♦J, ♠9, ♥3, ♣2 | pair
♣2, ♦J, ♠9, ♥3, ♦3 | pair
♣2, ♦J, ♠9, ♣2, ♦10 | pair
♣2, ♦J, ♠9, ♣2, ♥4 | pair
♣2, ♦J, ♠9, ♣2, ♦6 | pair
♣2, ♦J, ♠9, ♣2, ♦3 | pair
♣2, ♦J, ♠9, ♣2, ♦4 | pair
♣2, ♦J, ♠9, ♣2, ♦6 | pair
♣2, ♦J, ♠9, ♥4, ♦4 | pair
♣2, ♦J, ♠9, ♦6, ♦6 | pair
♣2, ♦J, ♥Q, ♥3, ♣2 | pair
♣2, ♦J, ♥Q, ♥3, ♦3 | pair
♣2, ♦J, ♥Q, ♣2, ♦10 | pair
♣2, ♦J, ♥Q, ♣2, ♥4 | pair
