♥6, ♠A, ♠3, ♣A, ♣4 | pair
♥6, ♠A, ♠3, ♣A, ♥6 | two pairs
♥6, ♠A, ♠3, ♣A, ♥9 | pair
♥6, ♠A, ♠3, ♣A, ♥4 | pair
♥6, ♠A, ♠3, ♣A, ♣6 | two pairs
♥6, ♠A, ♠3, ♣A, ♥6 | two pairs
♥6, ♠A, ♠3, ♣A, ♦10 | pair
♥6, ♠A, ♠3, ♣4, ♥6 | pair
♥6, ♠A, ♠3, ♣4, ♥4 | pair
♥6, ♠A, ♠3, ♣4, ♣6 | pair
♥6, ♠A, ♠3, ♣4, ♥6 | pair
♥6, ♠A, ♠3, ♥6, ♥9 | pair
♥6, ♠A, ♠3, ♥6, ♥4 | pair
♥6, ♠A, ♠3, ♥6, ♣6 | three of a kind
♥6, ♠A, ♠3, ♥6, ♥6 | three of a kind
♥6, ♠A, ♠3, ♥6, ♦10 | pair
♥6, ♠A, ♠3, ♥9, ♣6 | pair
♥6, ♠A, ♠3, ♥9, ♥6 | pair
♥6, ♠A, ♠3, ♥4, ♣6 | pair
♥6, ♠A, ♠3, ♥4, ♥6 | pair
♥6, ♠A, ♠3, ♣6, ♥6 | three of a kind
♥6, ♠A, ♠3, ♣6, ♦10 | pair
♥6, ♠A, ♠3, ♥6, ♦10 | pair
♥6, ♠A, ♣A, ♣4, ♥6 | two pairs
♥6, ♠A, ♣A, ♣4, ♥9 | pair
♥6, ♠A, ♣A, ♣4, ♥4 | two pairs
♥6, ♠A, ♣A, ♣4, ♣6 | two pairs
♥6, ♠A, ♣A, ♣4, ♥6 | two pairs
♥6, ♠A, ♣A, ♣4, ♦10 | pair
♥6, ♠A, ♣A, ♥6, ♥9 | two pairs
♥6, ♠A, ♣A, ♥6, ♥4 | two pairs
♥6, ♠A, ♣A, ♥6, ♣6 | fullhouse
♥6, ♠A, ♣A, ♥6, ♥6 | fullhouse
♥6, ♠A, ♣A, ♥6, ♦10 | two pairs
♥6, ♠A, ♣A, ♥9, ♥4 | pair
♥6, ♠A, ♣A, ♥9, ♣6 | two pairs
♥6, ♠A, ♣A, ♥9, ♥6 | two pairs
♥6, ♠A, ♣A, ♥9, ♦10 | pair
♥6, ♠A, ♣A, ♥4, ♣6 | two pairs
♥6, ♠A, ♣A, ♥4, ♥6 | two pairs
♥6, ♠A, ♣A, ♥4, ♦10 | pair
♥6, ♠A, ♣A, ♣6, ♥6 | fullhouse
♥6, ♠A, ♣A, ♣6, ♦10 | two pairs
♥6, ♠A, ♣A, ♥6, ♦10 | two pairs
♥6, ♠A, ♣4, ♥6, ♥9 | pair
♥6, ♠A, ♣4, ♥6, ♥4 | two pairs
♥6, ♠A, ♣4, ♥6, ♣6 | three of a kind
♥6, ♠A, ♣4, ♥6, ♥6 | three of a kind
♥6, ♠A, ♣4, ♥6, ♦10 | pair
♥6, ♠A, ♣4, ♥9, ♥4 | pair
♥6, ♠A, ♣4, ♥9, ♣6 | pair
♥6, ♠A, ♣4, ♥9, ♥6 | pair
♥6, ♠A, ♣4, ♥4, ♣6 | two pairs
♥6, ♠A, ♣4, ♥4, ♥6 | two pairs
♥6, ♠A, ♣4, ♥4, ♦10 | pair
♥6, ♠A, ♣4, ♣6, ♥6 | three of a kind
♥6, ♠A, ♣4, ♣6, ♦10 | pair
♥6, ♠A, ♣4, ♥6, ♦10 | pair
♥6, ♠A, ♥6, ♥9, ♥4 | pair
♥6, ♠A, ♥6, ♥9, ♣6 | three of a kind
♥6, ♠A, ♥6, ♥9, ♥6 | three of a kind
♥6, ♠A, ♥6, ♥9, ♦10 | pair
♥6, ♠A, ♥6, ♥4, ♣6 | three of a kind
♥6, ♠A, ♥6, ♥4, ♥6 | three of a kind
♥6, ♠A, ♥6, ♥4, ♦10 | pair
♥6, ♠A, ♥6, ♣6, ♥6 | four of a kind!
♥6, ♠A, ♥6, ♣6, ♦10 | three of a kind
♥6, ♠A, ♥6, ♥6, ♦10 | three of a kind
♥6, ♠A, ♥9, ♥4, ♣6 | pair
♥6, ♠A, ♥9, ♥4, ♥6 | pair
♥6, ♠A, ♥9, ♣6, ♥6 | three of a kind
♥6, ♠A, ♥9, ♣6, ♦10 | pair
♥6, ♠A, ♥9, ♥6, ♦10 | pair
♥6, ♠A, ♥4, ♣6, ♥6 | three of a kind
♥6, ♠A, ♥4, ♣6, ♦10 | pair
♥6, ♠A, ♥4, ♥6, ♦10 | pair
♥6, ♠A, ♣6, ♥6, ♦10 | three of a kind
♥6, ♠3, ♣A, ♣4, ♥6 | pair
♥6, ♠3, ♣A, ♣4, ♥4 | pair
♥6, ♠3, ♣A, ♣4, ♣6 | pair
♥6, ♠3, ♣A, ♣4, ♥6 | pair
♥6, ♠3, ♣A, ♥6, ♥9 | pair
♥6, ♠3, ♣A, ♥6, ♥4 | pair
♥6, ♠3, ♣A, ♥6, ♣6 | three of a kind
♥6, ♠3, ♣A, ♥6, ♥6 | three of a kind
♥6, ♠3, ♣A, ♥6, ♦10 | pair
♥6, ♠3, ♣A, ♥9, ♣6 | pair
♥6, ♠3, ♣A, ♥9, ♥6 | pair
♥6, ♠3, ♣A, ♥4, ♣6 | pair
♥6, ♠3, ♣A, ♥4, ♥6 | pair
♥6, ♠3, ♣A, ♣6, ♥6 | three of a kind
♥6, ♠3, ♣A, ♣6, ♦10 | pair
♥6, ♠3, ♣A, ♥6, ♦10 | pair
♥6, ♠3, ♣4, ♥6, ♥9 | pair
♥6, ♠3, ♣4, ♥6, ♥4 | two pairs
♥6, ♠3, ♣4, ♥6, ♣6 | three of a kind
♥6, ♠3, ♣4, ♥6, ♥6 | three of a kind
♥6, ♠3, ♣4, ♥6, ♦10 | pair
♥6, ♠3, ♣4, ♥9, ♥4 | pair
♥6, ♠3, ♣4, ♥9, ♣6 | pair
♥6, ♠3, ♣4, ♥9, ♥6 | pair
♥6, ♠3, ♣4, ♥4, ♣6 | two pairs
♥6, ♠3, ♣4, ♥4, ♥6 | two pairs
♥6, ♠3, ♣4, ♥4, ♦10 | pair
♥6, ♠3, ♣4, ♣6, ♥6 | three of a kind
♥6, ♠3, ♣4, ♣6, ♦10 | pair
♥6, ♠3, ♣4, ♥6, ♦10 | pair
♥6, ♠3, ♥6, ♥9, ♥4 | pair
♥6, ♠3, ♥6, ♥9, ♣6 | three of a kind
♥6, ♠3, ♥6, ♥9, ♥6 | three of a kind
♥6, ♠3, ♥6, ♥9, ♦10 | pair
♥6, ♠3, ♥6, ♥4, ♣6 | three of a kind
♥6, ♠3, ♥6, ♥4, ♥6 | three of a kind
♥6, ♠3, ♥6, ♥4, ♦10 | pair
♥6, ♠3, ♥6, ♣6, ♥6 | four of a kind!
♥6, ♠3, ♥6, ♣6, ♦10 | three of a kind
♥6, ♠3, ♥6, ♥6, ♦10 | three of a kind
♥6, ♠3, ♥9, ♥4, ♣6 | pair
♥6, ♠3, ♥9, ♥4, ♥6 | pair
♥6, ♠3, ♥9, ♣6, ♥6 | three of a kind
♥6, ♠3, ♥9, ♣6, ♦10 | pair
♥6, ♠3, ♥9, ♥6, ♦10 | pair
♥6, ♠3, ♥4, ♣6, ♥6 | three of a kind
♥6, ♠3, ♥4, ♣6, ♦10 | pair
♥6, ♠3, ♥4, ♥6, ♦10 | pair
♥6, ♠3, ♣6, ♥6, ♦10 | three of a kind
♥6, ♣A, ♣4, ♥6, ♥9 | pair
♥6, ♣A, ♣4, ♥6, ♥4 | two pairs
♥6, ♣A, ♣4, ♥6, ♣6 | three of a kind
♥6, ♣A, ♣4, ♥6, ♥6 | three of a kind
♥6, ♣A, ♣4, ♥6, ♦10 | pair
♥6, ♣A, ♣4, ♥9, ♥4 | pair
♥6, ♣A, ♣4, ♥9, ♣6 | pair
♥6, ♣A, ♣4, ♥9, ♥6 | pair
♥6, ♣A, ♣4, ♥4, ♣6 | two pairs
♥6, ♣A, ♣4, ♥4, ♥6 | two pairs
♥6, ♣A, ♣4, ♥4, ♦10 | pair
♥6, ♣A, ♣4, ♣6, ♥6 | three of a kind
♥6, ♣A, ♣4, ♣6, ♦10 | pair
♥6, ♣A, ♣4, ♥6, ♦10 | pair
♥6, ♣A, ♥6, ♥9, ♥4 | pair
♥6, ♣A, ♥6, ♥9, ♣6 | three of a kind
♥6, ♣A, ♥6, ♥9, ♥6 | three of a kind
♥6, ♣A, ♥6, ♥9, ♦10 | pair
♥6, ♣A, ♥6, ♥4, ♣6 | three of a kind
♥6, ♣A, ♥6, ♥4, ♥6 | three of a kind
♥6, ♣A, ♥6, ♥4, ♦10 | pair
♥6, ♣A, ♥6, ♣6, ♥6 | four of a kind!
♥6, ♣A, ♥6, ♣6, ♦10 | three of a kind
♥6, ♣A, ♥6, ♥6, ♦10 | three of a kind
♥6, ♣A, ♥9, ♥4, ♣6 | pair
♥6, ♣A, ♥9, ♥4, ♥6 | pair
♥6, ♣A, ♥9, ♣6, ♥6 | three of a kind
♥6, ♣A, ♥9, ♣6, ♦10 | pair
♥6, ♣A, ♥9, ♥6, ♦10 | pair
♥6, ♣A, ♥4, ♣6, ♥6 | three of a kind
♥6, ♣A, ♥4, ♣6, ♦10 | pair
♥6, ♣A, ♥4, ♥6, ♦10 | pair
♥6, ♣A, ♣6, ♥6, ♦10 | three of a kind
♥6, ♣4, ♥6, ♥9, ♥4 | two pairs
♥6, ♣4, ♥6, ♥9, ♣6 | three of a kind
♥6, ♣4, ♥6, ♥9, ♥6 | three of a kind
♥6, ♣4, ♥6, ♥9, ♦10 | pair
♥6, ♣4, ♥6, ♥4, ♣6 | fullhouse
♥6, ♣4, ♥6, ♥4, ♥6 | fullhouse
♥6, ♣4, ♥6, ♥4, ♦10 | two pairs
♥6, ♣4, ♥6, ♣6, ♥6 | four of a kind!
♥6, ♣4, ♥6, ♣6, ♦10 | three of a kind
♥6, ♣4, ♥6, ♥6, ♦10 | three of a kind
♥6, ♣4, ♥9, ♥4, ♣6 | two pairs
♥6, ♣4, ♥9, ♥4, ♥6 | two pairs
♥6, ♣4, ♥9, ♥4, ♦10 | pair
♥6, ♣4, ♥9, ♣6, ♥6 | three of a kind
♥6, ♣4, ♥9, ♣6, ♦10 | pair
♥6, ♣4, ♥9, ♥6, ♦10 | pair
♥6, ♣4, ♥4, ♣6, ♥6 | fullhouse
♥6, ♣4, ♥4, ♣6, ♦10 | two pairs
♥6, ♣4, ♥4, ♥6, ♦10 | two pairs
♥6, ♣4, ♣6, ♥6, ♦10 | three of a kind
♥6, ♥6, ♥9, ♥4, ♣6 | three of a kind
♥6, ♥6, ♥9, ♥4, ♥6 | flush
♥6, ♥6, ♥9, ♥4, ♦10 | pair
♥6, ♥6, ♥9, ♣6, ♥6 | four of a kind!
♥6, ♥6, ♥9, ♣6, ♦10 | three of a kind
♥6, ♥6, ♥9, ♥6, ♦10 | three of a kind
♥6, ♥6, ♥4, ♣6, ♥6 | four of a kind!
♥6, ♥6, ♥4, ♣6, ♦10 | three of a kind
♥6, ♥6, ♥4, ♥6, ♦10 | three of a kind
♥6, ♥6, ♣6, ♥6, ♦10 | four of a kind!
♥6, ♥9, ♥4, ♣6, ♥6 | three of a kind
♥6, ♥9, ♥4, ♣6, ♦10 | pair
♥6, ♥9, ♥4, ♥6, ♦10 | pair
♥6, ♥9, ♣6, ♥6, ♦10 | three of a kind
♥6, ♥4, ♣6, ♥6, ♦10 | three of a kind
♠A, ♠3, ♣A, ♣4, ♥6 | pair
♠A, ♠3, ♣A, ♣4, ♥9 | pair
♠A, ♠3, ♣A, ♣4, ♥4 | two pairs
♠A, ♠3, ♣A, ♣4, ♣6 | pair
♠A, ♠3, ♣A, ♣4, ♥6 | pair
♠A, ♠3, ♣A, ♣4, ♦10 | pair
♠A, ♠3, ♣A, ♥6, ♥9 | pair
♠A, ♠3, ♣A, ♥6, ♥4 | pair
♠A, ♠3, ♣A, ♥6, ♣6 | two pairs
♠A, ♠3, ♣A, ♥6, ♥6 | two pairs
♠A, ♠3, ♣A, ♥6, ♦10 | pair
♠A, ♠3, ♣A, ♥9, ♥4 | pair
♠A, ♠3, ♣A, ♥9, ♣6 | pair
♠A, ♠3, ♣A, ♥9, ♥6 | pair
♠A, ♠3, ♣A, ♥9, ♦10 | pair
♠A, ♠3, ♣A, ♥4, ♣6 | pair
♠A, ♠3, ♣A, ♥4, ♥6 | pair
♠A, ♠3, ♣A, ♥4, ♦10 | pair
♠A, ♠3, ♣A, ♣6, ♥6 | two pairs
♠A, ♠3, ♣A, ♣6, ♦10 | pair
♠A, ♠3, ♣A, ♥6, ♦10 | pair
♠A, ♠3, ♣4, ♥6, ♥4 | pair
♠A, ♠3, ♣4, ♥6, ♣6 | pair
♠A, ♠3, ♣4, ♥6, ♥6 | pair
♠A, ♠3, ♣4, ♥9, ♥4 | pair
♠A, ♠3, ♣4, ♥4, ♣6 | pair
♠A, ♠3, ♣4, ♥4, ♥6 | pair
♠A, ♠3, ♣4, ♥4, ♦10 | pair
♠A, ♠3, ♣4, ♣6, ♥6 | pair
♠A, ♠3, ♥6, ♥9, ♣6 | pair
♠A, ♠3, ♥6, ♥9, ♥6 | pair
♠A, ♠3, ♥6, ♥4, ♣6 | pair
♠A, ♠3, ♥6, ♥4, ♥6 | pair
♠A, ♠3, ♥6, ♣6, ♥6 | three of a kind
♠A, ♠3, ♥6, ♣6, ♦10 | pair
♠A, ♠3, ♥6, ♥6, ♦10 | pair
♠A, ♠3, ♥9, ♣6, ♥6 | pair
♠A, ♠3, ♥4, ♣6, ♥6 | pair
♠A, ♠3, ♣6, ♥6, ♦10 | pair
♠A, ♣A, ♣4, ♥6, ♥9 | pair
♠A, ♣A, ♣4, ♥6, ♥4 | two pairs
♠A, ♣A, ♣4, ♥6, ♣6 | two pairs
♠A, ♣A, ♣4, ♥6, ♥6 | two pairs
♠A, ♣A, ♣4, ♥6, ♦10 | pair
♠A, ♣A, ♣4, ♥9, ♥4 | two pairs
♠A, ♣A, ♣4, ♥9, ♣6 | pair
♠A, ♣A, ♣4, ♥9, ♥6 | pair
♠A, ♣A, ♣4, ♥9, ♦10 | pair
♠A, ♣A, ♣4, ♥4, ♣6 | two pairs
♠A, ♣A, ♣4, ♥4, ♥6 | two pairs
♠A, ♣A, ♣4, ♥4, ♦10 | two pairs
♠A, ♣A, ♣4, ♣6, ♥6 | two pairs
♠A, ♣A, ♣4, ♣6, ♦10 | pair
♠A, ♣A, ♣4, ♥6, ♦10 | pair
♠A, ♣A, ♥6, ♥9, ♥4 | pair
♠A, ♣A, ♥6, ♥9, ♣6 | two pairs
♠A, ♣A, ♥6, ♥9, ♥6 | two pairs
♠A, ♣A, ♥6, ♥9, ♦10 | pair
♠A, ♣A, ♥6, ♥4, ♣6 | two pairs
♠A, ♣A, ♥6, ♥4, ♥6 | two pairs
♠A, ♣A, ♥6, ♥4, ♦10 | pair
♠A, ♣A, ♥6, ♣6, ♥6 | fullhouse
♠A, ♣A, ♥6, ♣6, ♦10 | two pairs
♠A, ♣A, ♥6, ♥6, ♦10 | two pairs
♠A, ♣A, ♥9, ♥4, ♣6 | pair
♠A, ♣A, ♥9, ♥4, ♥6 | pair
♠A, ♣A, ♥9, ♥4, ♦10 | pair
♠A, ♣A, ♥9, ♣6, ♥6 | two pairs
♠A, ♣A, ♥9, ♣6, ♦10 | pair
