♣7, ♦7, ♠A, ♣5, ♦6 | pair
♣7, ♦7, ♠A, ♣5, ♣6 | pair
♣7, ♦7, ♠A, ♣5, ♦5 | two pairs
♣7, ♦7, ♠A, ♣5, ♥K | pair
♣7, ♦7, ♠A, ♣5, ♥2 | pair
♣7, ♦7, ♠A, ♣5, ♦Q | pair
♣7, ♦7, ♠A, ♣5, ♥9 | pair
♣7, ♦7, ♠A, ♣5, ♣2 | pair
♣7, ♦7, ♠A, ♦6, ♣6 | two pairs
♣7, ♦7, ♠A, ♦6, ♦5 | pair
♣7, ♦7, ♠A, ♦6, ♥K | pair
♣7, ♦7, ♠A, ♦6, ♥2 | pair
♣7, ♦7, ♠A, ♦6, ♦Q | pair
♣7, ♦7, ♠A, ♦6, ♥9 | pair
♣7, ♦7, ♠A, ♦6, ♣2 | pair
♣7, ♦7, ♠A, ♣6, ♦5 | pair
♣7, ♦7, ♠A, ♣6, ♥K | pair
♣7, ♦7, ♠A, ♣6, ♥2 | pair
♣7, ♦7, ♠A, ♣6, ♦Q | pair
♣7, ♦7, ♠A, ♣6, ♥9 | pair
♣7, ♦7, ♠A, ♣6, ♣2 | pair
♣7, ♦7, ♠A, ♦5, ♥K | pair
♣7, ♦7, ♠A, ♦5, ♥2 | pair
♣7, ♦7, ♠A, ♦5, ♦Q | pair
♣7, ♦7, ♠A, ♦5, ♥9 | pair
♣7, ♦7, ♠A, ♦5, ♣2 | pair
♣7, ♦7, ♠A, ♥K, ♥2 | pair
♣7, ♦7, ♠A, ♥K, ♦Q | pair
♣7, ♦7, ♠A, ♥K, ♥9 | pair
♣7, ♦7, ♠A, ♥K, ♣2 | pair
♣7, ♦7, ♠A, ♥2, ♦Q | pair
♣7, ♦7, ♠A, ♥2, ♥9 | pair
♣7, ♦7, ♠A, ♥2, ♣2 | two pairs
♣7, ♦7, ♠A, ♦Q, ♥9 | pair
♣7, ♦7, ♠A, ♦Q, ♣2 | pair
♣7, ♦7, ♠A, ♥9, ♣2 | pair
♣7, ♦7, ♣5, ♦6, ♣6 | two pairs
♣7, ♦7, ♣5, ♦6, ♦5 | two pairs
♣7, ♦7, ♣5, ♦6, ♥K | pair
♣7, ♦7, ♣5, ♦6, ♥2 | pair
♣7, ♦7, ♣5, ♦6, ♦Q | pair
♣7, ♦7, ♣5, ♦6, ♥9 | pair
♣7, ♦7, ♣5, ♦6, ♣2 | pair
♣7, ♦7, ♣5, ♣6, ♦5 | two pairs
♣7, ♦7, ♣5, ♣6, ♥K | pair
♣7, ♦7, ♣5, ♣6, ♥2 | pair
♣7, ♦7, ♣5, ♣6, ♦Q | pair
♣7, ♦7, ♣5, ♣6, ♥9 | pair
♣7, ♦7, ♣5, ♣6, ♣2 | pair
♣7, ♦7, ♣5, ♦5, ♥K | two pairs
♣7, ♦7, ♣5, ♦5, ♥2 | two pairs
♣7, ♦7, ♣5, ♦5, ♦Q | two pairs
♣7, ♦7, ♣5, ♦5, ♥9 | two pairs
♣7, ♦7, ♣5, ♦5, ♣2 | two pairs
♣7, ♦7, ♣5, ♥K, ♥2 | pair
♣7, ♦7, ♣5, ♥K, ♦Q | pair
♣7, ♦7, ♣5, ♥K, ♥9 | pair
♣7, ♦7, ♣5, ♥K, ♣2 | pair
♣7, ♦7, ♣5, ♥2, ♦Q | pair
♣7, ♦7, ♣5, ♥2, ♥9 | pair
♣7, ♦7, ♣5, ♥2, ♣2 | two pairs
♣7, ♦7, ♣5, ♦Q, ♥9 | pair
♣7, ♦7, ♣5, ♦Q, ♣2 | pair
♣7, ♦7, ♣5, ♥9, ♣2 | pair
♣7, ♦7, ♦6, ♣6, ♦5 | two pairs
♣7, ♦7, ♦6, ♣6, ♥K | two pairs
♣7, ♦7, ♦6, ♣6, ♥2 | two pairs
♣7, ♦7, ♦6, ♣6, ♦Q | two pairs
♣7, ♦7, ♦6, ♣6, ♥9 | two pairs
♣7, ♦7, ♦6, ♣6, ♣2 | two pairs
♣7, ♦7, ♦6, ♦5, ♥K | pair
♣7, ♦7, ♦6, ♦5, ♥2 | pair
♣7, ♦7, ♦6, ♦5, ♦Q | pair
♣7, ♦7, ♦6, ♦5, ♥9 | pair
♣7, ♦7, ♦6, ♦5, ♣2 | pair
♣7, ♦7, ♦6, ♥K, ♥2 | pair
♣7, ♦7, ♦6, ♥K, ♦Q | pair
♣7, ♦7, ♦6, ♥K, ♥9 | pair
♣7, ♦7, ♦6, ♥K, ♣2 | pair
♣7, ♦7, ♦6, ♥2, ♦Q | pair
♣7, ♦7, ♦6, ♥2, ♥9 | pair
♣7, ♦7, ♦6, ♥2, ♣2 | two pairs
♣7, ♦7, ♦6, ♦Q, ♥9 | pair
♣7, ♦7, ♦6, ♦Q, ♣2 | pair
♣7, ♦7, ♦6, ♥9, ♣2 | pair
♣7, ♦7, ♣6, ♦5, ♥K | pair
♣7, ♦7, ♣6, ♦5, ♥2 | pair
♣7, ♦7, ♣6, ♦5, ♦Q | pair
♣7, ♦7, ♣6, ♦5, ♥9 | pair
♣7, ♦7, ♣6, ♦5, ♣2 | pair
♣7, ♦7, ♣6, ♥K, ♥2 | pair
♣7, ♦7, ♣6, ♥K, ♦Q | pair
♣7, ♦7, ♣6, ♥K, ♥9 | pair
♣7, ♦7, ♣6, ♥K, ♣2 | pair
♣7, ♦7, ♣6, ♥2, ♦Q | pair
♣7, ♦7, ♣6, ♥2, ♥9 | pair
♣7, ♦7, ♣6, ♥2, ♣2 | two pairs
♣7, ♦7, ♣6, ♦Q, ♥9 | pair
♣7, ♦7, ♣6, ♦Q, ♣2 | pair
♣7, ♦7, ♣6, ♥9, ♣2 | pair
♣7, ♦7, ♦5, ♥K, ♥2 | pair
♣7, ♦7, ♦5, ♥K, ♦Q | pair
♣7, ♦7, ♦5, ♥K, ♥9 | pair
♣7, ♦7, ♦5, ♥K, ♣2 | pair
♣7, ♦7, ♦5, ♥2, ♦Q | pair
♣7, ♦7, ♦5, ♥2, ♥9 | pair
♣7, ♦7, ♦5, ♥2, ♣2 | two pairs
♣7, ♦7, ♦5, ♦Q, ♥9 | pair
♣7, ♦7, ♦5, ♦Q, ♣2 | pair
♣7, ♦7, ♦5, ♥9, ♣2 | pair
♣7, ♦7, ♥K, ♥2, ♦Q | pair
♣7, ♦7, ♥K, ♥2, ♥9 | pair
♣7, ♦7, ♥K, ♥2, ♣2 | two pairs
♣7, ♦7, ♥K, ♦Q, ♥9 | pair
♣7, ♦7, ♥K, ♦Q, ♣2 | pair
♣7, ♦7, ♥K, ♥9, ♣2 | pair
♣7, ♦7, ♥2, ♦Q, ♥9 | pair
♣7, ♦7, ♥2, ♦Q, ♣2 | two pairs
♣7, ♦7, ♥2, ♥9, ♣2 | two pairs
♣7, ♦7, ♦Q, ♥9, ♣2 | pair
♣7, ♠A, ♣5, ♦6, ♣6 | pair
♣7, ♠A, ♣5, ♦6, ♦5 | pair
♣7, ♠A, ♣5, ♣6, ♦5 | pair
♣7, ♠A, ♣5, ♦5, ♥K | pair
♣7, ♠A, ♣5, ♦5, ♥2 | pair
♣7, ♠A, ♣5, ♦5, ♦Q | pair
♣7, ♠A, ♣5, ♦5, ♥9 | pair
♣7, ♠A, ♣5, ♦5, ♣2 | pair
♣7, ♠A, ♣5, ♥2, ♣2 | pair
♣7, ♠A, ♦6, ♣6, ♦5 | pair
♣7, ♠A, ♦6, ♣6, ♥K | pair
♣7, ♠A, ♦6, ♣6, ♥2 | pair
♣7, ♠A, ♦6, ♣6, ♦Q | pair
♣7, ♠A, ♦6, ♣6, ♥9 | pair
♣7, ♠A, ♦6, ♣6, ♣2 | pair
♣7, ♠A, ♦6, ♥2, ♣2 | pair
♣7, ♠A, ♣6, ♥2, ♣2 | pair
♣7, ♠A, ♦5, ♥2, ♣2 | pair
♣7, ♠A, ♥K, ♥2, ♣2 | pair
♣7, ♠A, ♥2, ♦Q, ♣2 | pair
♣7, ♠A, ♥2, ♥9, ♣2 | pair
♣7, ♣5, ♦6, ♣6, ♦5 | two pairs
♣7, ♣5, ♦6, ♣6, ♥K | pair
♣7, ♣5, ♦6, ♣6, ♥2 | pair
♣7, ♣5, ♦6, ♣6, ♦Q | pair
♣7, ♣5, ♦6, ♣6, ♥9 | pair
♣7, ♣5, ♦6, ♣6, ♣2 | pair
♣7, ♣5, ♦6, ♦5, ♥K | pair
♣7, ♣5, ♦6, ♦5, ♥2 | pair
♣7, ♣5, ♦6, ♦5, ♦Q | pair
♣7, ♣5, ♦6, ♦5, ♥9 | pair
♣7, ♣5, ♦6, ♦5, ♣2 | pair
♣7, ♣5, ♦6, ♥2, ♣2 | pair
♣7, ♣5, ♣6, ♦5, ♥K | pair
♣7, ♣5, ♣6, ♦5, ♥2 | pair
♣7, ♣5, ♣6, ♦5, ♦Q | pair
♣7, ♣5, ♣6, ♦5, ♥9 | pair
♣7, ♣5, ♣6, ♦5, ♣2 | pair
♣7, ♣5, ♣6, ♥2, ♣2 | pair
♣7, ♣5, ♦5, ♥K, ♥2 | pair
♣7, ♣5, ♦5, ♥K, ♦Q | pair
♣7, ♣5, ♦5, ♥K, ♥9 | pair
♣7, ♣5, ♦5, ♥K, ♣2 | pair
♣7, ♣5, ♦5, ♥2, ♦Q | pair
♣7, ♣5, ♦5, ♥2, ♥9 | pair
♣7, ♣5, ♦5, ♥2, ♣2 | two pairs
♣7, ♣5, ♦5, ♦Q, ♥9 | pair
♣7, ♣5, ♦5, ♦Q, ♣2 | pair
♣7, ♣5, ♦5, ♥9, ♣2 | pair
♣7, ♣5, ♥K, ♥2, ♣2 | pair
♣7, ♣5, ♥2, ♦Q, ♣2 | pair
♣7, ♣5, ♥2, ♥9, ♣2 | pair
♣7, ♦6, ♣6, ♦5, ♥K | pair
♣7, ♦6, ♣6, ♦5, ♥2 | pair
♣7, ♦6, ♣6, ♦5, ♦Q | pair
♣7, ♦6, ♣6, ♦5, ♥9 | pair
♣7, ♦6, ♣6, ♦5, ♣2 | pair
♣7, ♦6, ♣6, ♥K, ♥2 | pair
♣7, ♦6, ♣6, ♥K, ♦Q | pair
♣7, ♦6, ♣6, ♥K, ♥9 | pair
♣7, ♦6, ♣6, ♥K, ♣2 | pair
♣7, ♦6, ♣6, ♥2, ♦Q | pair
♣7, ♦6, ♣6, ♥2, ♥9 | pair
♣7, ♦6, ♣6, ♥2, ♣2 | two pairs
♣7, ♦6, ♣6, ♦Q, ♥9 | pair
♣7, ♦6, ♣6, ♦Q, ♣2 | pair
♣7, ♦6, ♣6, ♥9, ♣2 | pair
♣7, ♦6, ♦5, ♥2, ♣2 | pair
♣7, ♦6, ♥K, ♥2, ♣2 | pair
♣7, ♦6, ♥2, ♦Q, ♣2 | pair
♣7, ♦6, ♥2, ♥9, ♣2 | pair
♣7, ♣6, ♦5, ♥2, ♣2 | pair
♣7, ♣6, ♥K, ♥2, ♣2 | pair
♣7, ♣6, ♥2, ♦Q, ♣2 | pair
♣7, ♣6, ♥2, ♥9, ♣2 | pair
♣7, ♦5, ♥K, ♥2, ♣2 | pair
♣7, ♦5, ♥2, ♦Q, ♣2 | pair
♣7, ♦5, ♥2, ♥9, ♣2 | pair
♣7, ♥K, ♥2, ♦Q, ♣2 | pair
♣7, ♥K, ♥2, ♥9, ♣2 | pair
♣7, ♥2, ♦Q, ♥9, ♣2 | pair
♦7, ♠A, ♣5, ♦6, ♣6 | pair
♦7, ♠A, ♣5, ♦6, ♦5 | pair
♦7, ♠A, ♣5, ♣6, ♦5 | pair
♦7, ♠A, ♣5, ♦5, ♥K | pair
♦7, ♠A, ♣5, ♦5, ♥2 | pair
♦7, ♠A, ♣5, ♦5, ♦Q | pair
♦7, ♠A, ♣5, ♦5, ♥9 | pair
♦7, ♠A, ♣5, ♦5, ♣2 | pair
♦7, ♠A, ♣5, ♥2, ♣2 | pair
♦7, ♠A, ♦6, ♣6, ♦5 | pair
♦7, ♠A, ♦6, ♣6, ♥K | pair
♦7, ♠A, ♦6, ♣6, ♥2 | pair
♦7, ♠A, ♦6, ♣6, ♦Q | pair
♦7, ♠A, ♦6, ♣6, ♥9 | pair
♦7, ♠A, ♦6, ♣6, ♣2 | pair
♦7, ♠A, ♦6, ♥2, ♣2 | pair
♦7, ♠A, ♣6, ♥2, ♣2 | pair
♦7, ♠A, ♦5, ♥2, ♣2 | pair
♦7, ♠A, ♥K, ♥2, ♣2 | pair
♦7, ♠A, ♥2, ♦Q, ♣2 | pair
♦7, ♠A, ♥2, ♥9, ♣2 | pair
♦7, ♣5, ♦6, ♣6, ♦5 | two pairs
♦7, ♣5, ♦6, ♣6, ♥K | pair
♦7, ♣5, ♦6, ♣6, ♥2 | pair
♦7, ♣5, ♦6, ♣6, ♦Q | pair
♦7, ♣5, ♦6, ♣6, ♥9 | pair
♦7, ♣5, ♦6, ♣6, ♣2 | pair
♦7, ♣5, ♦6, ♦5, ♥K | pair
♦7, ♣5, ♦6, ♦5, ♥2 | pair
♦7, ♣5, ♦6, ♦5, ♦Q | pair
♦7, ♣5, ♦6, ♦5, ♥9 | pair
♦7, ♣5, ♦6, ♦5, ♣2 | pair
♦7, ♣5, ♦6, ♥2, ♣2 | pair
♦7, ♣5, ♣6, ♦5, ♥K | pair
♦7, ♣5, ♣6, ♦5, ♥2 | pair
♦7, ♣5, ♣6, ♦5, ♦Q | pair
♦7, ♣5, ♣6, ♦5, ♥9 | pair
♦7, ♣5, ♣6, ♦5, ♣2 | pair
♦7, ♣5, ♣6, ♥2, ♣2 | pair
♦7, ♣5, ♦5, ♥K, ♥2 | pair
♦7, ♣5, ♦5, ♥K, ♦Q | pair
♦7, ♣5, ♦5, ♥K, ♥9 | pair
♦7, ♣5, ♦5, ♥K, ♣2 | pair
♦7, ♣5, ♦5, ♥2, ♦Q | pair
♦7, ♣5, ♦5, ♥2, ♥9 | pair
♦7, ♣5, ♦5, ♥2, ♣2 | two pairs
♦7, ♣5, ♦5, ♦Q, ♥9 | pair
♦7, ♣5, ♦5, ♦Q, ♣2 | pair
♦7, ♣5, ♦5, ♥9, ♣2 | pair
♦7, ♣5, ♥K, ♥2, ♣2 | pair
♦7, ♣5, ♥2, ♦Q, ♣2 | pair
♦7, ♣5, ♥2, ♥9, ♣2 | pair
♦7, ♦6, ♣6, ♦5, ♥K | pair
♦7, ♦6, ♣6, ♦5, ♥2 | pair
♦7, ♦6, ♣6, ♦5, ♦Q | pair
♦7, ♦6, ♣6, ♦5, ♥9 | pair
♦7, ♦6, ♣6, ♦5, ♣2 | pair
♦7, ♦6, ♣6, ♥K, ♥2 | pair
♦7, ♦6, ♣6, ♥K, ♦Q | pair
♦7, ♦6, ♣6, ♥K, ♥9 | pair
♦7, ♦6, ♣6, ♥K, ♣2 | pair
♦7, ♦6, ♣6, ♥2, ♦Q | pair
♦7, ♦6, ♣6, ♥2, ♥9 | pair
♦7, ♦6, ♣6, ♥2, ♣2 | two pairs
♦7, ♦6, ♣6, ♦Q, ♥9 | pair
♦7, ♦6, ♣6, ♦Q, ♣2 | pair
♦7, ♦6, ♣6, ♥9, ♣2 | pair
♦7, ♦6, ♦5, ♥2, ♣2 | pair
♦7, ♦6, ♥K, ♥2, ♣2 | pair
♦7, ♦6, ♥2, ♦Q, ♣2 | pair
♦7, ♦6, ♥2, ♥9, ♣2 | pair
♦7, ♣6, ♦5, ♥2, ♣2 | pair
♦7, ♣6, ♥K, ♥2, ♣2 | pair
♦7, ♣6, ♥2, ♦Q, ♣2 | pair
♦7, ♣6, ♥2, ♥9, ♣2 | pair
♦7, ♦5, ♥K, ♥2, ♣2 | pair
♦7, ♦5, ♥2, ♦Q, ♣2 | pair
♦7, ♦5, ♥2, ♥9, ♣2 | pair
♦7, ♥K, ♥2, ♦Q, ♣2 | pair
♦7, ♥K, ♥2, ♥9, ♣2 | pair
♦7, ♥2, ♦Q, ♥9, ♣2 | pair
♠A, ♣5, ♦6, ♣6, ♦5 | two pairs
♠A, ♣5, ♦6, ♣6, ♥K | pair
♠A, ♣5, ♦6, ♣6, ♥2 | pair
♠A, ♣5, ♦6, ♣6, ♦Q | pair
♠A, ♣5, ♦6, ♣6, ♥9 | pair
♠A, ♣5, ♦6, ♣6, ♣2 | pair
♠A, ♣5, ♦6, ♦5, ♥K | pair
♠A, ♣5, ♦6, ♦5, ♥2 | pair
♠A, ♣5, ♦6, ♦5, ♦Q | pair
♠A, ♣5, ♦6, ♦5, ♥9 | pair
♠A, ♣5, ♦6, ♦5, ♣2 | pair
♠A, ♣5, ♦6, ♥2, ♣2 | pair
♠A, ♣5, ♣6, ♦5, ♥K | pair
♠A, ♣5, ♣6, ♦5, ♥2 | pair
♠A, ♣5, ♣6, ♦5, ♦Q | pair
♠A, ♣5, ♣6, ♦5, ♥9 | pair
♠A, ♣5, ♣6, ♦5, ♣2 | pair
♠A, ♣5, ♣6, ♥2, ♣2 | pair
♠A, ♣5, ♦5, ♥K, ♥2 | pair
♠A, ♣5, ♦5, ♥K, ♦Q | pair
♠A, ♣5, ♦5, ♥K, ♥9 | pair
♠A, ♣5, ♦5, ♥K, ♣2 | pair
♠A, ♣5, ♦5, ♥2, ♦Q | pair
♠A, ♣5, ♦5, ♥2, ♥9 | pair
♠A, ♣5, ♦5, ♥2, ♣2 | two pairs
♠A, ♣5, ♦5, ♦Q, ♥9 | pair
♠A, ♣5, ♦5, ♦Q, ♣2 | pair
♠A, ♣5, ♦5, ♥9, ♣2 | pair
♠A, ♣5, ♥K, ♥2, ♣2 | pair
♠A, ♣5, ♥2, ♦Q, ♣2 | pair
♠A, ♣5, ♥2, ♥9, ♣2 | pair
♠A, ♦6, ♣6, ♦5, ♥K | pair
♠A, ♦6, ♣6, ♦5, ♥2 | pair
♠A, ♦6, ♣6, ♦5, ♦Q | pair
♠A, ♦6, ♣6, ♦5, ♥9 | pair
♠A, ♦6, ♣6, ♦5, ♣2 | pair
♠A, ♦6, ♣6, ♥K, ♥2 | pair
♠A, ♦6, ♣6, ♥K, ♦Q | pair
♠A, ♦6, ♣6, ♥K, ♥9 | pair
♠A, ♦6, ♣6, ♥K, ♣2 | pair
♠A, ♦6, ♣6, ♥2, ♦Q | pair
♠A, ♦6, ♣6, ♥2, ♥9 | pair
♠A, ♦6, ♣6, ♥2, ♣2 | two pairs
♠A, ♦6, ♣6, ♦Q, ♥9 | pair
♠A, ♦6, ♣6, ♦Q, ♣2 | pair
♠A, ♦6, ♣6, ♥9, ♣2 | pair
♠A, ♦6, ♦5, ♥2, ♣2 | pair
♠A, ♦6, ♥K, ♥2, ♣2 | pair
♠A, ♦6, ♥2, ♦Q, ♣2 | pair
♠A, ♦6, ♥2, ♥9, ♣2 | pair
♠A, ♣6, ♦5, ♥2, ♣2 | pair
♠A, ♣6, ♥K, ♥2, ♣2 | pair
♠A, ♣6, ♥2, ♦Q, ♣2 | pair
♠A, ♣6, ♥2, ♥9, ♣2 | pair
♠A, ♦5, ♥K, ♥2, ♣2 | pair
♠A, ♦5, ♥2, ♦Q, ♣2 | pair
♠A, ♦5, ♥2, ♥9, ♣2 | pair
♠A, ♥K, ♥2, ♦Q, ♣2 | pair
♠A, ♥K, ♥2, ♥9, ♣2 | pair
♠A, ♥2, ♦Q, ♥9, ♣2 | pair
♣5, ♦6, ♣6, ♦5, ♥K | two pairs
♣5, ♦6, ♣6, ♦5, ♥2 | two pairs
♣5, ♦6, ♣6, ♦5, ♦Q | two pairs
♣5, ♦6, ♣6, ♦5, ♥9 | two pairs
♣5, ♦6, ♣6, ♦5, ♣2 | two pairs
♣5, ♦6, ♣6, ♥K, ♥2 | pair
♣5, ♦6, ♣6, ♥K, ♦Q | pair
♣5, ♦6, ♣6, ♥K, ♥9 | pair
♣5, ♦6, ♣6, ♥K, ♣2 | pair
♣5, ♦6, ♣6, ♥2, ♦Q | pair
♣5, ♦6, ♣6, ♥2, ♥9 | pair
♣5, ♦6, ♣6, ♥2, ♣2 | two pairs
♣5, ♦6, ♣6, ♦Q, ♥9 | pair
♣5, ♦6, ♣6, ♦Q, ♣2 | pair
♣5, ♦6, ♣6, ♥9, ♣2 | pair
♣5, ♦6, ♦5, ♥K, ♥2 | pair
♣5, ♦6, ♦5, ♥K, ♦Q | pair
♣5, ♦6, ♦5, ♥K, ♥9 | pair
♣5, ♦6, ♦5, ♥K, ♣2 | pair
♣5, ♦6, ♦5, ♥2, ♦Q | pair
♣5, ♦6, ♦5, ♥2, ♥9 | pair
♣5, ♦6, ♦5, ♥2, ♣2 | two pairs
♣5, ♦6, ♦5, ♦Q, ♥9 | pair
♣5, ♦6, ♦5, ♦Q, ♣2 | pair
♣5, ♦6, ♦5, ♥9, ♣2 | pair
♣5, ♦6, ♥K, ♥2, ♣2 | pair
♣5, ♦6, ♥2, ♦Q, ♣2 | pair
♣5, ♦6, ♥2, ♥9, ♣2 | pair
♣5, ♣6, ♦5, ♥K, ♥2 | pair
♣5, ♣6, ♦5, ♥K, ♦Q | pair
♣5, ♣6, ♦5, ♥K, ♥9 | pair
♣5, ♣6, ♦5, ♥K, ♣2 | pair
♣5, ♣6, ♦5, ♥2, ♦Q | pair
♣5, ♣6, ♦5, ♥2, ♥9 | pair
♣5, ♣6, ♦5, ♥2, ♣2 | two pairs
♣5, ♣6, ♦5, ♦Q, ♥9 | pair
♣5, ♣6, ♦5, ♦Q, ♣2 | pair
♣5, ♣6, ♦5, ♥9, ♣2 | pair
♣5, ♣6, ♥K, ♥2, ♣2 | pair
♣5, ♣6, ♥2, ♦Q, ♣2 | pair
♣5, ♣6, ♥2, ♥9, ♣2 | pair
♣5, ♦5, ♥K, ♥2, ♦Q | pair
♣5, ♦5, ♥K, ♥2, ♥9 | pair
♣5, ♦5, ♥K, ♥2, ♣2 | two pairs
♣5, ♦5, ♥K, ♦Q, ♥9 | pair
♣5, ♦5, ♥K, ♦Q, ♣2 | pair
♣5, ♦5, ♥K, ♥9, ♣2 | pair
♣5, ♦5, ♥2, ♦Q, ♥9 | pair
♣5, ♦5, ♥2, ♦Q, ♣2 | two pairs
♣5, ♦5, ♥2, ♥9, ♣2 | two pairs
♣5, ♦5, ♦Q, ♥9, ♣2 | pair
♣5, ♥K, ♥2, ♦Q, ♣2 | pair
♣5, ♥K, ♥2, ♥9, ♣2 | pair
♣5, ♥2, ♦Q, ♥9, ♣2 | pair
♦6, ♣6, ♦5, ♥K, ♥2 | pair
♦6, ♣6, ♦5, ♥K, ♦Q | pair
♦6, ♣6, ♦5, ♥K, ♥9 | pair
♦6, ♣6, ♦5, ♥K, ♣2 | pair
♦6, ♣6, ♦5, ♥2, ♦Q | pair
♦6, ♣6, ♦5, ♥2, ♥9 | pair
♦6, ♣6, ♦5, ♥2, ♣2 | two pairs
♦6, ♣6, ♦5, ♦Q, ♥9 | pair
♦6, ♣6, ♦5, ♦Q, ♣2 | pair
