♥2, ♥7, ♣9, ♥8, ♠2 | pair
♥2, ♥7, ♣9, ♥8, ♥7 | pair
♥2, ♥7, ♣9, ♣J, ♠2 | pair
♥2, ♥7, ♣9, ♣J, ♥7 | pair
♥2, ♥7, ♣9, ♥4, ♠2 | pair
♥2, ♥7, ♣9, ♥4, ♥7 | pair
♥2, ♥7, ♣9, ♥4, ♥4 | pair
♥2, ♥7, ♣9, ♥4, ♦4 | pair
♥2, ♥7, ♣9, ♥4, ♠4 | pair
♥2, ♥7, ♣9, ♠2, ♠5 | pair
♥2, ♥7, ♣9, ♠2, ♥10 | pair
♥2, ♥7, ♣9, ♠2, ♥7 | two pairs
♥2, ♥7, ♣9, ♠2, ♥4 | pair
♥2, ♥7, ♣9, ♠2, ♣A | pair
♥2, ♥7, ♣9, ♠2, ♠K | pair
♥2, ♥7, ♣9, ♠2, ♣A | pair
♥2, ♥7, ♣9, ♠2, ♦4 | pair
♥2, ♥7, ♣9, ♠2, ♠4 | pair
♥2, ♥7, ♣9, ♠5, ♥7 | pair
♥2, ♥7, ♣9, ♥10, ♥7 | pair
♥2, ♥7, ♣9, ♥7, ♥4 | pair
♥2, ♥7, ♣9, ♥7, ♣A | pair
♥2, ♥7, ♣9, ♥7, ♠K | pair
♥2, ♥7, ♣9, ♥7, ♣A | pair
♥2, ♥7, ♣9, ♥7, ♦4 | pair
♥2, ♥7, ♣9, ♥7, ♠4 | pair
♥2, ♥7, ♣9, ♥4, ♦4 | pair
♥2, ♥7, ♣9, ♥4, ♠4 | pair
♥2, ♥7, ♣9, ♣A, ♣A | pair
♥2, ♥7, ♣9, ♦4, ♠4 | pair
♥2, ♥7, ♥8, ♣J, ♠2 | pair
♥2, ♥7, ♥8, ♣J, ♥7 | pair
♥2, ♥7, ♥8, ♥4, ♠2 | pair
♥2, ♥7, ♥8, ♥4, ♥10 | flush
♥2, ♥7, ♥8, ♥4, ♥7 | flush
♥2, ♥7, ♥8, ♥4, ♥4 | flush
♥2, ♥7, ♥8, ♥4, ♦4 | pair
♥2, ♥7, ♥8, ♥4, ♠4 | pair
♥2, ♥7, ♥8, ♠2, ♠5 | pair
♥2, ♥7, ♥8, ♠2, ♥10 | pair
♥2, ♥7, ♥8, ♠2, ♥7 | two pairs
♥2, ♥7, ♥8, ♠2, ♥4 | pair
♥2, ♥7, ♥8, ♠2, ♣A | pair
♥2, ♥7, ♥8, ♠2, ♠K | pair
♥2, ♥7, ♥8, ♠2, ♣A | pair
♥2, ♥7, ♥8, ♠2, ♦4 | pair
♥2, ♥7, ♥8, ♠2, ♠4 | pair
♥2, ♥7, ♥8, ♠5, ♥7 | pair
♥2, ♥7, ♥8, ♥10, ♥7 | flush
♥2, ♥7, ♥8, ♥10, ♥4 | flush
♥2, ♥7, ♥8, ♥7, ♥4 | flush
♥2, ♥7, ♥8, ♥7, ♣A | pair
♥2, ♥7, ♥8, ♥7, ♠K | pair
♥2, ♥7, ♥8, ♥7, ♣A | pair
♥2, ♥7, ♥8, ♥7, ♦4 | pair
♥2, ♥7, ♥8, ♥7, ♠4 | pair
