♠Q, ♥3, ♥6, ♥A, ♥Q | pair
♠Q, ♥3, ♥6, ♥A, ♣A | pair
♠Q, ♥3, ♥6, ♥A, ♠Q | pair
♠Q, ♥3, ♥6, ♦7, ♥Q | pair
♠Q, ♥3, ♥6, ♦7, ♠Q | pair
♠Q, ♥3, ♥6, ♥Q, ♣A | pair
♠Q, ♥3, ♥6, ♥Q, ♠Q | three of a kind
♠Q, ♥3, ♥6, ♥Q, ♣4 | pair
♠Q, ♥3, ♥6, ♥Q, ♣2 | pair
♠Q, ♥3, ♥6, ♣A, ♠Q | pair
♠Q, ♥3, ♥6, ♠Q, ♣4 | pair
♠Q, ♥3, ♥6, ♠Q, ♣2 | pair
♠Q, ♥3, ♥A, ♦7, ♥Q | pair
♠Q, ♥3, ♥A, ♦7, ♣A | pair
♠Q, ♥3, ♥A, ♦7, ♠Q | pair
♠Q, ♥3, ♥A, ♥Q, ♣A | two pairs
♠Q, ♥3, ♥A, ♥Q, ♠Q | three of a kind
♠Q, ♥3, ♥A, ♥Q, ♣4 | pair
♠Q, ♥3, ♥A, ♥Q, ♣2 | pair
♠Q, ♥3, ♥A, ♣A, ♠Q | two pairs
♠Q, ♥3, ♥A, ♣A, ♣4 | pair
♠Q, ♥3, ♥A, ♣A, ♣2 | pair
♠Q, ♥3, ♥A, ♠Q, ♣4 | pair
♠Q, ♥3, ♥A, ♠Q, ♣2 | pair
♠Q, ♥3, ♦7, ♥Q, ♣A | pair
♠Q, ♥3, ♦7, ♥Q, ♠Q | three of a kind
♠Q, ♥3, ♦7, ♥Q, ♣4 | pair
♠Q, ♥3, ♦7, ♥Q, ♣2 | pair
♠Q, ♥3, ♦7, ♣A, ♠Q | pair
♠Q, ♥3, ♦7, ♠Q, ♣4 | pair
♠Q, ♥3, ♦7, ♠Q, ♣2 | pair
♠Q, ♥3, ♥Q, ♣A, ♠Q | three of a kind
♠Q, ♥3, ♥Q, ♣A, ♣4 | pair
♠Q, ♥3, ♥Q, ♣A, ♣2 | pair
♠Q, ♥3, ♥Q, ♠Q, ♣4 | three of a kind
♠Q, ♥3, ♥Q, ♠Q, ♣2 | three of a kind
♠Q, ♥3, ♥Q, ♣4, ♣2 | pair
♠Q, ♥3, ♣A, ♠Q, ♣4 | pair
♠Q, ♥3, ♣A, ♠Q, ♣2 | pair
♠Q, ♥3, ♠Q, ♣4, ♣2 | pair
♠Q, ♥6, ♥A, ♦7, ♥Q | pair
♠Q, ♥6, ♥A, ♦7, ♣A | pair
♠Q, ♥6, ♥A, ♦7, ♠Q | pair
♠Q, ♥6, ♥A, ♥Q, ♣A | two pairs
♠Q, ♥6, ♥A, ♥Q, ♠Q | three of a kind
♠Q, ♥6, ♥A, ♥Q, ♣4 | pair
♠Q, ♥6, ♥A, ♥Q, ♣2 | pair
♠Q, ♥6, ♥A, ♣A, ♠Q | two pairs
♠Q, ♥6, ♥A, ♣A, ♣4 | pair
♠Q, ♥6, ♥A, ♣A, ♣2 | pair
♠Q, ♥6, ♥A, ♠Q, ♣4 | pair
♠Q, ♥6, ♥A, ♠Q, ♣2 | pair
♠Q, ♥6, ♦7, ♥Q, ♣A | pair
♠Q, ♥6, ♦7, ♥Q, ♠Q | three of a kind
♠Q, ♥6, ♦7, ♥Q, ♣4 | pair
♠Q, ♥6, ♦7, ♥Q, ♣2 | pair
♠Q, ♥6, ♦7, ♣A, ♠Q | pair
♠Q, ♥6, ♦7, ♠Q, ♣4 | pair
♠Q, ♥6, ♦7, ♠Q, ♣2 | pair
♠Q, ♥6, ♥Q, ♣A, ♠Q | three of a kind
♠Q, ♥6, ♥Q, ♣A, ♣4 | pair
♠Q, ♥6, ♥Q, ♣A, ♣2 | pair
♠Q, ♥6, ♥Q, ♠Q, ♣4 | three of a kind
♠Q, ♥6, ♥Q, ♠Q, ♣2 | three of a kind
♠Q, ♥6, ♥Q, ♣4, ♣2 | pair
♠Q, ♥6, ♣A, ♠Q, ♣4 | pair
♠Q, ♥6, ♣A, ♠Q, ♣2 | pair
♠Q, ♥6, ♠Q, ♣4, ♣2 | pair
♠Q, ♥A, ♦7, ♥Q, ♣A | two pairs
♠Q, ♥A, ♦7, ♥Q, ♠Q | three of a kind
♠Q, ♥A, ♦7, ♥Q, ♣4 | pair
♠Q, ♥A, ♦7, ♥Q, ♣2 | pair
♠Q, ♥A, ♦7, ♣A, ♠Q | two pairs
♠Q, ♥A, ♦7, ♣A, ♣4 | pair
♠Q, ♥A, ♦7, ♣A, ♣2 | pair
♠Q, ♥A, ♦7, ♠Q, ♣4 | pair
♠Q, ♥A, ♦7, ♠Q, ♣2 | pair
♠Q, ♥A, ♥Q, ♣A, ♠Q | fullhouse
♠Q, ♥A, ♥Q, ♣A, ♣4 | two pairs
♠Q, ♥A, ♥Q, ♣A, ♣2 | two pairs
♠Q, ♥A, ♥Q, ♠Q, ♣4 | three of a kind
♠Q, ♥A, ♥Q, ♠Q, ♣2 | three of a kind
♠Q, ♥A, ♥Q, ♣4, ♣2 | pair
♠Q, ♥A, ♣A, ♠Q, ♣4 | two pairs
♠Q, ♥A, ♣A, ♠Q, ♣2 | two pairs
♠Q, ♥A, ♣A, ♣4, ♣2 | pair
♠Q, ♥A, ♠Q, ♣4, ♣2 | pair
♠Q, ♦7, ♥Q, ♣A, ♠Q | three of a kind
♠Q, ♦7, ♥Q, ♣A, ♣4 | pair
♠Q, ♦7, ♥Q, ♣A, ♣2 | pair
♠Q, ♦7, ♥Q, ♠Q, ♣4 | three of a kind
♠Q, ♦7, ♥Q, ♠Q, ♣2 | three of a kind
♠Q, ♦7, ♥Q, ♣4, ♣2 | pair
♠Q, ♦7, ♣A, ♠Q, ♣4 | pair
♠Q, ♦7, ♣A, ♠Q, ♣2 | pair
♠Q, ♦7, ♠Q, ♣4, ♣2 | pair
♠Q, ♥Q, ♣A, ♠Q, ♣4 | three of a kind
♠Q, ♥Q, ♣A, ♠Q, ♣2 | three of a kind
♠Q, ♥Q, ♣A, ♣4, ♣2 | pair
♠Q, ♥Q, ♠Q, ♣4, ♣2 | three of a kind
♠Q, ♣A, ♠Q, ♣4, ♣2 | pair
♥3, ♥6, ♥A, ♦7, ♣A | pair
♥3, ♥6, ♥A, ♥Q, ♣A | pair
♥3, ♥6, ♥A, ♥Q, ♠Q | pair
♥3, ♥6, ♥A, ♣A, ♠Q | pair
♥3, ♥6, ♥A, ♣A, ♣4 | pair
♥3, ♥6, ♥A, ♣A, ♣2 | pair
♥3, ♥6, ♦7, ♥Q, ♠Q | pair
♥3, ♥6, ♥Q, ♣A, ♠Q | pair
♥3, ♥6, ♥Q, ♠Q, ♣4 | pair
♥3, ♥6, ♥Q, ♠Q, ♣2 | pair
♥3, ♥A, ♦7, ♥Q, ♣A | pair
♥3, ♥A, ♦7, ♥Q, ♠Q | pair
♥3, ♥A, ♦7, ♣A, ♠Q | pair
♥3, ♥A, ♦7, ♣A, ♣4 | pair
♥3, ♥A, ♦7, ♣A, ♣2 | pair
♥3, ♥A, ♥Q, ♣A, ♠Q | two pairs
♥3, ♥A, ♥Q, ♣A, ♣4 | pair
♥3, ♥A, ♥Q, ♣A, ♣2 | pair
♥3, ♥A, ♥Q, ♠Q, ♣4 | pair
♥3, ♥A, ♥Q, ♠Q, ♣2 | pair
♥3, ♥A, ♣A, ♠Q, ♣4 | pair
♥3, ♥A, ♣A, ♠Q, ♣2 | pair
♥3, ♥A, ♣A, ♣4, ♣2 | pair
♥3, ♦7, ♥Q, ♣A, ♠Q | pair
♥3, ♦7, ♥Q, ♠Q, ♣4 | pair
♥3, ♦7, ♥Q, ♠Q, ♣2 | pair
♥3, ♥Q, ♣A, ♠Q, ♣4 | pair
♥3, ♥Q, ♣A, ♠Q, ♣2 | pair
♥3, ♥Q, ♠Q, ♣4, ♣2 | pair
♥6, ♥A, ♦7, ♥Q, ♣A | pair
♥6, ♥A, ♦7, ♥Q, ♠Q | pair
♥6, ♥A, ♦7, ♣A, ♠Q | pair
♥6, ♥A, ♦7, ♣A, ♣4 | pair
♥6, ♥A, ♦7, ♣A, ♣2 | pair
♥6, ♥A, ♥Q, ♣A, ♠Q | two pairs
♥6, ♥A, ♥Q, ♣A, ♣4 | pair
♥6, ♥A, ♥Q, ♣A, ♣2 | pair
♥6, ♥A, ♥Q, ♠Q, ♣4 | pair
♥6, ♥A, ♥Q, ♠Q, ♣2 | pair
♥6, ♥A, ♣A, ♠Q, ♣4 | pair
♥6, ♥A, ♣A, ♠Q, ♣2 | pair
♥6, ♥A, ♣A, ♣4, ♣2 | pair
♥6, ♦7, ♥Q, ♣A, ♠Q | pair
♥6, ♦7, ♥Q, ♠Q, ♣4 | pair
♥6, ♦7, ♥Q, ♠Q, ♣2 | pair
♥6, ♥Q, ♣A, ♠Q, ♣4 | pair
♥6, ♥Q, ♣A, ♠Q, ♣2 | pair
♥6, ♥Q, ♠Q, ♣4, ♣2 | pair
♥A, ♦7, ♥Q, ♣A, ♠Q | two pairs
♥A, ♦7, ♥Q, ♣A, ♣4 | pair
♥A, ♦7, ♥Q, ♣A, ♣2 | pair
♥A, ♦7, ♥Q, ♠Q, ♣4 | pair
♥A, ♦7, ♥Q, ♠Q, ♣2 | pair
♥A, ♦7, ♣A, ♠Q, ♣4 | pair
♥A, ♦7, ♣A, ♠Q, ♣2 | pair
♥A, ♦7, ♣A, ♣4, ♣2 | pair
♥A, ♥Q, ♣A, ♠Q, ♣4 | two pairs
♥A, ♥Q, ♣A, ♠Q, ♣2 | two pairs
♥A, ♥Q, ♣A, ♣4, ♣2 | pair
♥A, ♥Q, ♠Q, ♣4, ♣2 | pair
♥A, ♣A, ♠Q, ♣4, ♣2 | pair
♦7, ♥Q, ♣A, ♠Q, ♣4 | pair
♦7, ♥Q, ♣A, ♠Q, ♣2 | pair
♦7, ♥Q, ♠Q, ♣4, ♣2 | pair
♥Q, ♣A, ♠Q, ♣4, ♣2 | pair
