♣J, ♦6, ♥2, ♣3, ♦J | pair
♣J, ♦6, ♥2, ♣3, ♠6 | pair
♣J, ♦6, ♥2, ♣3, ♥2 | pair
♣J, ♦6, ♥2, ♣3, ♣3 | pair
♣J, ♦6, ♥2, ♦7, ♦J | pair
♣J, ♦6, ♥2, ♦7, ♥7 | pair
♣J, ♦6, ♥2, ♦7, ♠6 | pair
♣J, ♦6, ♥2, ♦7, ♥2 | pair
♣J, ♦6, ♥2, ♦J, ♥7 | pair
♣J, ♦6, ♥2, ♦J, ♠6 | two pairs
♣J, ♦6, ♥2, ♦J, ♥2 | two pairs
♣J, ♦6, ♥2, ♦J, ♣A | pair
♣J, ♦6, ♥2, ♦J, ♣3 | pair
♣J, ♦6, ♥2, ♥7, ♠6 | pair
♣J, ♦6, ♥2, ♥7, ♥2 | pair
♣J, ♦6, ♥2, ♠6, ♥2 | two pairs
♣J, ♦6, ♥2, ♠6, ♣A | pair
♣J, ♦6, ♥2, ♠6, ♣3 | pair
♣J, ♦6, ♥2, ♥2, ♣A | pair
♣J, ♦6, ♥2, ♥2, ♣3 | pair
♣J, ♦6, ♣3, ♦7, ♦J | pair
♣J, ♦6, ♣3, ♦7, ♥7 | pair
♣J, ♦6, ♣3, ♦7, ♠6 | pair
♣J, ♦6, ♣3, ♦7, ♣3 | pair
♣J, ♦6, ♣3, ♦J, ♥7 | pair
♣J, ♦6, ♣3, ♦J, ♠6 | two pairs
♣J, ♦6, ♣3, ♦J, ♥2 | pair
♣J, ♦6, ♣3, ♦J, ♣A | pair
♣J, ♦6, ♣3, ♦J, ♣3 | two pairs
♣J, ♦6, ♣3, ♥7, ♠6 | pair
♣J, ♦6, ♣3, ♥7, ♣3 | pair
♣J, ♦6, ♣3, ♠6, ♥2 | pair
♣J, ♦6, ♣3, ♠6, ♣A | pair
♣J, ♦6, ♣3, ♠6, ♣3 | two pairs
♣J, ♦6, ♣3, ♥2, ♣3 | pair
♣J, ♦6, ♣3, ♣A, ♣3 | pair
♣J, ♦6, ♦7, ♦J, ♥7 | two pairs
♣J, ♦6, ♦7, ♦J, ♠6 | two pairs
♣J, ♦6, ♦7, ♦J, ♥2 | pair
♣J, ♦6, ♦7, ♦J, ♣A | pair
♣J, ♦6, ♦7, ♦J, ♣3 | pair
♣J, ♦6, ♦7, ♥7, ♠6 | two pairs
♣J, ♦6, ♦7, ♥7, ♥2 | pair
♣J, ♦6, ♦7, ♥7, ♣A | pair
♣J, ♦6, ♦7, ♥7, ♣3 | pair
♣J, ♦6, ♦7, ♠6, ♥2 | pair
♣J, ♦6, ♦7, ♠6, ♣A | pair
♣J, ♦6, ♦7, ♠6, ♣3 | pair
♣J, ♦6, ♦J, ♥7, ♠6 | two pairs
♣J, ♦6, ♦J, ♥7, ♥2 | pair
♣J, ♦6, ♦J, ♥7, ♣A | pair
♣J, ♦6, ♦J, ♥7, ♣3 | pair
♣J, ♦6, ♦J, ♠6, ♥2 | two pairs
♣J, ♦6, ♦J, ♠6, ♣A | two pairs
♣J, ♦6, ♦J, ♠6, ♣3 | two pairs
♣J, ♦6, ♦J, ♥2, ♣A | pair
♣J, ♦6, ♦J, ♥2, ♣3 | pair
♣J, ♦6, ♦J, ♣A, ♣3 | pair
♣J, ♦6, ♥7, ♠6, ♥2 | pair
♣J, ♦6, ♥7, ♠6, ♣A | pair
♣J, ♦6, ♥7, ♠6, ♣3 | pair
♣J, ♦6, ♠6, ♥2, ♣A | pair
♣J, ♦6, ♠6, ♥2, ♣3 | pair
♣J, ♦6, ♠6, ♣A, ♣3 | pair
♣J, ♥2, ♣3, ♦7, ♦J | pair
♣J, ♥2, ♣3, ♦7, ♥7 | pair
♣J, ♥2, ♣3, ♦7, ♥2 | pair
♣J, ♥2, ♣3, ♦7, ♣3 | pair
♣J, ♥2, ♣3, ♦J, ♥7 | pair
♣J, ♥2, ♣3, ♦J, ♠6 | pair
♣J, ♥2, ♣3, ♦J, ♥2 | two pairs
♣J, ♥2, ♣3, ♦J, ♣A | pair
♣J, ♥2, ♣3, ♦J, ♣3 | two pairs
♣J, ♥2, ♣3, ♥7, ♥2 | pair
♣J, ♥2, ♣3, ♥7, ♣3 | pair
♣J, ♥2, ♣3, ♠6, ♥2 | pair
♣J, ♥2, ♣3, ♠6, ♣3 | pair
♣J, ♥2, ♣3, ♥2, ♣A | pair
♣J, ♥2, ♣3, ♥2, ♣3 | two pairs
♣J, ♥2, ♣3, ♣A, ♣3 | pair
♣J, ♥2, ♦7, ♦J, ♥7 | two pairs
♣J, ♥2, ♦7, ♦J, ♠6 | pair
♣J, ♥2, ♦7, ♦J, ♥2 | two pairs
♣J, ♥2, ♦7, ♦J, ♣A | pair
♣J, ♥2, ♦7, ♦J, ♣3 | pair
♣J, ♥2, ♦7, ♥7, ♠6 | pair
♣J, ♥2, ♦7, ♥7, ♥2 | two pairs
♣J, ♥2, ♦7, ♥7, ♣A | pair
♣J, ♥2, ♦7, ♥7, ♣3 | pair
♣J, ♥2, ♦7, ♠6, ♥2 | pair
♣J, ♥2, ♦7, ♥2, ♣A | pair
♣J, ♥2, ♦7, ♥2, ♣3 | pair
♣J, ♥2, ♦J, ♥7, ♠6 | pair
♣J, ♥2, ♦J, ♥7, ♥2 | two pairs
♣J, ♥2, ♦J, ♥7, ♣A | pair
♣J, ♥2, ♦J, ♥7, ♣3 | pair
♣J, ♥2, ♦J, ♠6, ♥2 | two pairs
♣J, ♥2, ♦J, ♠6, ♣A | pair
♣J, ♥2, ♦J, ♠6, ♣3 | pair
♣J, ♥2, ♦J, ♥2, ♣A | two pairs
♣J, ♥2, ♦J, ♥2, ♣3 | two pairs
♣J, ♥2, ♦J, ♣A, ♣3 | pair
♣J, ♥2, ♥7, ♠6, ♥2 | pair
♣J, ♥2, ♥7, ♥2, ♣A | pair
♣J, ♥2, ♥7, ♥2, ♣3 | pair
♣J, ♥2, ♠6, ♥2, ♣A | pair
♣J, ♥2, ♠6, ♥2, ♣3 | pair
♣J, ♥2, ♥2, ♣A, ♣3 | pair
♣J, ♣3, ♦7, ♦J, ♥7 | two pairs
♣J, ♣3, ♦7, ♦J, ♠6 | pair
♣J, ♣3, ♦7, ♦J, ♥2 | pair
♣J, ♣3, ♦7, ♦J, ♣A | pair
♣J, ♣3, ♦7, ♦J, ♣3 | two pairs
♣J, ♣3, ♦7, ♥7, ♠6 | pair
♣J, ♣3, ♦7, ♥7, ♥2 | pair
♣J, ♣3, ♦7, ♥7, ♣A | pair
♣J, ♣3, ♦7, ♥7, ♣3 | two pairs
