♠K, ♣7, ♠9, ♦3, ♠9 | pair
♠K, ♣7, ♠9, ♠10, ♠9 | pair
♠K, ♣7, ♠9, ♣4, ♠9 | pair
♠K, ♣7, ♠9, ♦8, ♣8 | pair
♠K, ♣7, ♠9, ♦8, ♠9 | pair
♠K, ♣7, ♠9, ♦8, ♥8 | pair
♠K, ♣7, ♠9, ♣5, ♠9 | pair
♠K, ♣7, ♠9, ♠J, ♠9 | pair
♠K, ♣7, ♠9, ♠J, ♦J | pair
♠K, ♣7, ♠9, ♣8, ♠9 | pair
♠K, ♣7, ♠9, ♣8, ♥8 | pair
♠K, ♣7, ♠9, ♠9, ♥8 | pair
♠K, ♣7, ♠9, ♠9, ♣Q | pair
♠K, ♣7, ♠9, ♠9, ♦J | pair
♠K, ♣7, ♦3, ♦8, ♣8 | pair
♠K, ♣7, ♦3, ♦8, ♥8 | pair
♠K, ♣7, ♦3, ♠J, ♦J | pair
♠K, ♣7, ♦3, ♣8, ♥8 | pair
♠K, ♣7, ♠10, ♦8, ♣8 | pair
♠K, ♣7, ♠10, ♦8, ♥8 | pair
♠K, ♣7, ♠10, ♠J, ♦J | pair
♠K, ♣7, ♠10, ♣8, ♥8 | pair
♠K, ♣7, ♣4, ♦8, ♣8 | pair
♠K, ♣7, ♣4, ♦8, ♥8 | pair
♠K, ♣7, ♣4, ♠J, ♦J | pair
♠K, ♣7, ♣4, ♣8, ♥8 | pair
♠K, ♣7, ♦8, ♣5, ♣8 | pair
♠K, ♣7, ♦8, ♣5, ♥8 | pair
♠K, ♣7, ♦8, ♠J, ♣8 | pair
♠K, ♣7, ♦8, ♠J, ♥8 | pair
♠K, ♣7, ♦8, ♠J, ♦J | pair
♠K, ♣7, ♦8, ♣8, ♠9 | pair
♠K, ♣7, ♦8, ♣8, ♥8 | three of a kind
♠K, ♣7, ♦8, ♣8, ♣Q | pair
♠K, ♣7, ♦8, ♣8, ♦J | pair
♠K, ♣7, ♦8, ♠9, ♥8 | pair
♠K, ♣7, ♦8, ♥8, ♣Q | pair
♠K, ♣7, ♦8, ♥8, ♦J | pair
♠K, ♣7, ♣5, ♠J, ♦J | pair
♠K, ♣7, ♣5, ♣8, ♥8 | pair
♠K, ♣7, ♠J, ♣8, ♥8 | pair
♠K, ♣7, ♠J, ♣8, ♦J | pair
♠K, ♣7, ♠J, ♠9, ♦J | pair
♠K, ♣7, ♠J, ♥8, ♦J | pair
♠K, ♣7, ♠J, ♣Q, ♦J | pair
♠K, ♣7, ♣8, ♠9, ♥8 | pair
♠K, ♣7, ♣8, ♥8, ♣Q | pair
♠K, ♣7, ♣8, ♥8, ♦J | pair
♠K, ♠9, ♦3, ♠10, ♠9 | pair
♠K, ♠9, ♦3, ♣4, ♠9 | pair
♠K, ♠9, ♦3, ♦8, ♣8 | pair
♠K, ♠9, ♦3, ♦8, ♠9 | pair
♠K, ♠9, ♦3, ♦8, ♥8 | pair
♠K, ♠9, ♦3, ♣5, ♠9 | pair
♠K, ♠9, ♦3, ♠J, ♠9 | pair
♠K, ♠9, ♦3, ♠J, ♦J | pair
♠K, ♠9, ♦3, ♣8, ♠9 | pair
♠K, ♠9, ♦3, ♣8, ♥8 | pair
♠K, ♠9, ♦3, ♠9, ♥8 | pair
♠K, ♠9, ♦3, ♠9, ♣Q | pair
♠K, ♠9, ♦3, ♠9, ♦J | pair
♠K, ♠9, ♠10, ♣4, ♠9 | pair
♠K, ♠9, ♠10, ♦8, ♣8 | pair
♠K, ♠9, ♠10, ♦8, ♠9 | pair
♠K, ♠9, ♠10, ♦8, ♥8 | pair
♠K, ♠9, ♠10, ♣5, ♠9 | pair
♠K, ♠9, ♠10, ♠J, ♠9 | flush
♠K, ♠9, ♠10, ♠J, ♣Q | straight
♠K, ♠9, ♠10, ♠J, ♦J | pair
♠K, ♠9, ♠10, ♣8, ♠9 | pair
♠K, ♠9, ♠10, ♣8, ♥8 | pair
♠K, ♠9, ♠10, ♠9, ♥8 | pair
♠K, ♠9, ♠10, ♠9, ♣Q | pair
♠K, ♠9, ♠10, ♠9, ♦J | pair
♠K, ♠9, ♠10, ♣Q, ♦J | straight
♠K, ♠9, ♣4, ♦8, ♣8 | pair
♠K, ♠9, ♣4, ♦8, ♠9 | pair
♠K, ♠9, ♣4, ♦8, ♥8 | pair
♠K, ♠9, ♣4, ♣5, ♠9 | pair
♠K, ♠9, ♣4, ♠J, ♠9 | pair
♠K, ♠9, ♣4, ♠J, ♦J | pair
♠K, ♠9, ♣4, ♣8, ♠9 | pair
♠K, ♠9, ♣4, ♣8, ♥8 | pair
♠K, ♠9, ♣4, ♠9, ♥8 | pair
♠K, ♠9, ♣4, ♠9, ♣Q | pair
♠K, ♠9, ♣4, ♠9, ♦J | pair
♠K, ♠9, ♦8, ♣5, ♣8 | pair
♠K, ♠9, ♦8, ♣5, ♠9 | pair
