♣10, ♥A, ♠7, ♥J, ♦7 | pair
♣10, ♥A, ♠7, ♥J, ♣7 | pair
♣10, ♥A, ♠7, ♥J, ♥10 | pair
♣10, ♥A, ♠7, ♣5, ♦7 | pair
♣10, ♥A, ♠7, ♣5, ♣7 | pair
♣10, ♥A, ♠7, ♣5, ♥10 | pair
♣10, ♥A, ♠7, ♣9, ♦7 | pair
♣10, ♥A, ♠7, ♣9, ♣7 | pair
♣10, ♥A, ♠7, ♣9, ♥10 | pair
♣10, ♥A, ♠7, ♣9, ♦9 | pair
♣10, ♥A, ♠7, ♣9, ♠9 | pair
♣10, ♥A, ♠7, ♦7, ♦K | pair
♣10, ♥A, ♠7, ♦7, ♣3 | pair
♣10, ♥A, ♠7, ♦7, ♣7 | three of a kind
♣10, ♥A, ♠7, ♦7, ♥Q | pair
♣10, ♥A, ♠7, ♦7, ♦3 | pair
♣10, ♥A, ♠7, ♦7, ♥10 | two pairs
♣10, ♥A, ♠7, ♦7, ♦9 | pair
♣10, ♥A, ♠7, ♦7, ♠9 | pair
♣10, ♥A, ♠7, ♦7, ♠6 | pair
♣10, ♥A, ♠7, ♦K, ♣7 | pair
♣10, ♥A, ♠7, ♦K, ♥10 | pair
♣10, ♥A, ♠7, ♣3, ♣7 | pair
♣10, ♥A, ♠7, ♣3, ♦3 | pair
♣10, ♥A, ♠7, ♣3, ♥10 | pair
♣10, ♥A, ♠7, ♣7, ♥Q | pair
♣10, ♥A, ♠7, ♣7, ♦3 | pair
♣10, ♥A, ♠7, ♣7, ♥10 | two pairs
♣10, ♥A, ♠7, ♣7, ♦9 | pair
♣10, ♥A, ♠7, ♣7, ♠9 | pair
♣10, ♥A, ♠7, ♣7, ♠6 | pair
♣10, ♥A, ♠7, ♥Q, ♥10 | pair
♣10, ♥A, ♠7, ♦3, ♥10 | pair
♣10, ♥A, ♠7, ♥10, ♦9 | pair
♣10, ♥A, ♠7, ♥10, ♠9 | pair
♣10, ♥A, ♠7, ♥10, ♠6 | pair
♣10, ♥A, ♠7, ♦9, ♠9 | pair
♣10, ♥A, ♥J, ♣5, ♥10 | pair
♣10, ♥A, ♥J, ♣9, ♥10 | pair
♣10, ♥A, ♥J, ♣9, ♦9 | pair
♣10, ♥A, ♥J, ♣9, ♠9 | pair
♣10, ♥A, ♥J, ♦7, ♣7 | pair
♣10, ♥A, ♥J, ♦7, ♥10 | pair
♣10, ♥A, ♥J, ♦K, ♥Q | straight
♣10, ♥A, ♥J, ♦K, ♥10 | pair
♣10, ♥A, ♥J, ♣3, ♦3 | pair
♣10, ♥A, ♥J, ♣3, ♥10 | pair
♣10, ♥A, ♥J, ♣7, ♥10 | pair
♣10, ♥A, ♥J, ♥Q, ♥10 | pair
♣10, ♥A, ♥J, ♦3, ♥10 | pair
♣10, ♥A, ♥J, ♥10, ♦9 | pair
♣10, ♥A, ♥J, ♥10, ♠9 | pair
♣10, ♥A, ♥J, ♥10, ♠6 | pair
♣10, ♥A, ♥J, ♦9, ♠9 | pair
