♠J, ♥7, ♣10, ♣2, ♠J | pair
♠J, ♥7, ♣10, ♣2, ♣J | pair
♠J, ♥7, ♣10, ♣2, ♠10 | pair
♠J, ♥7, ♣10, ♣Q, ♠J | pair
♠J, ♥7, ♣10, ♣Q, ♠Q | pair
♠J, ♥7, ♣10, ♣Q, ♣J | pair
♠J, ♥7, ♣10, ♣Q, ♠10 | pair
♠J, ♥7, ♣10, ♠J, ♠5 | pair
♠J, ♥7, ♣10, ♠J, ♥8 | pair
♠J, ♥7, ♣10, ♠J, ♠Q | pair
♠J, ♥7, ♣10, ♠J, ♠3 | pair
♠J, ♥7, ♣10, ♠J, ♣J | three of a kind
♠J, ♥7, ♣10, ♠J, ♠10 | two pairs
♠J, ♥7, ♣10, ♠J, ♥3 | pair
♠J, ♥7, ♣10, ♠J, ♠6 | pair
♠J, ♥7, ♣10, ♠J, ♦8 | pair
♠J, ♥7, ♣10, ♠J, ♣4 | pair
♠J, ♥7, ♣10, ♠5, ♣J | pair
♠J, ♥7, ♣10, ♠5, ♠10 | pair
♠J, ♥7, ♣10, ♥8, ♣J | pair
♠J, ♥7, ♣10, ♥8, ♠10 | pair
♠J, ♥7, ♣10, ♥8, ♦8 | pair
♠J, ♥7, ♣10, ♠Q, ♣J | pair
♠J, ♥7, ♣10, ♠Q, ♠10 | pair
♠J, ♥7, ♣10, ♠3, ♣J | pair
♠J, ♥7, ♣10, ♠3, ♠10 | pair
♠J, ♥7, ♣10, ♠3, ♥3 | pair
♠J, ♥7, ♣10, ♣J, ♠10 | two pairs
♠J, ♥7, ♣10, ♣J, ♥3 | pair
♠J, ♥7, ♣10, ♣J, ♠6 | pair
♠J, ♥7, ♣10, ♣J, ♦8 | pair
♠J, ♥7, ♣10, ♣J, ♣4 | pair
♠J, ♥7, ♣10, ♠10, ♥3 | pair
♠J, ♥7, ♣10, ♠10, ♠6 | pair
♠J, ♥7, ♣10, ♠10, ♦8 | pair
♠J, ♥7, ♣10, ♠10, ♣4 | pair
♠J, ♥7, ♣2, ♣Q, ♠J | pair
♠J, ♥7, ♣2, ♣Q, ♠Q | pair
♠J, ♥7, ♣2, ♣Q, ♣J | pair
♠J, ♥7, ♣2, ♠J, ♠5 | pair
♠J, ♥7, ♣2, ♠J, ♥8 | pair
♠J, ♥7, ♣2, ♠J, ♠Q | pair
♠J, ♥7, ♣2, ♠J, ♠3 | pair
♠J, ♥7, ♣2, ♠J, ♣J | three of a kind
♠J, ♥7, ♣2, ♠J, ♠10 | pair
♠J, ♥7, ♣2, ♠J, ♥3 | pair
♠J, ♥7, ♣2, ♠J, ♠6 | pair
♠J, ♥7, ♣2, ♠J, ♦8 | pair
♠J, ♥7, ♣2, ♠J, ♣4 | pair
♠J, ♥7, ♣2, ♠5, ♣J | pair
♠J, ♥7, ♣2, ♥8, ♣J | pair
♠J, ♥7, ♣2, ♥8, ♦8 | pair
♠J, ♥7, ♣2, ♠Q, ♣J | pair
♠J, ♥7, ♣2, ♠3, ♣J | pair
♠J, ♥7, ♣2, ♠3, ♥3 | pair
♠J, ♥7, ♣2, ♣J, ♠10 | pair
♠J, ♥7, ♣2, ♣J, ♥3 | pair
♠J, ♥7, ♣2, ♣J, ♠6 | pair
♠J, ♥7, ♣2, ♣J, ♦8 | pair
♠J, ♥7, ♣2, ♣J, ♣4 | pair
♠J, ♥7, ♣Q, ♠J, ♠5 | pair
♠J, ♥7, ♣Q, ♠J, ♥8 | pair
♠J, ♥7, ♣Q, ♠J, ♠Q | two pairs
♠J, ♥7, ♣Q, ♠J, ♠3 | pair
♠J, ♥7, ♣Q, ♠J, ♣J | three of a kind
♠J, ♥7, ♣Q, ♠J, ♠10 | pair
♠J, ♥7, ♣Q, ♠J, ♥3 | pair
♠J, ♥7, ♣Q, ♠J, ♠6 | pair
♠J, ♥7, ♣Q, ♠J, ♦8 | pair
♠J, ♥7, ♣Q, ♠J, ♣4 | pair
♠J, ♥7, ♣Q, ♠5, ♠Q | pair
♠J, ♥7, ♣Q, ♠5, ♣J | pair
♠J, ♥7, ♣Q, ♥8, ♠Q | pair
♠J, ♥7, ♣Q, ♥8, ♣J | pair
♠J, ♥7, ♣Q, ♥8, ♦8 | pair
♠J, ♥7, ♣Q, ♠Q, ♠3 | pair
♠J, ♥7, ♣Q, ♠Q, ♣J | two pairs
♠J, ♥7, ♣Q, ♠Q, ♠10 | pair
♠J, ♥7, ♣Q, ♠Q, ♥3 | pair
♠J, ♥7, ♣Q, ♠Q, ♠6 | pair
♠J, ♥7, ♣Q, ♠Q, ♦8 | pair
♠J, ♥7, ♣Q, ♠Q, ♣4 | pair
♠J, ♥7, ♣Q, ♠3, ♣J | pair
♠J, ♥7, ♣Q, ♠3, ♥3 | pair
♠J, ♥7, ♣Q, ♣J, ♠10 | pair
♠J, ♥7, ♣Q, ♣J, ♥3 | pair
♠J, ♥7, ♣Q, ♣J, ♠6 | pair
♠J, ♥7, ♣Q, ♣J, ♦8 | pair
♠J, ♥7, ♣Q, ♣J, ♣4 | pair
♠J, ♥7, ♠J, ♠5, ♥8 | pair
♠J, ♥7, ♠J, ♠5, ♠Q | pair
♠J, ♥7, ♠J, ♠5, ♠3 | pair
♠J, ♥7, ♠J, ♠5, ♣J | three of a kind
♠J, ♥7, ♠J, ♠5, ♠10 | pair
♠J, ♥7, ♠J, ♠5, ♥3 | pair
♠J, ♥7, ♠J, ♠5, ♠6 | pair
♠J, ♥7, ♠J, ♠5, ♦8 | pair
♠J, ♥7, ♠J, ♠5, ♣4 | pair
♠J, ♥7, ♠J, ♥8, ♠Q | pair
♠J, ♥7, ♠J, ♥8, ♠3 | pair
♠J, ♥7, ♠J, ♥8, ♣J | three of a kind
♠J, ♥7, ♠J, ♥8, ♠10 | pair
♠J, ♥7, ♠J, ♥8, ♥3 | pair
♠J, ♥7, ♠J, ♥8, ♠6 | pair
♠J, ♥7, ♠J, ♥8, ♦8 | two pairs
♠J, ♥7, ♠J, ♥8, ♣4 | pair
♠J, ♥7, ♠J, ♠Q, ♠3 | pair
♠J, ♥7, ♠J, ♠Q, ♣J | three of a kind
♠J, ♥7, ♠J, ♠Q, ♠10 | pair
♠J, ♥7, ♠J, ♠Q, ♥3 | pair
♠J, ♥7, ♠J, ♠Q, ♠6 | pair
♠J, ♥7, ♠J, ♠Q, ♦8 | pair
♠J, ♥7, ♠J, ♠Q, ♣4 | pair
♠J, ♥7, ♠J, ♠3, ♣J | three of a kind
♠J, ♥7, ♠J, ♠3, ♠10 | pair
♠J, ♥7, ♠J, ♠3, ♥3 | two pairs
♠J, ♥7, ♠J, ♠3, ♠6 | pair
♠J, ♥7, ♠J, ♠3, ♦8 | pair
♠J, ♥7, ♠J, ♠3, ♣4 | pair
♠J, ♥7, ♠J, ♣J, ♠10 | three of a kind
♠J, ♥7, ♠J, ♣J, ♥3 | three of a kind
♠J, ♥7, ♠J, ♣J, ♠6 | three of a kind
♠J, ♥7, ♠J, ♣J, ♦8 | three of a kind
♠J, ♥7, ♠J, ♣J, ♣4 | three of a kind
♠J, ♥7, ♠J, ♠10, ♥3 | pair
♠J, ♥7, ♠J, ♠10, ♠6 | pair
♠J, ♥7, ♠J, ♠10, ♦8 | pair
♠J, ♥7, ♠J, ♠10, ♣4 | pair
♠J, ♥7, ♠J, ♥3, ♠6 | pair
♠J, ♥7, ♠J, ♥3, ♦8 | pair
♠J, ♥7, ♠J, ♥3, ♣4 | pair
♠J, ♥7, ♠J, ♠6, ♦8 | pair
♠J, ♥7, ♠J, ♠6, ♣4 | pair
♠J, ♥7, ♠J, ♦8, ♣4 | pair
♠J, ♥7, ♠5, ♥8, ♣J | pair
♠J, ♥7, ♠5, ♥8, ♦8 | pair
♠J, ♥7, ♠5, ♠Q, ♣J | pair
♠J, ♥7, ♠5, ♠3, ♣J | pair
♠J, ♥7, ♠5, ♠3, ♥3 | pair
♠J, ♥7, ♠5, ♣J, ♠10 | pair
♠J, ♥7, ♠5, ♣J, ♥3 | pair
♠J, ♥7, ♠5, ♣J, ♠6 | pair
♠J, ♥7, ♠5, ♣J, ♦8 | pair
♠J, ♥7, ♠5, ♣J, ♣4 | pair
♠J, ♥7, ♥8, ♠Q, ♣J | pair
♠J, ♥7, ♥8, ♠Q, ♦8 | pair
♠J, ♥7, ♥8, ♠3, ♣J | pair
♠J, ♥7, ♥8, ♠3, ♥3 | pair
♠J, ♥7, ♥8, ♠3, ♦8 | pair
♠J, ♥7, ♥8, ♣J, ♠10 | pair
♠J, ♥7, ♥8, ♣J, ♥3 | pair
♠J, ♥7, ♥8, ♣J, ♠6 | pair
♠J, ♥7, ♥8, ♣J, ♦8 | two pairs
♠J, ♥7, ♥8, ♣J, ♣4 | pair
♠J, ♥7, ♥8, ♠10, ♦8 | pair
♠J, ♥7, ♥8, ♥3, ♦8 | pair
♠J, ♥7, ♥8, ♠6, ♦8 | pair
♠J, ♥7, ♥8, ♦8, ♣4 | pair
♠J, ♥7, ♠Q, ♠3, ♣J | pair
♠J, ♥7, ♠Q, ♠3, ♥3 | pair
♠J, ♥7, ♠Q, ♣J, ♠10 | pair
♠J, ♥7, ♠Q, ♣J, ♥3 | pair
♠J, ♥7, ♠Q, ♣J, ♠6 | pair
♠J, ♥7, ♠Q, ♣J, ♦8 | pair
♠J, ♥7, ♠Q, ♣J, ♣4 | pair
♠J, ♥7, ♠3, ♣J, ♠10 | pair
♠J, ♥7, ♠3, ♣J, ♥3 | two pairs
♠J, ♥7, ♠3, ♣J, ♠6 | pair
♠J, ♥7, ♠3, ♣J, ♦8 | pair
♠J, ♥7, ♠3, ♣J, ♣4 | pair
♠J, ♥7, ♠3, ♠10, ♥3 | pair
♠J, ♥7, ♠3, ♥3, ♠6 | pair
♠J, ♥7, ♠3, ♥3, ♦8 | pair
♠J, ♥7, ♠3, ♥3, ♣4 | pair
♠J, ♥7, ♣J, ♠10, ♥3 | pair
♠J, ♥7, ♣J, ♠10, ♠6 | pair
♠J, ♥7, ♣J, ♠10, ♦8 | pair
♠J, ♥7, ♣J, ♠10, ♣4 | pair
♠J, ♥7, ♣J, ♥3, ♠6 | pair
♠J, ♥7, ♣J, ♥3, ♦8 | pair
♠J, ♥7, ♣J, ♥3, ♣4 | pair
♠J, ♥7, ♣J, ♠6, ♦8 | pair
♠J, ♥7, ♣J, ♠6, ♣4 | pair
♠J, ♥7, ♣J, ♦8, ♣4 | pair
♠J, ♣10, ♣2, ♣Q, ♠J | pair
♠J, ♣10, ♣2, ♣Q, ♠Q | pair
♠J, ♣10, ♣2, ♣Q, ♣J | pair
♠J, ♣10, ♣2, ♣Q, ♠10 | pair
♠J, ♣10, ♣2, ♠J, ♠5 | pair
♠J, ♣10, ♣2, ♠J, ♥8 | pair
♠J, ♣10, ♣2, ♠J, ♠Q | pair
♠J, ♣10, ♣2, ♠J, ♠3 | pair
♠J, ♣10, ♣2, ♠J, ♣J | three of a kind
♠J, ♣10, ♣2, ♠J, ♠10 | two pairs
♠J, ♣10, ♣2, ♠J, ♥3 | pair
♠J, ♣10, ♣2, ♠J, ♠6 | pair
♠J, ♣10, ♣2, ♠J, ♦8 | pair
♠J, ♣10, ♣2, ♠J, ♣4 | pair
♠J, ♣10, ♣2, ♠5, ♣J | pair
♠J, ♣10, ♣2, ♠5, ♠10 | pair
♠J, ♣10, ♣2, ♥8, ♣J | pair
♠J, ♣10, ♣2, ♥8, ♠10 | pair
♠J, ♣10, ♣2, ♥8, ♦8 | pair
♠J, ♣10, ♣2, ♠Q, ♣J | pair
♠J, ♣10, ♣2, ♠Q, ♠10 | pair
♠J, ♣10, ♣2, ♠3, ♣J | pair
♠J, ♣10, ♣2, ♠3, ♠10 | pair
♠J, ♣10, ♣2, ♠3, ♥3 | pair
♠J, ♣10, ♣2, ♣J, ♠10 | two pairs
♠J, ♣10, ♣2, ♣J, ♥3 | pair
♠J, ♣10, ♣2, ♣J, ♠6 | pair
♠J, ♣10, ♣2, ♣J, ♦8 | pair
♠J, ♣10, ♣2, ♣J, ♣4 | pair
♠J, ♣10, ♣2, ♠10, ♥3 | pair
♠J, ♣10, ♣2, ♠10, ♠6 | pair
♠J, ♣10, ♣2, ♠10, ♦8 | pair
♠J, ♣10, ♣2, ♠10, ♣4 | pair
♠J, ♣10, ♣Q, ♠J, ♠5 | pair
♠J, ♣10, ♣Q, ♠J, ♥8 | pair
♠J, ♣10, ♣Q, ♠J, ♠Q | two pairs
♠J, ♣10, ♣Q, ♠J, ♠3 | pair
♠J, ♣10, ♣Q, ♠J, ♣J | three of a kind
♠J, ♣10, ♣Q, ♠J, ♠10 | two pairs
♠J, ♣10, ♣Q, ♠J, ♥3 | pair
♠J, ♣10, ♣Q, ♠J, ♠6 | pair
♠J, ♣10, ♣Q, ♠J, ♦8 | pair
♠J, ♣10, ♣Q, ♠J, ♣4 | pair
♠J, ♣10, ♣Q, ♠5, ♠Q | pair
♠J, ♣10, ♣Q, ♠5, ♣J | pair
♠J, ♣10, ♣Q, ♠5, ♠10 | pair
♠J, ♣10, ♣Q, ♥8, ♠Q | pair
♠J, ♣10, ♣Q, ♥8, ♣J | pair
♠J, ♣10, ♣Q, ♥8, ♠10 | pair
♠J, ♣10, ♣Q, ♥8, ♦8 | pair
♠J, ♣10, ♣Q, ♠Q, ♠3 | pair
♠J, ♣10, ♣Q, ♠Q, ♣J | two pairs
♠J, ♣10, ♣Q, ♠Q, ♠10 | two pairs
♠J, ♣10, ♣Q, ♠Q, ♥3 | pair
♠J, ♣10, ♣Q, ♠Q, ♠6 | pair
♠J, ♣10, ♣Q, ♠Q, ♦8 | pair
♠J, ♣10, ♣Q, ♠Q, ♣4 | pair
♠J, ♣10, ♣Q, ♠3, ♣J | pair
♠J, ♣10, ♣Q, ♠3, ♠10 | pair
♠J, ♣10, ♣Q, ♠3, ♥3 | pair
♠J, ♣10, ♣Q, ♣J, ♠10 | two pairs
♠J, ♣10, ♣Q, ♣J, ♥3 | pair
♠J, ♣10, ♣Q, ♣J, ♠6 | pair
♠J, ♣10, ♣Q, ♣J, ♦8 | pair
♠J, ♣10, ♣Q, ♣J, ♣4 | pair
♠J, ♣10, ♣Q, ♠10, ♥3 | pair
♠J, ♣10, ♣Q, ♠10, ♠6 | pair
♠J, ♣10, ♣Q, ♠10, ♦8 | pair
♠J, ♣10, ♣Q, ♠10, ♣4 | pair
♠J, ♣10, ♠J, ♠5, ♥8 | pair
