♣Q, ♣4, ♥10, ♥3, ♦3 | pair
♣Q, ♣4, ♥10, ♥J, ♦J | pair
♣Q, ♣4, ♥3, ♥J, ♦J | pair
♣Q, ♣4, ♥3, ♥J, ♦3 | pair
♣Q, ♣4, ♥3, ♥9, ♦3 | pair
♣Q, ♣4, ♥3, ♣2, ♦3 | pair
♣Q, ♣4, ♥3, ♦J, ♦3 | pair
♣Q, ♣4, ♥3, ♣K, ♦3 | pair
♣Q, ♣4, ♥3, ♦3, ♠5 | pair
♣Q, ♣4, ♥3, ♦3, ♥6 | pair
♣Q, ♣4, ♥J, ♥9, ♦J | pair
♣Q, ♣4, ♥J, ♣2, ♦J | pair
♣Q, ♣4, ♥J, ♦J, ♣K | pair
♣Q, ♣4, ♥J, ♦J, ♦3 | pair
♣Q, ♣4, ♥J, ♦J, ♠5 | pair
♣Q, ♣4, ♥J, ♦J, ♥6 | pair
♣Q, ♥10, ♥3, ♥J, ♦J | pair
♣Q, ♥10, ♥3, ♥J, ♦3 | pair
♣Q, ♥10, ♥3, ♥9, ♦3 | pair
♣Q, ♥10, ♥3, ♣2, ♦3 | pair
♣Q, ♥10, ♥3, ♦J, ♦3 | pair
♣Q, ♥10, ♥3, ♣K, ♦3 | pair
♣Q, ♥10, ♥3, ♦3, ♠5 | pair
♣Q, ♥10, ♥3, ♦3, ♥6 | pair
♣Q, ♥10, ♥J, ♥9, ♦J | pair
♣Q, ♥10, ♥J, ♥9, ♣K | straight
♣Q, ♥10, ♥J, ♣2, ♦J | pair
♣Q, ♥10, ♥J, ♦J, ♣K | pair
♣Q, ♥10, ♥J, ♦J, ♦3 | pair
♣Q, ♥10, ♥J, ♦J, ♠5 | pair
♣Q, ♥10, ♥J, ♦J, ♥6 | pair
♣Q, ♥10, ♥9, ♦J, ♣K | straight
♣Q, ♥3, ♥J, ♥9, ♦J | pair
♣Q, ♥3, ♥J, ♥9, ♦3 | pair
♣Q, ♥3, ♥J, ♣2, ♦J | pair
♣Q, ♥3, ♥J, ♣2, ♦3 | pair
♣Q, ♥3, ♥J, ♦J, ♣K | pair
♣Q, ♥3, ♥J, ♦J, ♦3 | two pairs
♣Q, ♥3, ♥J, ♦J, ♠5 | pair
♣Q, ♥3, ♥J, ♦J, ♥6 | pair
♣Q, ♥3, ♥J, ♣K, ♦3 | pair
♣Q, ♥3, ♥J, ♦3, ♠5 | pair
♣Q, ♥3, ♥J, ♦3, ♥6 | pair
♣Q, ♥3, ♥9, ♣2, ♦3 | pair
