♣7, ♠Q, ♠3, ♠9, ♠3 | pair
♣7, ♠Q, ♠3, ♠4, ♠3 | pair
♣7, ♠Q, ♠3, ♠4, ♣4 | pair
♣7, ♠Q, ♠3, ♠3, ♣8 | pair
♣7, ♠Q, ♠3, ♠3, ♣4 | pair
♣7, ♠Q, ♠3, ♠3, ♠10 | pair
♣7, ♠Q, ♠3, ♠3, ♦6 | pair
♣7, ♠Q, ♠9, ♠4, ♣4 | pair
♣7, ♠Q, ♠4, ♠3, ♣4 | pair
♣7, ♠Q, ♠4, ♣8, ♣4 | pair
♣7, ♠Q, ♠4, ♣4, ♠10 | pair
♣7, ♠Q, ♠4, ♣4, ♦6 | pair
♣7, ♠3, ♠9, ♠4, ♠3 | pair
♣7, ♠3, ♠9, ♠4, ♣4 | pair
♣7, ♠3, ♠9, ♠3, ♣8 | pair
♣7, ♠3, ♠9, ♠3, ♣4 | pair
♣7, ♠3, ♠9, ♠3, ♠10 | pair
♣7, ♠3, ♠9, ♠3, ♦6 | pair
♣7, ♠3, ♠4, ♠3, ♣8 | pair
♣7, ♠3, ♠4, ♠3, ♣4 | two pairs
♣7, ♠3, ♠4, ♠3, ♠10 | pair
♣7, ♠3, ♠4, ♠3, ♦6 | pair
♣7, ♠3, ♠4, ♣8, ♣4 | pair
♣7, ♠3, ♠4, ♣4, ♠10 | pair
♣7, ♠3, ♠4, ♣4, ♦6 | pair
♣7, ♠3, ♠3, ♣8, ♣4 | pair
♣7, ♠3, ♠3, ♣8, ♠10 | pair
♣7, ♠3, ♠3, ♣8, ♦6 | pair
♣7, ♠3, ♠3, ♣4, ♠10 | pair
♣7, ♠3, ♠3, ♣4, ♦6 | pair
♣7, ♠3, ♠3, ♠10, ♦6 | pair
♣7, ♠9, ♠4, ♠3, ♣4 | pair
♣7, ♠9, ♠4, ♣8, ♣4 | pair
♣7, ♠9, ♠4, ♣4, ♠10 | pair
♣7, ♠9, ♠4, ♣4, ♦6 | pair
♣7, ♠9, ♣8, ♠10, ♦6 | straight
♣7, ♠4, ♠3, ♣8, ♣4 | pair
♣7, ♠4, ♠3, ♣4, ♠10 | pair
♣7, ♠4, ♠3, ♣4, ♦6 | pair
♣7, ♠4, ♣8, ♣4, ♠10 | pair
♣7, ♠4, ♣8, ♣4, ♦6 | pair
♣7, ♠4, ♣4, ♠10, ♦6 | pair
♠Q, ♠3, ♠9, ♠4, ♠3 | flush
♠Q, ♠3, ♠9, ♠4, ♣4 | pair
♠Q, ♠3, ♠9, ♠4, ♠10 | flush
♠Q, ♠3, ♠9, ♠3, ♣8 | pair
♠Q, ♠3, ♠9, ♠3, ♣4 | pair
♠Q, ♠3, ♠9, ♠3, ♠10 | flush
♠Q, ♠3, ♠9, ♠3, ♦6 | pair
♠Q, ♠3, ♠4, ♠3, ♣8 | pair
♠Q, ♠3, ♠4, ♠3, ♣4 | two pairs
♠Q, ♠3, ♠4, ♠3, ♠10 | flush
♠Q, ♠3, ♠4, ♠3, ♦6 | pair
♠Q, ♠3, ♠4, ♣8, ♣4 | pair
♠Q, ♠3, ♠4, ♣4, ♠10 | pair
♠Q, ♠3, ♠4, ♣4, ♦6 | pair
♠Q, ♠3, ♠3, ♣8, ♣4 | pair
♠Q, ♠3, ♠3, ♣8, ♠10 | pair
♠Q, ♠3, ♠3, ♣8, ♦6 | pair
♠Q, ♠3, ♠3, ♣4, ♠10 | pair
♠Q, ♠3, ♠3, ♣4, ♦6 | pair
♠Q, ♠3, ♠3, ♠10, ♦6 | pair
♠Q, ♠9, ♠4, ♠3, ♣4 | pair
♠Q, ♠9, ♠4, ♠3, ♠10 | flush
♠Q, ♠9, ♠4, ♣8, ♣4 | pair
♠Q, ♠9, ♠4, ♣4, ♠10 | pair
♠Q, ♠9, ♠4, ♣4, ♦6 | pair
♠Q, ♠4, ♠3, ♣8, ♣4 | pair
♠Q, ♠4, ♠3, ♣4, ♠10 | pair
♠Q, ♠4, ♠3, ♣4, ♦6 | pair
♠Q, ♠4, ♣8, ♣4, ♠10 | pair
♠Q, ♠4, ♣8, ♣4, ♦6 | pair
♠Q, ♠4, ♣4, ♠10, ♦6 | pair
♠3, ♠9, ♠4, ♠3, ♣8 | pair
♠3, ♠9, ♠4, ♠3, ♣4 | two pairs
♠3, ♠9, ♠4, ♠3, ♠10 | flush
♠3, ♠9, ♠4, ♠3, ♦6 | pair
♠3, ♠9, ♠4, ♣8, ♣4 | pair
♠3, ♠9, ♠4, ♣4, ♠10 | pair
♠3, ♠9, ♠4, ♣4, ♦6 | pair
♠3, ♠9, ♠3, ♣8, ♣4 | pair
♠3, ♠9, ♠3, ♣8, ♠10 | pair
♠3, ♠9, ♠3, ♣8, ♦6 | pair
♠3, ♠9, ♠3, ♣4, ♠10 | pair
♠3, ♠9, ♠3, ♣4, ♦6 | pair
♠3, ♠9, ♠3, ♠10, ♦6 | pair
♠3, ♠4, ♠3, ♣8, ♣4 | two pairs
♠3, ♠4, ♠3, ♣8, ♠10 | pair
♠3, ♠4, ♠3, ♣8, ♦6 | pair
♠3, ♠4, ♠3, ♣4, ♠10 | two pairs
♠3, ♠4, ♠3, ♣4, ♦6 | two pairs
♠3, ♠4, ♠3, ♠10, ♦6 | pair
♠3, ♠4, ♣8, ♣4, ♠10 | pair
♠3, ♠4, ♣8, ♣4, ♦6 | pair
♠3, ♠4, ♣4, ♠10, ♦6 | pair
♠3, ♠3, ♣8, ♣4, ♠10 | pair
♠3, ♠3, ♣8, ♣4, ♦6 | pair
♠3, ♠3, ♣8, ♠10, ♦6 | pair
♠3, ♠3, ♣4, ♠10, ♦6 | pair
♠9, ♠4, ♠3, ♣8, ♣4 | pair
♠9, ♠4, ♠3, ♣4, ♠10 | pair
♠9, ♠4, ♠3, ♣4, ♦6 | pair
♠9, ♠4, ♣8, ♣4, ♠10 | pair
♠9, ♠4, ♣8, ♣4, ♦6 | pair
♠9, ♠4, ♣4, ♠10, ♦6 | pair
♠4, ♠3, ♣8, ♣4, ♠10 | pair
♠4, ♠3, ♣8, ♣4, ♦6 | pair
♠4, ♠3, ♣4, ♠10, ♦6 | pair
♠4, ♣8, ♣4, ♠10, ♦6 | pair
