♠8, ♠2, ♥10, ♦9, ♦8 | pair
♠8, ♠2, ♥10, ♠7, ♦8 | pair
♠8, ♠2, ♥10, ♠7, ♠7 | pair
♠8, ♠2, ♥10, ♥J, ♦8 | pair
♠8, ♠2, ♥10, ♥J, ♥J | pair
♠8, ♠2, ♥10, ♦K, ♦8 | pair
♠8, ♠2, ♥10, ♣4, ♦8 | pair
♠8, ♠2, ♥10, ♣4, ♥4 | pair
♠8, ♠2, ♥10, ♦8, ♥A | pair
♠8, ♠2, ♥10, ♦8, ♥4 | pair
♠8, ♠2, ♥10, ♦8, ♥J | pair
♠8, ♠2, ♥10, ♦8, ♠7 | pair
♠8, ♠2, ♦9, ♠7, ♦8 | pair
♠8, ♠2, ♦9, ♠7, ♠7 | pair
♠8, ♠2, ♦9, ♥J, ♦8 | pair
♠8, ♠2, ♦9, ♥J, ♥J | pair
♠8, ♠2, ♦9, ♦K, ♦8 | pair
♠8, ♠2, ♦9, ♣4, ♦8 | pair
♠8, ♠2, ♦9, ♣4, ♥4 | pair
♠8, ♠2, ♦9, ♦8, ♥A | pair
♠8, ♠2, ♦9, ♦8, ♥4 | pair
♠8, ♠2, ♦9, ♦8, ♥J | pair
♠8, ♠2, ♦9, ♦8, ♠7 | pair
♠8, ♠2, ♠7, ♥J, ♦8 | pair
♠8, ♠2, ♠7, ♥J, ♥J | pair
♠8, ♠2, ♠7, ♥J, ♠7 | pair
♠8, ♠2, ♠7, ♦K, ♦8 | pair
♠8, ♠2, ♠7, ♦K, ♠7 | pair
♠8, ♠2, ♠7, ♣4, ♦8 | pair
♠8, ♠2, ♠7, ♣4, ♥4 | pair
♠8, ♠2, ♠7, ♣4, ♠7 | pair
♠8, ♠2, ♠7, ♦8, ♥A | pair
♠8, ♠2, ♠7, ♦8, ♥4 | pair
♠8, ♠2, ♠7, ♦8, ♥J | pair
♠8, ♠2, ♠7, ♦8, ♠7 | two pairs
♠8, ♠2, ♠7, ♥A, ♠7 | pair
♠8, ♠2, ♠7, ♥4, ♠7 | pair
♠8, ♠2, ♠7, ♥J, ♠7 | pair
♠8, ♠2, ♥J, ♦K, ♦8 | pair
♠8, ♠2, ♥J, ♦K, ♥J | pair
♠8, ♠2, ♥J, ♣4, ♦8 | pair
♠8, ♠2, ♥J, ♣4, ♥4 | pair
♠8, ♠2, ♥J, ♣4, ♥J | pair
♠8, ♠2, ♥J, ♦8, ♥A | pair
♠8, ♠2, ♥J, ♦8, ♥4 | pair
♠8, ♠2, ♥J, ♦8, ♥J | two pairs
♠8, ♠2, ♥J, ♦8, ♠7 | pair
♠8, ♠2, ♥J, ♥A, ♥J | pair
♠8, ♠2, ♥J, ♥4, ♥J | pair
♠8, ♠2, ♥J, ♥J, ♠7 | pair
♠8, ♠2, ♦K, ♣4, ♦8 | pair
♠8, ♠2, ♦K, ♣4, ♥4 | pair
♠8, ♠2, ♦K, ♦8, ♥A | pair
♠8, ♠2, ♦K, ♦8, ♥4 | pair
♠8, ♠2, ♦K, ♦8, ♥J | pair
♠8, ♠2, ♦K, ♦8, ♠7 | pair
♠8, ♠2, ♣4, ♦8, ♥A | pair
♠8, ♠2, ♣4, ♦8, ♥4 | two pairs
♠8, ♠2, ♣4, ♦8, ♥J | pair
♠8, ♠2, ♣4, ♦8, ♠7 | pair
♠8, ♠2, ♣4, ♥A, ♥4 | pair
♠8, ♠2, ♣4, ♥4, ♥J | pair
♠8, ♠2, ♣4, ♥4, ♠7 | pair
♠8, ♠2, ♦8, ♥A, ♥4 | pair
♠8, ♠2, ♦8, ♥A, ♥J | pair
♠8, ♠2, ♦8, ♥A, ♠7 | pair
♠8, ♠2, ♦8, ♥4, ♥J | pair
♠8, ♠2, ♦8, ♥4, ♠7 | pair
♠8, ♠2, ♦8, ♥J, ♠7 | pair
♠8, ♥10, ♦9, ♠7, ♥J | straight
♠8, ♥10, ♦9, ♠7, ♦8 | pair
♠8, ♥10, ♦9, ♠7, ♥J | straight
♠8, ♥10, ♦9, ♠7, ♠7 | pair
♠8, ♥10, ♦9, ♥J, ♦8 | pair
♠8, ♥10, ♦9, ♥J, ♥J | pair
♠8, ♥10, ♦9, ♥J, ♠7 | straight
♠8, ♥10, ♦9, ♦K, ♦8 | pair
♠8, ♥10, ♦9, ♣4, ♦8 | pair
♠8, ♥10, ♦9, ♣4, ♥4 | pair
♠8, ♥10, ♦9, ♦8, ♥A | pair
♠8, ♥10, ♦9, ♦8, ♥4 | pair
♠8, ♥10, ♦9, ♦8, ♥J | pair
♠8, ♥10, ♦9, ♦8, ♠7 | pair
♠8, ♥10, ♦9, ♥J, ♠7 | straight
♠8, ♥10, ♠7, ♥J, ♦8 | pair
♠8, ♥10, ♠7, ♥J, ♥J | pair
♠8, ♥10, ♠7, ♥J, ♠7 | pair
♠8, ♥10, ♠7, ♦K, ♦8 | pair
♠8, ♥10, ♠7, ♦K, ♠7 | pair
♠8, ♥10, ♠7, ♣4, ♦8 | pair
♠8, ♥10, ♠7, ♣4, ♥4 | pair
♠8, ♥10, ♠7, ♣4, ♠7 | pair
♠8, ♥10, ♠7, ♦8, ♥A | pair
♠8, ♥10, ♠7, ♦8, ♥4 | pair
♠8, ♥10, ♠7, ♦8, ♥J | pair
♠8, ♥10, ♠7, ♦8, ♠7 | two pairs
♠8, ♥10, ♠7, ♥A, ♠7 | pair
♠8, ♥10, ♠7, ♥4, ♠7 | pair
♠8, ♥10, ♠7, ♥J, ♠7 | pair
♠8, ♥10, ♥J, ♦K, ♦8 | pair
♠8, ♥10, ♥J, ♦K, ♥J | pair
♠8, ♥10, ♥J, ♣4, ♦8 | pair
♠8, ♥10, ♥J, ♣4, ♥4 | pair
♠8, ♥10, ♥J, ♣4, ♥J | pair
♠8, ♥10, ♥J, ♦8, ♥A | pair
♠8, ♥10, ♥J, ♦8, ♥4 | pair
♠8, ♥10, ♥J, ♦8, ♥J | two pairs
♠8, ♥10, ♥J, ♦8, ♠7 | pair
♠8, ♥10, ♥J, ♥A, ♥J | pair
♠8, ♥10, ♥J, ♥4, ♥J | pair
♠8, ♥10, ♥J, ♥J, ♠7 | pair
♠8, ♥10, ♦K, ♣4, ♦8 | pair
♠8, ♥10, ♦K, ♣4, ♥4 | pair
♠8, ♥10, ♦K, ♦8, ♥A | pair
♠8, ♥10, ♦K, ♦8, ♥4 | pair
♠8, ♥10, ♦K, ♦8, ♥J | pair
♠8, ♥10, ♦K, ♦8, ♠7 | pair
♠8, ♥10, ♣4, ♦8, ♥A | pair
♠8, ♥10, ♣4, ♦8, ♥4 | two pairs
♠8, ♥10, ♣4, ♦8, ♥J | pair
