♣J, ♦5, ♠Q, ♦6, ♦5 | pair
♣J, ♦5, ♠Q, ♦6, ♣6 | pair
♣J, ♦5, ♠Q, ♦6, ♥J | pair
♣J, ♦5, ♠Q, ♦8, ♦5 | pair
♣J, ♦5, ♠Q, ♦8, ♥J | pair
♣J, ♦5, ♠Q, ♣2, ♦5 | pair
♣J, ♦5, ♠Q, ♣2, ♥J | pair
♣J, ♦5, ♠Q, ♦5, ♣6 | pair
♣J, ♦5, ♠Q, ♦5, ♣7 | pair
♣J, ♦5, ♠Q, ♦5, ♥J | two pairs
♣J, ♦5, ♠Q, ♦5, ♣7 | pair
♣J, ♦5, ♠Q, ♣6, ♥J | pair
♣J, ♦5, ♠Q, ♣7, ♥J | pair
♣J, ♦5, ♠Q, ♣7, ♣7 | pair
♣J, ♦5, ♠Q, ♥J, ♣7 | pair
♣J, ♦5, ♦6, ♦8, ♦5 | pair
♣J, ♦5, ♦6, ♦8, ♣6 | pair
♣J, ♦5, ♦6, ♦8, ♥J | pair
♣J, ♦5, ♦6, ♣2, ♦5 | pair
♣J, ♦5, ♦6, ♣2, ♣6 | pair
♣J, ♦5, ♦6, ♣2, ♥J | pair
♣J, ♦5, ♦6, ♦5, ♣6 | two pairs
♣J, ♦5, ♦6, ♦5, ♣7 | pair
♣J, ♦5, ♦6, ♦5, ♥J | two pairs
♣J, ♦5, ♦6, ♦5, ♣7 | pair
♣J, ♦5, ♦6, ♣6, ♣7 | pair
♣J, ♦5, ♦6, ♣6, ♥J | two pairs
♣J, ♦5, ♦6, ♣6, ♣7 | pair
♣J, ♦5, ♦6, ♣7, ♥J | pair
♣J, ♦5, ♦6, ♣7, ♣7 | pair
♣J, ♦5, ♦6, ♥J, ♣7 | pair
♣J, ♦5, ♦8, ♣2, ♦5 | pair
♣J, ♦5, ♦8, ♣2, ♥J | pair
♣J, ♦5, ♦8, ♦5, ♣6 | pair
♣J, ♦5, ♦8, ♦5, ♣7 | pair
♣J, ♦5, ♦8, ♦5, ♥J | two pairs
♣J, ♦5, ♦8, ♦5, ♣7 | pair
♣J, ♦5, ♦8, ♣6, ♥J | pair
♣J, ♦5, ♦8, ♣7, ♥J | pair
♣J, ♦5, ♦8, ♣7, ♣7 | pair
♣J, ♦5, ♦8, ♥J, ♣7 | pair
♣J, ♦5, ♣2, ♦5, ♣6 | pair
♣J, ♦5, ♣2, ♦5, ♣7 | pair
♣J, ♦5, ♣2, ♦5, ♥J | two pairs
♣J, ♦5, ♣2, ♦5, ♣7 | pair
♣J, ♦5, ♣2, ♣6, ♥J | pair
♣J, ♦5, ♣2, ♣7, ♥J | pair
♣J, ♦5, ♣2, ♣7, ♣7 | pair
♣J, ♦5, ♣2, ♥J, ♣7 | pair
♣J, ♦5, ♦5, ♣6, ♣7 | pair
♣J, ♦5, ♦5, ♣6, ♥J | two pairs
♣J, ♦5, ♦5, ♣6, ♣7 | pair
♣J, ♦5, ♦5, ♣7, ♥J | two pairs
♣J, ♦5, ♦5, ♣7, ♣7 | two pairs
♣J, ♦5, ♦5, ♥J, ♣7 | two pairs
♣J, ♦5, ♣6, ♣7, ♥J | pair
♣J, ♦5, ♣6, ♣7, ♣7 | pair
♣J, ♦5, ♣6, ♥J, ♣7 | pair
♣J, ♦5, ♣7, ♥J, ♣7 | two pairs
♣J, ♠Q, ♦6, ♦8, ♣6 | pair
♣J, ♠Q, ♦6, ♦8, ♥J | pair
♣J, ♠Q, ♦6, ♣2, ♣6 | pair
♣J, ♠Q, ♦6, ♣2, ♥J | pair
♣J, ♠Q, ♦6, ♦5, ♣6 | pair
♣J, ♠Q, ♦6, ♦5, ♥J | pair
♣J, ♠Q, ♦6, ♣6, ♣7 | pair
♣J, ♠Q, ♦6, ♣6, ♥J | two pairs
♣J, ♠Q, ♦6, ♣6, ♣7 | pair
♣J, ♠Q, ♦6, ♣7, ♥J | pair
♣J, ♠Q, ♦6, ♣7, ♣7 | pair
♣J, ♠Q, ♦6, ♥J, ♣7 | pair
♣J, ♠Q, ♦8, ♣2, ♥J | pair
♣J, ♠Q, ♦8, ♦5, ♥J | pair
♣J, ♠Q, ♦8, ♣6, ♥J | pair
♣J, ♠Q, ♦8, ♣7, ♥J | pair
♣J, ♠Q, ♦8, ♣7, ♣7 | pair
♣J, ♠Q, ♦8, ♥J, ♣7 | pair
♣J, ♠Q, ♣2, ♦5, ♥J | pair
♣J, ♠Q, ♣2, ♣6, ♥J | pair
♣J, ♠Q, ♣2, ♣7, ♥J | pair
♣J, ♠Q, ♣2, ♣7, ♣7 | pair
♣J, ♠Q, ♣2, ♥J, ♣7 | pair
♣J, ♠Q, ♦5, ♣6, ♥J | pair
♣J, ♠Q, ♦5, ♣7, ♥J | pair
♣J, ♠Q, ♦5, ♣7, ♣7 | pair
♣J, ♠Q, ♦5, ♥J, ♣7 | pair
♣J, ♠Q, ♣6, ♣7, ♥J | pair
♣J, ♠Q, ♣6, ♣7, ♣7 | pair
♣J, ♠Q, ♣6, ♥J, ♣7 | pair
♣J, ♠Q, ♣7, ♥J, ♣7 | two pairs
♣J, ♦6, ♦8, ♣2, ♣6 | pair
♣J, ♦6, ♦8, ♣2, ♥J | pair
♣J, ♦6, ♦8, ♦5, ♣6 | pair
♣J, ♦6, ♦8, ♦5, ♥J | pair
♣J, ♦6, ♦8, ♣6, ♣7 | pair
♣J, ♦6, ♦8, ♣6, ♥J | two pairs
♣J, ♦6, ♦8, ♣6, ♣7 | pair
♣J, ♦6, ♦8, ♣7, ♥J | pair
♣J, ♦6, ♦8, ♣7, ♣7 | pair
♣J, ♦6, ♦8, ♥J, ♣7 | pair
♣J, ♦6, ♣2, ♦5, ♣6 | pair
♣J, ♦6, ♣2, ♦5, ♥J | pair
♣J, ♦6, ♣2, ♣6, ♣7 | pair
♣J, ♦6, ♣2, ♣6, ♥J | two pairs
