♣8, ♦4, ♥A, ♦3, ♦4 | pair
♣8, ♦4, ♥A, ♦3, ♠A | pair
♣8, ♦4, ♥A, ♦3, ♦3 | pair
♣8, ♦4, ♥A, ♠6, ♦4 | pair
♣8, ♦4, ♥A, ♠6, ♠A | pair
♣8, ♦4, ♥A, ♠6, ♥6 | pair
♣8, ♦4, ♥A, ♠2, ♦4 | pair
♣8, ♦4, ♥A, ♠2, ♠A | pair
♣8, ♦4, ♥A, ♠2, ♠2 | pair
♣8, ♦4, ♥A, ♠2, ♦2 | pair
♣8, ♦4, ♥A, ♠9, ♦4 | pair
♣8, ♦4, ♥A, ♠9, ♠A | pair
♣8, ♦4, ♥A, ♠9, ♦9 | pair
♣8, ♦4, ♥A, ♦4, ♠A | two pairs
♣8, ♦4, ♥A, ♦4, ♦9 | pair
♣8, ♦4, ♥A, ♦4, ♠2 | pair
♣8, ♦4, ♥A, ♦4, ♦2 | pair
♣8, ♦4, ♥A, ♦4, ♦3 | pair
♣8, ♦4, ♥A, ♦4, ♥6 | pair
♣8, ♦4, ♥A, ♠A, ♦9 | pair
♣8, ♦4, ♥A, ♠A, ♠2 | pair
♣8, ♦4, ♥A, ♠A, ♦2 | pair
♣8, ♦4, ♥A, ♠A, ♦3 | pair
♣8, ♦4, ♥A, ♠A, ♥6 | pair
♣8, ♦4, ♥A, ♠2, ♦2 | pair
♣8, ♦4, ♦3, ♠6, ♦4 | pair
♣8, ♦4, ♦3, ♠6, ♦3 | pair
♣8, ♦4, ♦3, ♠6, ♥6 | pair
♣8, ♦4, ♦3, ♠2, ♦4 | pair
♣8, ♦4, ♦3, ♠2, ♠2 | pair
♣8, ♦4, ♦3, ♠2, ♦2 | pair
♣8, ♦4, ♦3, ♠2, ♦3 | pair
♣8, ♦4, ♦3, ♠9, ♦4 | pair
♣8, ♦4, ♦3, ♠9, ♦9 | pair
♣8, ♦4, ♦3, ♠9, ♦3 | pair
♣8, ♦4, ♦3, ♦4, ♠A | pair
♣8, ♦4, ♦3, ♦4, ♦9 | pair
♣8, ♦4, ♦3, ♦4, ♠2 | pair
♣8, ♦4, ♦3, ♦4, ♦2 | pair
♣8, ♦4, ♦3, ♦4, ♦3 | two pairs
♣8, ♦4, ♦3, ♦4, ♥6 | pair
♣8, ♦4, ♦3, ♠A, ♦3 | pair
♣8, ♦4, ♦3, ♦9, ♦3 | pair
♣8, ♦4, ♦3, ♠2, ♦2 | pair
♣8, ♦4, ♦3, ♠2, ♦3 | pair
♣8, ♦4, ♦3, ♦2, ♦3 | pair
♣8, ♦4, ♦3, ♦3, ♥6 | pair
♣8, ♦4, ♠6, ♠2, ♦4 | pair
♣8, ♦4, ♠6, ♠2, ♠2 | pair
♣8, ♦4, ♠6, ♠2, ♦2 | pair
♣8, ♦4, ♠6, ♠2, ♥6 | pair
♣8, ♦4, ♠6, ♠9, ♦4 | pair
♣8, ♦4, ♠6, ♠9, ♦9 | pair
♣8, ♦4, ♠6, ♠9, ♥6 | pair
♣8, ♦4, ♠6, ♦4, ♠A | pair
♣8, ♦4, ♠6, ♦4, ♦9 | pair
♣8, ♦4, ♠6, ♦4, ♠2 | pair
♣8, ♦4, ♠6, ♦4, ♦2 | pair
♣8, ♦4, ♠6, ♦4, ♦3 | pair
♣8, ♦4, ♠6, ♦4, ♥6 | two pairs
♣8, ♦4, ♠6, ♠A, ♥6 | pair
