♥4, ♠4, ♣7, ♥6, ♣3 | pair
♥4, ♠4, ♣7, ♥6, ♣7 | two pairs
♥4, ♠4, ♣7, ♥6, ♠3 | pair
♥4, ♠4, ♣7, ♥6, ♦8 | pair
♥4, ♠4, ♣7, ♥6, ♦2 | pair
♥4, ♠4, ♣7, ♥6, ♠8 | pair
♥4, ♠4, ♣7, ♥6, ♥J | pair
♥4, ♠4, ♣7, ♥6, ♠2 | pair
♥4, ♠4, ♣7, ♥6, ♦10 | pair
♥4, ♠4, ♣7, ♥6, ♣2 | pair
♥4, ♠4, ♣7, ♥6, ♥Q | pair
♥4, ♠4, ♣7, ♣3, ♣7 | two pairs
♥4, ♠4, ♣7, ♣3, ♠3 | two pairs
♥4, ♠4, ♣7, ♣3, ♦8 | pair
♥4, ♠4, ♣7, ♣3, ♦2 | pair
♥4, ♠4, ♣7, ♣3, ♠8 | pair
♥4, ♠4, ♣7, ♣3, ♥J | pair
♥4, ♠4, ♣7, ♣3, ♠2 | pair
♥4, ♠4, ♣7, ♣3, ♦10 | pair
♥4, ♠4, ♣7, ♣3, ♣2 | pair
♥4, ♠4, ♣7, ♣3, ♥Q | pair
♥4, ♠4, ♣7, ♣7, ♠3 | two pairs
♥4, ♠4, ♣7, ♣7, ♦8 | two pairs
♥4, ♠4, ♣7, ♣7, ♦2 | two pairs
♥4, ♠4, ♣7, ♣7, ♠8 | two pairs
♥4, ♠4, ♣7, ♣7, ♥J | two pairs
♥4, ♠4, ♣7, ♣7, ♠2 | two pairs
♥4, ♠4, ♣7, ♣7, ♦10 | two pairs
♥4, ♠4, ♣7, ♣7, ♣2 | two pairs
♥4, ♠4, ♣7, ♣7, ♥Q | two pairs
♥4, ♠4, ♣7, ♠3, ♦8 | pair
♥4, ♠4, ♣7, ♠3, ♦2 | pair
♥4, ♠4, ♣7, ♠3, ♠8 | pair
♥4, ♠4, ♣7, ♠3, ♥J | pair
♥4, ♠4, ♣7, ♠3, ♠2 | pair
♥4, ♠4, ♣7, ♠3, ♦10 | pair
♥4, ♠4, ♣7, ♠3, ♣2 | pair
♥4, ♠4, ♣7, ♠3, ♥Q | pair
♥4, ♠4, ♣7, ♦8, ♦2 | pair
♥4, ♠4, ♣7, ♦8, ♠8 | two pairs
♥4, ♠4, ♣7, ♦8, ♥J | pair
♥4, ♠4, ♣7, ♦8, ♠2 | pair
♥4, ♠4, ♣7, ♦8, ♦10 | pair
♥4, ♠4, ♣7, ♦8, ♣2 | pair
♥4, ♠4, ♣7, ♦8, ♥Q | pair
♥4, ♠4, ♣7, ♦2, ♠8 | pair
♥4, ♠4, ♣7, ♦2, ♥J | pair
♥4, ♠4, ♣7, ♦2, ♠2 | two pairs
♥4, ♠4, ♣7, ♦2, ♦10 | pair
♥4, ♠4, ♣7, ♦2, ♣2 | two pairs
♥4, ♠4, ♣7, ♦2, ♥Q | pair
♥4, ♠4, ♣7, ♠8, ♥J | pair
♥4, ♠4, ♣7, ♠8, ♠2 | pair
♥4, ♠4, ♣7, ♠8, ♦10 | pair
♥4, ♠4, ♣7, ♠8, ♣2 | pair
♥4, ♠4, ♣7, ♠8, ♥Q | pair
♥4, ♠4, ♣7, ♥J, ♠2 | pair
♥4, ♠4, ♣7, ♥J, ♦10 | pair
♥4, ♠4, ♣7, ♥J, ♣2 | pair
♥4, ♠4, ♣7, ♥J, ♥Q | pair
♥4, ♠4, ♣7, ♠2, ♦10 | pair
♥4, ♠4, ♣7, ♠2, ♣2 | two pairs
♥4, ♠4, ♣7, ♠2, ♥Q | pair
♥4, ♠4, ♣7, ♦10, ♣2 | pair
♥4, ♠4, ♣7, ♦10, ♥Q | pair
♥4, ♠4, ♣7, ♣2, ♥Q | pair
