♦A, ♠6, ♦K, ♠Q, ♣K | pair
♦A, ♠6, ♦K, ♠Q, ♦K | pair
♦A, ♠6, ♦K, ♠Q, ♥Q | pair
♦A, ♠6, ♦K, ♣2, ♣K | pair
♦A, ♠6, ♦K, ♣2, ♥2 | pair
♦A, ♠6, ♦K, ♣2, ♦K | pair
♦A, ♠6, ♦K, ♣K, ♥10 | pair
♦A, ♠6, ♦K, ♣K, ♣5 | pair
♦A, ♠6, ♦K, ♣K, ♣8 | pair
♦A, ♠6, ♦K, ♣K, ♥2 | pair
♦A, ♠6, ♦K, ♣K, ♦K | three of a kind
♦A, ♠6, ♦K, ♣K, ♥Q | pair
♦A, ♠6, ♦K, ♣K, ♣9 | pair
♦A, ♠6, ♦K, ♥10, ♦K | pair
♦A, ♠6, ♦K, ♣5, ♦K | pair
♦A, ♠6, ♦K, ♣8, ♦K | pair
♦A, ♠6, ♦K, ♥2, ♦K | pair
♦A, ♠6, ♦K, ♦K, ♥Q | pair
♦A, ♠6, ♦K, ♦K, ♣9 | pair
♦A, ♠6, ♠Q, ♣2, ♥2 | pair
♦A, ♠6, ♠Q, ♣2, ♥Q | pair
♦A, ♠6, ♠Q, ♣K, ♦K | pair
♦A, ♠6, ♠Q, ♣K, ♥Q | pair
♦A, ♠6, ♠Q, ♥10, ♥Q | pair
♦A, ♠6, ♠Q, ♣5, ♥Q | pair
♦A, ♠6, ♠Q, ♣8, ♥Q | pair
♦A, ♠6, ♠Q, ♥2, ♥Q | pair
♦A, ♠6, ♠Q, ♦K, ♥Q | pair
♦A, ♠6, ♠Q, ♥Q, ♣9 | pair
♦A, ♠6, ♣2, ♣K, ♥2 | pair
♦A, ♠6, ♣2, ♣K, ♦K | pair
♦A, ♠6, ♣2, ♥10, ♥2 | pair
♦A, ♠6, ♣2, ♣5, ♥2 | pair
♦A, ♠6, ♣2, ♣8, ♥2 | pair
♦A, ♠6, ♣2, ♥2, ♦K | pair
♦A, ♠6, ♣2, ♥2, ♥Q | pair
♦A, ♠6, ♣2, ♥2, ♣9 | pair
♦A, ♠6, ♣K, ♥10, ♦K | pair
♦A, ♠6, ♣K, ♣5, ♦K | pair
♦A, ♠6, ♣K, ♣8, ♦K | pair
♦A, ♠6, ♣K, ♥2, ♦K | pair
♦A, ♠6, ♣K, ♦K, ♥Q | pair
♦A, ♠6, ♣K, ♦K, ♣9 | pair
♦A, ♦K, ♠Q, ♣2, ♣K | pair
♦A, ♦K, ♠Q, ♣2, ♥2 | pair
♦A, ♦K, ♠Q, ♣2, ♦K | pair
♦A, ♦K, ♠Q, ♣2, ♥Q | pair
♦A, ♦K, ♠Q, ♣K, ♥10 | pair
♦A, ♦K, ♠Q, ♣K, ♣5 | pair
♦A, ♦K, ♠Q, ♣K, ♣8 | pair
♦A, ♦K, ♠Q, ♣K, ♥2 | pair
♦A, ♦K, ♠Q, ♣K, ♦K | three of a kind
♦A, ♦K, ♠Q, ♣K, ♥Q | two pairs
♦A, ♦K, ♠Q, ♣K, ♣9 | pair
♦A, ♦K, ♠Q, ♥10, ♦K | pair
♦A, ♦K, ♠Q, ♥10, ♥Q | pair
♦A, ♦K, ♠Q, ♣5, ♦K | pair
♦A, ♦K, ♠Q, ♣5, ♥Q | pair
♦A, ♦K, ♠Q, ♣8, ♦K | pair
♦A, ♦K, ♠Q, ♣8, ♥Q | pair
♦A, ♦K, ♠Q, ♥2, ♦K | pair
♦A, ♦K, ♠Q, ♥2, ♥Q | pair
♦A, ♦K, ♠Q, ♦K, ♥Q | two pairs
♦A, ♦K, ♠Q, ♦K, ♣9 | pair
♦A, ♦K, ♠Q, ♥Q, ♣9 | pair
