♠A, ♥J, ♦5, ♦7, ♦A | pair
♠A, ♥J, ♦5, ♦7, ♥7 | pair
♠A, ♥J, ♦5, ♦7, ♠A | pair
♠A, ♥J, ♦5, ♦A, ♥K | pair
♠A, ♥J, ♦5, ♦A, ♦9 | pair
♠A, ♥J, ♦5, ♦A, ♦10 | pair
♠A, ♥J, ♦5, ♦A, ♦10 | pair
♠A, ♥J, ♦5, ♦A, ♥7 | pair
♠A, ♥J, ♦5, ♦A, ♣10 | pair
♠A, ♥J, ♦5, ♦A, ♠A | three of a kind
♠A, ♥J, ♦5, ♦A, ♣10 | pair
♠A, ♥J, ♦5, ♥K, ♠A | pair
♠A, ♥J, ♦5, ♦9, ♠A | pair
♠A, ♥J, ♦5, ♦10, ♦10 | pair
♠A, ♥J, ♦5, ♦10, ♣10 | pair
♠A, ♥J, ♦5, ♦10, ♠A | pair
♠A, ♥J, ♦5, ♦10, ♣10 | pair
♠A, ♥J, ♦5, ♦10, ♣10 | pair
♠A, ♥J, ♦5, ♦10, ♠A | pair
♠A, ♥J, ♦5, ♦10, ♣10 | pair
♠A, ♥J, ♦5, ♥7, ♠A | pair
♠A, ♥J, ♦5, ♣10, ♠A | pair
♠A, ♥J, ♦5, ♣10, ♣10 | pair
♠A, ♥J, ♦5, ♠A, ♣10 | pair
♠A, ♥J, ♦7, ♦A, ♥K | pair
♠A, ♥J, ♦7, ♦A, ♦9 | pair
♠A, ♥J, ♦7, ♦A, ♦10 | pair
♠A, ♥J, ♦7, ♦A, ♦10 | pair
♠A, ♥J, ♦7, ♦A, ♥7 | two pairs
♠A, ♥J, ♦7, ♦A, ♣10 | pair
♠A, ♥J, ♦7, ♦A, ♠A | three of a kind
♠A, ♥J, ♦7, ♦A, ♣10 | pair
♠A, ♥J, ♦7, ♥K, ♥7 | pair
♠A, ♥J, ♦7, ♥K, ♠A | pair
♠A, ♥J, ♦7, ♦9, ♥7 | pair
♠A, ♥J, ♦7, ♦9, ♠A | pair
♠A, ♥J, ♦7, ♦10, ♦10 | pair
♠A, ♥J, ♦7, ♦10, ♥7 | pair
♠A, ♥J, ♦7, ♦10, ♣10 | pair
♠A, ♥J, ♦7, ♦10, ♠A | pair
♠A, ♥J, ♦7, ♦10, ♣10 | pair
♠A, ♥J, ♦7, ♦10, ♥7 | pair
♠A, ♥J, ♦7, ♦10, ♣10 | pair
♠A, ♥J, ♦7, ♦10, ♠A | pair
♠A, ♥J, ♦7, ♦10, ♣10 | pair
