♣J, ♠J, ♠A, ♠10, ♦8 | pair
♣J, ♠J, ♠A, ♠10, ♣2 | pair
♣J, ♠J, ♠A, ♠10, ♠8 | pair
♣J, ♠J, ♠A, ♠10, ♥J | three of a kind
♣J, ♠J, ♠A, ♠10, ♥Q | pair
♣J, ♠J, ♠A, ♠10, ♦2 | pair
♣J, ♠J, ♠A, ♠10, ♥3 | pair
♣J, ♠J, ♠A, ♠10, ♥3 | pair
♣J, ♠J, ♠A, ♠10, ♣4 | pair
♣J, ♠J, ♠A, ♠10, ♦5 | pair
♣J, ♠J, ♠A, ♠10, ♣8 | pair
♣J, ♠J, ♠A, ♦8, ♣2 | pair
♣J, ♠J, ♠A, ♦8, ♠8 | two pairs
♣J, ♠J, ♠A, ♦8, ♥J | three of a kind
♣J, ♠J, ♠A, ♦8, ♥Q | pair
♣J, ♠J, ♠A, ♦8, ♦2 | pair
♣J, ♠J, ♠A, ♦8, ♥3 | pair
♣J, ♠J, ♠A, ♦8, ♥3 | pair
♣J, ♠J, ♠A, ♦8, ♣4 | pair
♣J, ♠J, ♠A, ♦8, ♦5 | pair
♣J, ♠J, ♠A, ♦8, ♣8 | two pairs
♣J, ♠J, ♠A, ♣2, ♠8 | pair
♣J, ♠J, ♠A, ♣2, ♥J | three of a kind
♣J, ♠J, ♠A, ♣2, ♥Q | pair
♣J, ♠J, ♠A, ♣2, ♦2 | two pairs
♣J, ♠J, ♠A, ♣2, ♥3 | pair
♣J, ♠J, ♠A, ♣2, ♥3 | pair
♣J, ♠J, ♠A, ♣2, ♣4 | pair
♣J, ♠J, ♠A, ♣2, ♦5 | pair
♣J, ♠J, ♠A, ♣2, ♣8 | pair
♣J, ♠J, ♠A, ♠8, ♥J | three of a kind
♣J, ♠J, ♠A, ♠8, ♥Q | pair
♣J, ♠J, ♠A, ♠8, ♦2 | pair
♣J, ♠J, ♠A, ♠8, ♥3 | pair
♣J, ♠J, ♠A, ♠8, ♥3 | pair
♣J, ♠J, ♠A, ♠8, ♣4 | pair
♣J, ♠J, ♠A, ♠8, ♦5 | pair
♣J, ♠J, ♠A, ♠8, ♣8 | two pairs
♣J, ♠J, ♠A, ♥J, ♥Q | three of a kind
♣J, ♠J, ♠A, ♥J, ♦2 | three of a kind
♣J, ♠J, ♠A, ♥J, ♥3 | three of a kind
