♠A, ♣2, ♥8, ♣Q, ♥2 | pair
♠A, ♣2, ♥8, ♣Q, ♠8 | pair
♠A, ♣2, ♥8, ♣Q, ♠Q | pair
♠A, ♣2, ♥8, ♦K, ♥2 | pair
♠A, ♣2, ♥8, ♦K, ♥K | pair
♠A, ♣2, ♥8, ♦K, ♠8 | pair
♠A, ♣2, ♥8, ♣5, ♥2 | pair
♠A, ♣2, ♥8, ♣5, ♠8 | pair
♠A, ♣2, ♥8, ♥6, ♥2 | pair
♠A, ♣2, ♥8, ♥6, ♠8 | pair
♠A, ♣2, ♥8, ♥10, ♥2 | pair
♠A, ♣2, ♥8, ♥10, ♠8 | pair
♠A, ♣2, ♥8, ♣4, ♥2 | pair
♠A, ♣2, ♥8, ♣4, ♠8 | pair
♠A, ♣2, ♥8, ♣4, ♥4 | pair
♠A, ♣2, ♥8, ♣4, ♠4 | pair
♠A, ♣2, ♥8, ♥2, ♥K | pair
♠A, ♣2, ♥8, ♥2, ♠8 | two pairs
♠A, ♣2, ♥8, ♥2, ♥4 | pair
♠A, ♣2, ♥8, ♥2, ♠Q | pair
♠A, ♣2, ♥8, ♥2, ♠4 | pair
♠A, ♣2, ♥8, ♥K, ♠8 | pair
♠A, ♣2, ♥8, ♠8, ♥4 | pair
♠A, ♣2, ♥8, ♠8, ♠Q | pair
♠A, ♣2, ♥8, ♠8, ♠4 | pair
♠A, ♣2, ♥8, ♥4, ♠4 | pair
♠A, ♣2, ♣Q, ♦K, ♥2 | pair
♠A, ♣2, ♣Q, ♦K, ♥K | pair
♠A, ♣2, ♣Q, ♦K, ♠Q | pair
♠A, ♣2, ♣Q, ♣5, ♥2 | pair
♠A, ♣2, ♣Q, ♣5, ♠Q | pair
♠A, ♣2, ♣Q, ♥6, ♥2 | pair
♠A, ♣2, ♣Q, ♥6, ♠Q | pair
♠A, ♣2, ♣Q, ♥10, ♥2 | pair
♠A, ♣2, ♣Q, ♥10, ♠Q | pair
♠A, ♣2, ♣Q, ♣4, ♥2 | pair
♠A, ♣2, ♣Q, ♣4, ♥4 | pair
♠A, ♣2, ♣Q, ♣4, ♠Q | pair
♠A, ♣2, ♣Q, ♣4, ♠4 | pair
♠A, ♣2, ♣Q, ♥2, ♥K | pair
♠A, ♣2, ♣Q, ♥2, ♠8 | pair
♠A, ♣2, ♣Q, ♥2, ♥4 | pair
♠A, ♣2, ♣Q, ♥2, ♠Q | two pairs
♠A, ♣2, ♣Q, ♥2, ♠4 | pair
♠A, ♣2, ♣Q, ♥K, ♠Q | pair
♠A, ♣2, ♣Q, ♠8, ♠Q | pair
♠A, ♣2, ♣Q, ♥4, ♠Q | pair
♠A, ♣2, ♣Q, ♥4, ♠4 | pair
♠A, ♣2, ♣Q, ♠Q, ♠4 | pair
♠A, ♣2, ♦K, ♣5, ♥2 | pair
♠A, ♣2, ♦K, ♣5, ♥K | pair
♠A, ♣2, ♦K, ♥6, ♥2 | pair
♠A, ♣2, ♦K, ♥6, ♥K | pair
♠A, ♣2, ♦K, ♥10, ♥2 | pair
♠A, ♣2, ♦K, ♥10, ♥K | pair
♠A, ♣2, ♦K, ♣4, ♥2 | pair
♠A, ♣2, ♦K, ♣4, ♥K | pair
♠A, ♣2, ♦K, ♣4, ♥4 | pair
♠A, ♣2, ♦K, ♣4, ♠4 | pair
♠A, ♣2, ♦K, ♥2, ♥K | two pairs
♠A, ♣2, ♦K, ♥2, ♠8 | pair
♠A, ♣2, ♦K, ♥2, ♥4 | pair
♠A, ♣2, ♦K, ♥2, ♠Q | pair
♠A, ♣2, ♦K, ♥2, ♠4 | pair
♠A, ♣2, ♦K, ♥K, ♠8 | pair
♠A, ♣2, ♦K, ♥K, ♥4 | pair
♠A, ♣2, ♦K, ♥K, ♠Q | pair
♠A, ♣2, ♦K, ♥K, ♠4 | pair
♠A, ♣2, ♦K, ♥4, ♠4 | pair
♠A, ♣2, ♣5, ♥6, ♥2 | pair
♠A, ♣2, ♣5, ♥10, ♥2 | pair
♠A, ♣2, ♣5, ♣4, ♥2 | pair
♠A, ♣2, ♣5, ♣4, ♥4 | pair
♠A, ♣2, ♣5, ♣4, ♠4 | pair
♠A, ♣2, ♣5, ♥2, ♥K | pair
♠A, ♣2, ♣5, ♥2, ♠8 | pair
♠A, ♣2, ♣5, ♥2, ♥4 | pair
♠A, ♣2, ♣5, ♥2, ♠Q | pair
