♠10, ♣Q, ♣8, ♣10, ♣7 | pair
♠10, ♣Q, ♣8, ♣10, ♠2 | pair
♠10, ♣Q, ♣8, ♣10, ♣3 | pair
♠10, ♣Q, ♣8, ♣10, ♠5 | pair
♠10, ♣Q, ♣8, ♣10, ♥8 | two pairs
♠10, ♣Q, ♣8, ♣10, ♥2 | pair
♠10, ♣Q, ♣8, ♣10, ♣4 | pair
♠10, ♣Q, ♣8, ♣10, ♣2 | pair
♠10, ♣Q, ♣8, ♣10, ♦J | pair
♠10, ♣Q, ♣8, ♣7, ♥8 | pair
♠10, ♣Q, ♣8, ♠2, ♥8 | pair
♠10, ♣Q, ♣8, ♠2, ♥2 | pair
♠10, ♣Q, ♣8, ♠2, ♣2 | pair
♠10, ♣Q, ♣8, ♣3, ♥8 | pair
♠10, ♣Q, ♣8, ♠5, ♥8 | pair
♠10, ♣Q, ♣8, ♥8, ♥2 | pair
♠10, ♣Q, ♣8, ♥8, ♣4 | pair
♠10, ♣Q, ♣8, ♥8, ♣2 | pair
♠10, ♣Q, ♣8, ♥8, ♦J | pair
♠10, ♣Q, ♣8, ♥2, ♣2 | pair
♠10, ♣Q, ♣10, ♣7, ♠2 | pair
♠10, ♣Q, ♣10, ♣7, ♣3 | pair
♠10, ♣Q, ♣10, ♣7, ♠5 | pair
♠10, ♣Q, ♣10, ♣7, ♥8 | pair
♠10, ♣Q, ♣10, ♣7, ♥2 | pair
♠10, ♣Q, ♣10, ♣7, ♣4 | pair
♠10, ♣Q, ♣10, ♣7, ♣2 | pair
♠10, ♣Q, ♣10, ♣7, ♦J | pair
♠10, ♣Q, ♣10, ♠2, ♣3 | pair
♠10, ♣Q, ♣10, ♠2, ♠5 | pair
♠10, ♣Q, ♣10, ♠2, ♥8 | pair
♠10, ♣Q, ♣10, ♠2, ♥2 | two pairs
♠10, ♣Q, ♣10, ♠2, ♣4 | pair
♠10, ♣Q, ♣10, ♠2, ♣2 | two pairs
♠10, ♣Q, ♣10, ♠2, ♦J | pair
♠10, ♣Q, ♣10, ♣3, ♠5 | pair
♠10, ♣Q, ♣10, ♣3, ♥8 | pair
♠10, ♣Q, ♣10, ♣3, ♥2 | pair
♠10, ♣Q, ♣10, ♣3, ♣4 | pair
♠10, ♣Q, ♣10, ♣3, ♣2 | pair
♠10, ♣Q, ♣10, ♣3, ♦J | pair
♠10, ♣Q, ♣10, ♠5, ♥8 | pair
♠10, ♣Q, ♣10, ♠5, ♥2 | pair
♠10, ♣Q, ♣10, ♠5, ♣4 | pair
♠10, ♣Q, ♣10, ♠5, ♣2 | pair
♠10, ♣Q, ♣10, ♠5, ♦J | pair
♠10, ♣Q, ♣10, ♥8, ♥2 | pair
♠10, ♣Q, ♣10, ♥8, ♣4 | pair
♠10, ♣Q, ♣10, ♥8, ♣2 | pair
♠10, ♣Q, ♣10, ♥8, ♦J | pair
♠10, ♣Q, ♣10, ♥2, ♣4 | pair
♠10, ♣Q, ♣10, ♥2, ♣2 | two pairs
♠10, ♣Q, ♣10, ♥2, ♦J | pair
♠10, ♣Q, ♣10, ♣4, ♣2 | pair
♠10, ♣Q, ♣10, ♣4, ♦J | pair
♠10, ♣Q, ♣10, ♣2, ♦J | pair
♠10, ♣Q, ♣7, ♠2, ♥2 | pair
♠10, ♣Q, ♣7, ♠2, ♣2 | pair
♠10, ♣Q, ♣7, ♥2, ♣2 | pair
♠10, ♣Q, ♠2, ♣3, ♥2 | pair
♠10, ♣Q, ♠2, ♣3, ♣2 | pair
♠10, ♣Q, ♠2, ♠5, ♥2 | pair
♠10, ♣Q, ♠2, ♠5, ♣2 | pair
♠10, ♣Q, ♠2, ♥8, ♥2 | pair
♠10, ♣Q, ♠2, ♥8, ♣2 | pair
♠10, ♣Q, ♠2, ♥2, ♣4 | pair
♠10, ♣Q, ♠2, ♥2, ♣2 | three of a kind
♠10, ♣Q, ♠2, ♥2, ♦J | pair
♠10, ♣Q, ♠2, ♣4, ♣2 | pair
♠10, ♣Q, ♠2, ♣2, ♦J | pair
