♣A, ♣9, ♦8, ♠7, ♥A | pair
♣A, ♣9, ♦8, ♠7, ♠9 | pair
♣A, ♣9, ♦8, ♠7, ♠8 | pair
♣A, ♣9, ♦8, ♥A, ♦5 | pair
♣A, ♣9, ♦8, ♥A, ♠9 | two pairs
♣A, ♣9, ♦8, ♥A, ♣3 | pair
♣A, ♣9, ♦8, ♥A, ♣2 | pair
♣A, ♣9, ♦8, ♥A, ♠8 | two pairs
♣A, ♣9, ♦8, ♦5, ♠9 | pair
♣A, ♣9, ♦8, ♦5, ♠8 | pair
♣A, ♣9, ♦8, ♠9, ♣3 | pair
♣A, ♣9, ♦8, ♠9, ♣2 | pair
♣A, ♣9, ♦8, ♠9, ♠8 | two pairs
♣A, ♣9, ♦8, ♣3, ♠8 | pair
♣A, ♣9, ♦8, ♣2, ♠8 | pair
♣A, ♣9, ♠7, ♥A, ♦5 | pair
♣A, ♣9, ♠7, ♥A, ♠9 | two pairs
♣A, ♣9, ♠7, ♥A, ♣3 | pair
♣A, ♣9, ♠7, ♥A, ♣2 | pair
♣A, ♣9, ♠7, ♥A, ♠8 | pair
♣A, ♣9, ♠7, ♦5, ♠9 | pair
♣A, ♣9, ♠7, ♠9, ♣3 | pair
♣A, ♣9, ♠7, ♠9, ♣2 | pair
♣A, ♣9, ♠7, ♠9, ♠8 | pair
♣A, ♣9, ♥A, ♦5, ♠9 | two pairs
♣A, ♣9, ♥A, ♦5, ♣3 | pair
♣A, ♣9, ♥A, ♦5, ♣2 | pair
♣A, ♣9, ♥A, ♦5, ♠8 | pair
♣A, ♣9, ♥A, ♠9, ♣3 | two pairs
♣A, ♣9, ♥A, ♠9, ♣2 | two pairs
♣A, ♣9, ♥A, ♠9, ♠8 | two pairs
♣A, ♣9, ♥A, ♣3, ♣2 | pair
♣A, ♣9, ♥A, ♣3, ♠8 | pair
♣A, ♣9, ♥A, ♣2, ♠8 | pair
♣A, ♣9, ♦5, ♠9, ♣3 | pair
♣A, ♣9, ♦5, ♠9, ♣2 | pair
♣A, ♣9, ♦5, ♠9, ♠8 | pair
♣A, ♣9, ♠9, ♣3, ♣2 | pair
♣A, ♣9, ♠9, ♣3, ♠8 | pair
♣A, ♣9, ♠9, ♣2, ♠8 | pair
♣A, ♦8, ♠7, ♥A, ♦5 | pair
♣A, ♦8, ♠7, ♥A, ♠9 | pair
♣A, ♦8, ♠7, ♥A, ♣3 | pair
♣A, ♦8, ♠7, ♥A, ♣2 | pair
♣A, ♦8, ♠7, ♥A, ♠8 | two pairs
♣A, ♦8, ♠7, ♦5, ♠8 | pair
♣A, ♦8, ♠7, ♠9, ♠8 | pair
♣A, ♦8, ♠7, ♣3, ♠8 | pair
♣A, ♦8, ♠7, ♣2, ♠8 | pair
♣A, ♦8, ♥A, ♦5, ♠9 | pair
♣A, ♦8, ♥A, ♦5, ♣3 | pair
♣A, ♦8, ♥A, ♦5, ♣2 | pair
♣A, ♦8, ♥A, ♦5, ♠8 | two pairs
♣A, ♦8, ♥A, ♠9, ♣3 | pair
♣A, ♦8, ♥A, ♠9, ♣2 | pair
♣A, ♦8, ♥A, ♠9, ♠8 | two pairs
♣A, ♦8, ♥A, ♣3, ♣2 | pair
♣A, ♦8, ♥A, ♣3, ♠8 | two pairs
♣A, ♦8, ♥A, ♣2, ♠8 | two pairs
♣A, ♦8, ♦5, ♠9, ♠8 | pair
♣A, ♦8, ♦5, ♣3, ♠8 | pair
♣A, ♦8, ♦5, ♣2, ♠8 | pair
♣A, ♦8, ♠9, ♣3, ♠8 | pair
♣A, ♦8, ♠9, ♣2, ♠8 | pair
♣A, ♦8, ♣3, ♣2, ♠8 | pair
♣A, ♠7, ♥A, ♦5, ♠9 | pair
♣A, ♠7, ♥A, ♦5, ♣3 | pair
♣A, ♠7, ♥A, ♦5, ♣2 | pair
♣A, ♠7, ♥A, ♦5, ♠8 | pair
♣A, ♠7, ♥A, ♠9, ♣3 | pair
♣A, ♠7, ♥A, ♠9, ♣2 | pair
♣A, ♠7, ♥A, ♠9, ♠8 | pair
♣A, ♠7, ♥A, ♣3, ♣2 | pair
♣A, ♠7, ♥A, ♣3, ♠8 | pair
♣A, ♠7, ♥A, ♣2, ♠8 | pair
♣A, ♥A, ♦5, ♠9, ♣3 | pair
♣A, ♥A, ♦5, ♠9, ♣2 | pair
♣A, ♥A, ♦5, ♠9, ♠8 | pair
♣A, ♥A, ♦5, ♣3, ♣2 | pair
♣A, ♥A, ♦5, ♣3, ♠8 | pair
♣A, ♥A, ♦5, ♣2, ♠8 | pair
♣A, ♥A, ♠9, ♣3, ♣2 | pair
♣A, ♥A, ♠9, ♣3, ♠8 | pair
♣A, ♥A, ♠9, ♣2, ♠8 | pair
♣A, ♥A, ♣3, ♣2, ♠8 | pair
♣9, ♦8, ♠7, ♥A, ♠9 | pair
♣9, ♦8, ♠7, ♥A, ♠8 | pair
♣9, ♦8, ♠7, ♦5, ♠9 | pair
♣9, ♦8, ♠7, ♦5, ♠8 | pair
♣9, ♦8, ♠7, ♠9, ♣3 | pair
♣9, ♦8, ♠7, ♠9, ♣2 | pair
♣9, ♦8, ♠7, ♠9, ♠8 | two pairs
