♥A, ♠3, ♣3, ♥J, ♥2 | pair
♥A, ♠3, ♣3, ♥J, ♠10 | pair
♥A, ♠3, ♣3, ♥J, ♦9 | pair
♥A, ♠3, ♣3, ♥J, ♠7 | pair
♥A, ♠3, ♣3, ♥J, ♥7 | pair
♥A, ♠3, ♣3, ♥J, ♣A | two pairs
♥A, ♠3, ♣3, ♥J, ♦A | two pairs
♥A, ♠3, ♣3, ♥2, ♠10 | pair
♥A, ♠3, ♣3, ♥2, ♦9 | pair
♥A, ♠3, ♣3, ♥2, ♠7 | pair
♥A, ♠3, ♣3, ♥2, ♥7 | pair
♥A, ♠3, ♣3, ♥2, ♣A | two pairs
♥A, ♠3, ♣3, ♥2, ♦A | two pairs
♥A, ♠3, ♣3, ♠10, ♦9 | pair
♥A, ♠3, ♣3, ♠10, ♠7 | pair
♥A, ♠3, ♣3, ♠10, ♥7 | pair
♥A, ♠3, ♣3, ♠10, ♣A | two pairs
♥A, ♠3, ♣3, ♠10, ♦A | two pairs
♥A, ♠3, ♣3, ♦9, ♠7 | pair
♥A, ♠3, ♣3, ♦9, ♥7 | pair
♥A, ♠3, ♣3, ♦9, ♣A | two pairs
♥A, ♠3, ♣3, ♦9, ♦A | two pairs
♥A, ♠3, ♣3, ♠7, ♥7 | two pairs
♥A, ♠3, ♣3, ♠7, ♣A | two pairs
♥A, ♠3, ♣3, ♠7, ♦A | two pairs
♥A, ♠3, ♣3, ♥7, ♣A | two pairs
♥A, ♠3, ♣3, ♥7, ♦A | two pairs
♥A, ♠3, ♣3, ♣A, ♦A | fullhouse
♥A, ♠3, ♥J, ♥2, ♣A | pair
♥A, ♠3, ♥J, ♥2, ♦A | pair
♥A, ♠3, ♥J, ♠10, ♣A | pair
♥A, ♠3, ♥J, ♠10, ♦A | pair
♥A, ♠3, ♥J, ♦9, ♣A | pair
♥A, ♠3, ♥J, ♦9, ♦A | pair
♥A, ♠3, ♥J, ♠7, ♥7 | pair
♥A, ♠3, ♥J, ♠7, ♣A | pair
