♣9,♥6,♥3,♠J,♦3 | Pair
♣9,♥6,♥3,♠J,♦3 | Pair
♣9,♥6,♥3,♠J,♠3 | Pair
♣9,♥6,♥3,♠J,♠3 | Pair
♣9,♥6,♥3,♦5,♦5 | Pair
♣9,♥6,♥3,♦5,♦5 | Pair
♣9,♥6,♥3,♦5,♦3 | Pair
♣9,♥6,♥3,♦5,♦3 | Pair
♣9,♥6,♥3,♦5,♠3 | Pair
♣9,♥6,♥3,♦5,♠3 | Pair
♣9,♥6,♥3,♦5,♦3 | Pair
♣9,♥6,♥3,♦5,♦3 | Pair
♣9,♥6,♥3,♦5,♠3 | Pair
♣9,♥6,♥3,♦5,♠3 | Pair
♣9,♥6,♥3,♦7,♦3 | Pair
♣9,♥6,♥3,♦7,♦3 | Pair
♣9,♥6,♥3,♦7,♠3 | Pair
♣9,♥6,♥3,♦7,♠3 | Pair
♣9,♥6,♥3,♣10,♦3 | Pair
♣9,♥6,♥3,♣10,♦3 | Pair
♣9,♥6,♥3,♣10,♠3 | Pair
♣9,♥6,♥3,♣10,♠3 | Pair
♣9,♥6,♥3,♦3,♠3 | Pair
♣9,♥6,♥3,♦3,♠3 | Three Of A Kind
♣9,♥6,♥3,♦3,♠3 | Pair
♣9,♥6,♥3,♦3,♠3 | Three Of A Kind
♣9,♥6,♠J,♦5,♦5 | Pair
♣9,♥6,♠J,♦5,♦5 | Pair
♣9,♥6,♠J,♦3,♠3 | Pair
♣9,♥6,♠J,♦3,♠3 | Pair
♣9,♥6,♦5,♦5,♦7 | Pair
♣9,♥6,♦5,♦5,♦7 | Pair
♣9,♥6,♦5,♦5,♣10 | Pair
♣9,♥6,♦5,♦5,♣10 | Pair
♣9,♥6,♦5,♦5,♦3 | Pair
♣9,♥6,♦5,♦5,♦3 | Pair
♣9,♥6,♦5,♦5,♠3 | Pair
♣9,♥6,♦5,♦5,♠3 | Pair
♣9,♥6,♦5,♦3,♠3 | Pair
♣9,♥6,♦5,♦3,♠3 | Pair
♣9,♥6,♦5,♦3,♠3 | Pair
♣9,♥6,♦5,♦3,♠3 | Pair
♣9,♥6,♦7,♦3,♠3 | Pair
♣9,♥6,♦7,♦3,♠3 | Pair
♣9,♥6,♣10,♦3,♠3 | Pair
♣9,♥6,♣10,♦3,♠3 | Pair
♣9,♥3,♠J,♦5,♦5 | Pair
♣9,♥3,♠J,♦5,♦5 | Pair
♣9,♥3,♠J,♦5,♦3 | Pair
♣9,♥3,♠J,♦5,♦3 | Pair
♣9,♥3,♠J,♦5,♠3 | Pair
♣9,♥3,♠J,♦5,♠3 | Pair
♣9,♥3,♠J,♦5,♦3 | Pair
♣9,♥3,♠J,♦5,♦3 | Pair
♣9,♥3,♠J,♦5,♠3 | Pair
♣9,♥3,♠J,♦5,♠3 | Pair
♣9,♥3,♠J,♦7,♦3 | Pair
♣9,♥3,♠J,♦7,♦3 | Pair
♣9,♥3,♠J,♦7,♠3 | Pair
♣9,♥3,♠J,♦7,♠3 | Pair
♣9,♥3,♠J,♣10,♦3 | Pair
