♠7,♦7,♦3,♥8,♣2 | Pair
♠7,♦7,♦3,♥8,♣7 | Pair
♠7,♦7,♦3,♥8,♦J | Pair
♠7,♦7,♦3,♥8,♠Q | Pair
♠7,♦7,♦3,♥8,♣3 | Two Pairs
♠7,♦7,♦3,♥8,♦Q | Pair
♠7,♦7,♦3,♥8,♠2 | Pair
♠7,♦7,♦3,♥8,♦10 | Pair
♠7,♦7,♦3,♥8,♥4 | Pair
♠7,♦7,♦3,♥8,♣5 | Pair
♠7,♦7,♦3,♥8,♣J | Pair
♠7,♦7,♦3,♣2,♣7 | Pair
♠7,♦7,♦3,♣2,♦J | Pair
♠7,♦7,♦3,♣2,♠Q | Pair
♠7,♦7,♦3,♣2,♣3 | Two Pairs
♠7,♦7,♦3,♣2,♦Q | Pair
♠7,♦7,♦3,♣2,♠2 | Two Pairs
♠7,♦7,♦3,♣2,♦10 | Pair
♠7,♦7,♦3,♣2,♥4 | Pair
♠7,♦7,♦3,♣2,♣5 | Pair
♠7,♦7,♦3,♣2,♣J | Pair
♠7,♦7,♦3,♣7,♦J | Three of a Kind
♠7,♦7,♦3,♣7,♠Q | Three of a Kind
♠7,♦7,♦3,♣7,♣3 | Full House
♠7,♦7,♦3,♣7,♦Q | Three of a Kind
♠7,♦7,♦3,♣7,♠2 | Three of a Kind
♠7,♦7,♦3,♣7,♦10 | Three of a Kind
♠7,♦7,♦3,♣7,♥4 | Three of a Kind
♠7,♦7,♦3,♣7,♣5 | Three of a Kind
♠7,♦7,♦3,♣7,♣J | Three of a Kind
♠7,♦7,♦3,♦J,♠Q | Pair
♠7,♦7,♦3,♦J,♣3 | Two Pairs
♠7,♦7,♦3,♦J,♦Q | Pair
♠7,♦7,♦3,♦J,♠2 | Pair
♠7,♦7,♦3,♦J,♦10 | Pair
♠7,♦7,♦3,♦J,♥4 | Pair
♠7,♦7,♦3,♦J,♣5 | Pair
♠7,♦7,♦3,♦J,♣J | Two Pairs
♠7,♦7,♦3,♠Q,♣3 | Two Pairs
♠7,♦7,♦3,♠Q,♦Q | Two Pairs
♠7,♦7,♦3,♠Q,♠2 | Pair
♠7,♦7,♦3,♠Q,♦10 | Pair
♠7,♦7,♦3,♠Q,♥4 | Pair
♠7,♦7,♦3,♠Q,♣5 | Pair
♠7,♦7,♦3,♠Q,♣J | Pair
♠7,♦7,♦3,♣3,♦Q | Two Pairs
♠7,♦7,♦3,♣3,♠2 | Two Pairs
♠7,♦7,♦3,♣3,♦10 | Two Pairs
♠7,♦7,♦3,♣3,♥4 | Two Pairs
♠7,♦7,♦3,♣3,♣5 | Two Pairs
♠7,♦7,♦3,♣3,♣J | Two Pairs
♠7,♦7,♦3,♦Q,♠2 | Pair
♠7,♦7,♦3,♦Q,♦10 | Pair
♠7,♦7,♦3,♦Q,♥4 | Pair
♠7,♦7,♦3,♦Q,♣5 | Pair
♠7,♦7,♦3,♦Q,♣J | Pair
♠7,♦7,♦3,♠2,♦10 | Pair
♠7,♦7,♦3,♠2,♥4 | Pair
♠7,♦7,♦3,♠2,♣5 | Pair
♠7,♦7,♦3,♠2,♣J | Pair
♠7,♦7,♦3,♦10,♥4 | Pair
♠7,♦7,♦3,♦10,♣5 | Pair
♠7,♦7,♦3,♦10,♣J | Pair
♠7,♦7,♦3,♥4,♣5 | Pair
♠7,♦7,♦3,♥4,♣J | Pair
♠7,♦7,♦3,♣5,♣J | Pair
♠7,♦7,♥8,♣2,♣7 | Pair
