♠K, ♠8, ♣9, ♥5, ♣8 | pair
♠K, ♠8, ♣9, ♥5, ♣5 | pair
♠K, ♠8, ♣9, ♣10, ♣8 | pair
♠K, ♠8, ♣9, ♣3, ♣8 | pair
♠K, ♠8, ♣9, ♣8, ♣5 | pair
♠K, ♠8, ♣9, ♣8, ♣6 | pair
♠K, ♠8, ♥5, ♣10, ♣8 | pair
♠K, ♠8, ♥5, ♣10, ♣5 | pair
♠K, ♠8, ♥5, ♣3, ♣8 | pair
♠K, ♠8, ♥5, ♣3, ♣5 | pair
♠K, ♠8, ♥5, ♣8, ♣5 | two pairs
♠K, ♠8, ♥5, ♣8, ♣6 | pair
♠K, ♠8, ♥5, ♣5, ♣6 | pair
♠K, ♠8, ♣10, ♣3, ♣8 | pair
♠K, ♠8, ♣10, ♣8, ♣5 | pair
♠K, ♠8, ♣10, ♣8, ♣6 | pair
♠K, ♠8, ♣3, ♣8, ♣5 | pair
♠K, ♠8, ♣3, ♣8, ♣6 | pair
♠K, ♠8, ♣8, ♣5, ♣6 | pair
♠K, ♣9, ♥5, ♣10, ♣5 | pair
♠K, ♣9, ♥5, ♣3, ♣5 | pair
♠K, ♣9, ♥5, ♣8, ♣5 | pair
♠K, ♣9, ♥5, ♣5, ♣6 | pair
♠K, ♥5, ♣10, ♣3, ♣5 | pair
♠K, ♥5, ♣10, ♣8, ♣5 | pair
♠K, ♥5, ♣10, ♣5, ♣6 | pair
♠K, ♥5, ♣3, ♣8, ♣5 | pair
♠K, ♥5, ♣3, ♣5, ♣6 | pair
♠K, ♥5, ♣8, ♣5, ♣6 | pair
♠8, ♣9, ♥5, ♣10, ♣8 | pair
♠8, ♣9, ♥5, ♣10, ♣5 | pair
♠8, ♣9, ♥5, ♣3, ♣8 | pair
♠8, ♣9, ♥5, ♣3, ♣5 | pair
♠8, ♣9, ♥5, ♣8, ♣5 | two pairs
♠8, ♣9, ♥5, ♣8, ♣6 | pair
♠8, ♣9, ♥5, ♣5, ♣6 | pair
♠8, ♣9, ♣10, ♣3, ♣8 | pair
♠8, ♣9, ♣10, ♣8, ♣5 | pair
♠8, ♣9, ♣10, ♣8, ♣6 | pair
♠8, ♣9, ♣3, ♣8, ♣5 | pair
♠8, ♣9, ♣3, ♣8, ♣6 | pair
♠8, ♣9, ♣8, ♣5, ♣6 | pair
♠8, ♥5, ♣10, ♣3, ♣8 | pair
♠8, ♥5, ♣10, ♣3, ♣5 | pair
♠8, ♥5, ♣10, ♣8, ♣5 | two pairs
♠8, ♥5, ♣10, ♣8, ♣6 | pair
♠8, ♥5, ♣10, ♣5, ♣6 | pair
♠8, ♥5, ♣3, ♣8, ♣5 | two pairs
♠8, ♥5, ♣3, ♣8, ♣6 | pair
♠8, ♥5, ♣3, ♣5, ♣6 | pair
♠8, ♥5, ♣8, ♣5, ♣6 | two pairs
♠8, ♣10, ♣3, ♣8, ♣5 | pair
♠8, ♣10, ♣3, ♣8, ♣6 | pair
♠8, ♣10, ♣8, ♣5, ♣6 | pair
♠8, ♣3, ♣8, ♣5, ♣6 | pair
♣9, ♥5, ♣10, ♣3, ♣5 | pair
♣9, ♥5, ♣10, ♣8, ♣5 | pair
♣9, ♥5, ♣10, ♣5, ♣6 | pair
♣9, ♥5, ♣3, ♣8, ♣5 | pair
♣9, ♥5, ♣3, ♣5, ♣6 | pair
♣9, ♥5, ♣8, ♣5, ♣6 | pair
♣9, ♣10, ♣3, ♣8, ♣5 | flush
♣9, ♣10, ♣3, ♣8, ♣6 | flush
♣9, ♣10, ♣3, ♣5, ♣6 | flush
♣9, ♣10, ♣8, ♣5, ♣6 | flush
♣9, ♣3, ♣8, ♣5, ♣6 | flush
♥5, ♣10, ♣3, ♣8, ♣5 | pair
♥5, ♣10, ♣3, ♣5, ♣6 | pair
♥5, ♣10, ♣8, ♣5, ♣6 | pair
♥5, ♣3, ♣8, ♣5, ♣6 | pair
♣10, ♣3, ♣8, ♣5, ♣6 | flush
