♦K, ♥8, ♥5, ♣7, ♠7 | pair
♦K, ♥8, ♥5, ♣7, ♦5 | pair
♦K, ♥8, ♥5, ♥4, ♦4 | pair
♦K, ♥8, ♥5, ♥4, ♦5 | pair
♦K, ♥8, ♥5, ♦4, ♦5 | pair
♦K, ♥8, ♥5, ♥10, ♦5 | pair
♦K, ♥8, ♥5, ♦6, ♦5 | pair
♦K, ♥8, ♥5, ♦9, ♦5 | pair
♦K, ♥8, ♥5, ♠2, ♥2 | pair
♦K, ♥8, ♥5, ♠2, ♦5 | pair
♦K, ♥8, ♥5, ♥2, ♦5 | pair
♦K, ♥8, ♥5, ♠7, ♦5 | pair
♦K, ♥8, ♣7, ♥4, ♦4 | pair
♦K, ♥8, ♣7, ♥4, ♠7 | pair
♦K, ♥8, ♣7, ♦4, ♠7 | pair
♦K, ♥8, ♣7, ♥10, ♠7 | pair
♦K, ♥8, ♣7, ♦6, ♠7 | pair
♦K, ♥8, ♣7, ♦9, ♠7 | pair
♦K, ♥8, ♣7, ♠2, ♥2 | pair
♦K, ♥8, ♣7, ♠2, ♠7 | pair
♦K, ♥8, ♣7, ♥2, ♠7 | pair
♦K, ♥8, ♣7, ♠7, ♦5 | pair
♦K, ♥8, ♥4, ♦4, ♥10 | pair
♦K, ♥8, ♥4, ♦4, ♦6 | pair
♦K, ♥8, ♥4, ♦4, ♦9 | pair
♦K, ♥8, ♥4, ♦4, ♠2 | pair
♦K, ♥8, ♥4, ♦4, ♥2 | pair
♦K, ♥8, ♥4, ♦4, ♠7 | pair
♦K, ♥8, ♥4, ♦4, ♦5 | pair
♦K, ♥8, ♥4, ♠2, ♥2 | pair
♦K, ♥8, ♦4, ♠2, ♥2 | pair
♦K, ♥8, ♥10, ♠2, ♥2 | pair
♦K, ♥8, ♦6, ♠2, ♥2 | pair
♦K, ♥8, ♦9, ♠2, ♥2 | pair
♦K, ♥8, ♠2, ♥2, ♠7 | pair
♦K, ♥8, ♠2, ♥2, ♦5 | pair
♦K, ♥5, ♣7, ♥4, ♦4 | pair
♦K, ♥5, ♣7, ♥4, ♠7 | pair
♦K, ♥5, ♣7, ♥4, ♦5 | pair
♦K, ♥5, ♣7, ♦4, ♠7 | pair
♦K, ♥5, ♣7, ♦4, ♦5 | pair
♦K, ♥5, ♣7, ♥10, ♠7 | pair
♦K, ♥5, ♣7, ♥10, ♦5 | pair
♦K, ♥5, ♣7, ♦6, ♠7 | pair
♦K, ♥5, ♣7, ♦6, ♦5 | pair
♦K, ♥5, ♣7, ♦9, ♠7 | pair
♦K, ♥5, ♣7, ♦9, ♦5 | pair
♦K, ♥5, ♣7, ♠2, ♥2 | pair
♦K, ♥5, ♣7, ♠2, ♠7 | pair
♦K, ♥5, ♣7, ♠2, ♦5 | pair
♦K, ♥5, ♣7, ♥2, ♠7 | pair
♦K, ♥5, ♣7, ♥2, ♦5 | pair
♦K, ♥5, ♣7, ♠7, ♦5 | two pairs
♦K, ♥5, ♥4, ♦4, ♥10 | pair
♦K, ♥5, ♥4, ♦4, ♦6 | pair
♦K, ♥5, ♥4, ♦4, ♦9 | pair
♦K, ♥5, ♥4, ♦4, ♠2 | pair
♦K, ♥5, ♥4, ♦4, ♥2 | pair
♦K, ♥5, ♥4, ♦4, ♠7 | pair
♦K, ♥5, ♥4, ♦4, ♦5 | two pairs
♦K, ♥5, ♥4, ♥10, ♦5 | pair
♦K, ♥5, ♥4, ♦6, ♦5 | pair
♦K, ♥5, ♥4, ♦9, ♦5 | pair
♦K, ♥5, ♥4, ♠2, ♥2 | pair
♦K, ♥5, ♥4, ♠2, ♦5 | pair
♦K, ♥5, ♥4, ♥2, ♦5 | pair
♦K, ♥5, ♥4, ♠7, ♦5 | pair
♦K, ♥5, ♦4, ♥10, ♦5 | pair
♦K, ♥5, ♦4, ♦6, ♦5 | pair
♦K, ♥5, ♦4, ♦9, ♦5 | pair
