♣4,♠7,♠8,♦K,♥K | Pair
♣4,♠7,♠8,♦K,♠K | Pair
♣4,♠7,♠8,♦A,♠A | Pair
♣4,♠7,♠8,♥K,♠K | Pair
♣4,♠7,♥J,♦K,♥K | Pair
♣4,♠7,♥J,♦K,♠K | Pair
♣4,♠7,♦K,♥K,♦A | Pair
♣4,♠7,♦K,♠K,♦A | Pair
♣4,♠7,♦K,♦A,♠A | Pair
♣4,♠7,♦K,♥K,♠K | Full House
♦2,♣4,♠7,♦K,♥K | Pair
♣4,♠7,♦K,♥K,♠A | Pair
♣4,♦5,♠7,♦K,♥K | Pair
♣4,♠7,♣9,♦K,♥K | Pair
♦2,♣4,♠7,♦K,♠K | Pair
♣4,♠7,♦K,♠K,♠A | Pair
♣4,♦5,♠7,♦K,♠K | Pair
♣4,♠7,♣9,♦K,♠K | Pair
♣4,♠7,♥J,♦A,♠A | Pair
♣4,♠7,♥J,♥K,♠K | Pair
♣4,♠7,♥K,♠K,♦A | Pair
♣4,♠7,♥K,♦A,♠A | Pair
♣4,♠7,♠K,♦A,♠A | Pair
♦2,♣4,♠7,♦A,♠A | Pair
♣4,♦5,♠7,♦A,♠A | Pair
♣4,♠7,♣9,♦A,♠A | Pair
♦2,♣4,♠7,♥K,♠K | Pair
♣4,♠7,♥K,♠K,♠A | Pair
♣4,♦5,♠7,♥K,♠K | Pair
♣4,♠7,♣9,♥K,♠K | Pair
♣4,♠8,♥J,♦K,♥K | Pair
♣4,♠8,♥J,♦K,♠K | Pair
♣4,♠8,♦K,♥K,♦A | Pair
♣4,♠8,♦K,♠K,♦A | Pair
♣4,♠8,♦K,♦A,♠A | Pair
♣4,♠8,♦K,♥K,♠K | Full House
♦2,♣4,♠8,♦K,♥K | Pair
♣4,♠8,♦K,♥K,♠A | Pair
♣4,♦5,♠8,♦K,♥K | Pair
♣4,♠8,♣9,♦K,♥K | Pair
♦2,♣4,♠8,♦K,♠K | Pair
♣4,♠8,♦K,♠K,♠A | Pair
♣4,♦5,♠8,♦K,♠K | Pair
♣4,♠8,♣9,♦K,♠K | Pair
♣4,♠8,♥J,♦A,♠A | Pair
♣4,♠8,♥J,♥K,♠K | Pair
♣4,♠8,♥K,♠K,♦A | Pair
♣4,♠8,♥K,♦A,♠A | Pair
♣4,♠8,♠K,♦A,♠A | Pair
♦2,♣4,♠8,♦A,♠A | Pair
♣4,♦5,♠8,♦A,♠A | Pair
♣4,♠8,♣9,♦A,♠A | Pair
♦2,♣4,♠8,♥K,♠K | Pair
♣4,♠8,♥K,♠K,♠A | Pair
♣4,♦5,♠8,♥K,♠K | Pair
♣4,♠8,♣9,♥K,♠K | Pair
♣4,♥J,♦K,♥K,♦A | Pair
♣4,♥J,♦K,♠K,♦A | Pair
