♠Q,♠2,♥2,♣K,♣8 | Pair
♠Q,♠2,♥2,♣K,♣8 | Pair
♠Q,♠2,♥2,♣K,♥A | Pair
♠Q,♠2,♥2,♣K,♥A | Three Of A Kind
♠Q,♠2,♥2,♣K,♥A | Pair
♠Q,♠2,♥2,♣K,♥K | Pair
♠Q,♠2,♥2,♣K,♥K | Pair
♠Q,♠2,♥2,♣K,♥K | Three Of A Kind
♠Q,♠2,♥2,♣K,♠6 | Pair
♠Q,♠2,♥2,♣K,♠6 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♥5 | Pair
♠Q,♠2,♥2,♣K,♥5 | Pair
♠Q,♠2,♥2,♣K,♣6 | Pair
♠Q,♠2,♥2,♣K,♣6 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♦7 | Pair
♠Q,♠2,♥2,♣K,♠2 | Pair
♠Q,♠2,♥2,♣K,♠2 | Pair
♠Q,♠2,♥2,♣K,♠2 | Three Of A Kind
♠Q,♠2,♥2,♣8,♥A | Pair
♠Q,♠2,♥2,♣8,♥A | Pair
♠Q,♠2,♥2,♣8,♥K | Pair
♠Q,♠2,♥2,♣8,♥K | Pair
♠Q,♠2,♥2,♣8,♠6 | Pair
♠Q,♠2,♥2,♣8,♦7 | Pair
♠Q,♠2,♥2,♣8,♥5 | Pair
♠Q,♠2,♥2,♣8,♣6 | Pair
♠Q,♠2,♥2,♣8,♦7 | Pair
♠Q,♠2,♥2,♣8,♦7 | Pair
♠Q,♠2,♥2,♣8,♠2 | Pair
♠Q,♠2,♥2,♣8,♠2 | Three Of A Kind
♠Q,♠2,♥2,♥A,♥K | Pair
♠Q,♠2,♥2,♥A,♥K | Three Of A Kind
♠Q,♠2,♥2,♥A,♥K | Pair
♠Q,♠2,♥2,♥A,♠6 | Pair
♠Q,♠2,♥2,♥A,♠6 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♥5 | Pair
♠Q,♠2,♥2,♥A,♥5 | Pair
♠Q,♠2,♥2,♥A,♣6 | Pair
♠Q,♠2,♥2,♥A,♣6 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♦7 | Pair
♠Q,♠2,♥2,♥A,♠2 | Pair
♠Q,♠2,♥2,♥A,♠2 | Pair
♠Q,♠2,♥2,♥A,♠2 | Three Of A Kind
♠Q,♠2,♥2,♥K,♠6 | Pair
♠Q,♠2,♥2,♥K,♠6 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♥5 | Pair
♠Q,♠2,♥2,♥K,♥5 | Pair
♠Q,♠2,♥2,♥K,♣6 | Pair
♠Q,♠2,♥2,♥K,♣6 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♦7 | Pair
♠Q,♠2,♥2,♥K,♠2 | Pair
♠Q,♠2,♥2,♥K,♠2 | Pair
♠Q,♠2,♥2,♥K,♠2 | Three Of A Kind
♠Q,♠2,♥2,♠6,♦7 | Pair
