♠4, ♣Q, ♦7, ♥8, ♣8 | pair
♠4, ♣Q, ♦7, ♣2, ♠2 | pair
♠4, ♣Q, ♥8, ♣2, ♠2 | pair
♠4, ♣Q, ♥8, ♣2, ♣8 | pair
♠4, ♣Q, ♥8, ♣5, ♣8 | pair
♠4, ♣Q, ♥8, ♣K, ♣8 | pair
♠4, ♣Q, ♥8, ♦6, ♣8 | pair
♠4, ♣Q, ♥8, ♠2, ♣8 | pair
♠4, ♣Q, ♣2, ♣5, ♠2 | pair
♠4, ♣Q, ♣2, ♣K, ♠2 | pair
♠4, ♣Q, ♣2, ♦6, ♠2 | pair
♠4, ♣Q, ♣2, ♠2, ♣8 | pair
♠4, ♦7, ♥8, ♣2, ♠2 | pair
♠4, ♦7, ♥8, ♣2, ♣8 | pair
♠4, ♦7, ♥8, ♣5, ♦6 | straight
♠4, ♦7, ♥8, ♣5, ♣8 | pair
♠4, ♦7, ♥8, ♣K, ♣8 | pair
♠4, ♦7, ♥8, ♦6, ♣8 | pair
♠4, ♦7, ♥8, ♠2, ♣8 | pair
♠4, ♦7, ♣2, ♣5, ♠2 | pair
♠4, ♦7, ♣2, ♣K, ♠2 | pair
♠4, ♦7, ♣2, ♦6, ♠2 | pair
♠4, ♦7, ♣2, ♠2, ♣8 | pair
♠4, ♦7, ♣5, ♦6, ♣8 | straight
♠4, ♥8, ♣2, ♣5, ♠2 | pair
♠4, ♥8, ♣2, ♣5, ♣8 | pair
♠4, ♥8, ♣2, ♣K, ♠2 | pair
♠4, ♥8, ♣2, ♣K, ♣8 | pair
♠4, ♥8, ♣2, ♦6, ♠2 | pair
♠4, ♥8, ♣2, ♦6, ♣8 | pair
♠4, ♥8, ♣2, ♠2, ♣8 | two pairs
♠4, ♥8, ♣5, ♣K, ♣8 | pair
♠4, ♥8, ♣5, ♦6, ♣8 | pair
♠4, ♥8, ♣5, ♠2, ♣8 | pair
♠4, ♥8, ♣K, ♦6, ♣8 | pair
♠4, ♥8, ♣K, ♠2, ♣8 | pair
♠4, ♥8, ♦6, ♠2, ♣8 | pair
♠4, ♣2, ♣5, ♣K, ♠2 | pair
♠4, ♣2, ♣5, ♦6, ♠2 | pair
♠4, ♣2, ♣5, ♠2, ♣8 | pair
♠4, ♣2, ♣K, ♦6, ♠2 | pair
♠4, ♣2, ♣K, ♠2, ♣8 | pair
♠4, ♣2, ♦6, ♠2, ♣8 | pair
♣Q, ♦7, ♥8, ♣2, ♠2 | pair
♣Q, ♦7, ♥8, ♣2, ♣8 | pair
♣Q, ♦7, ♥8, ♣5, ♣8 | pair
♣Q, ♦7, ♥8, ♣K, ♣8 | pair
♣Q, ♦7, ♥8, ♦6, ♣8 | pair
♣Q, ♦7, ♥8, ♠2, ♣8 | pair
♣Q, ♦7, ♣2, ♣5, ♠2 | pair
♣Q, ♦7, ♣2, ♣K, ♠2 | pair
♣Q, ♦7, ♣2, ♦6, ♠2 | pair
♣Q, ♦7, ♣2, ♠2, ♣8 | pair
♣Q, ♥8, ♣2, ♣5, ♠2 | pair
♣Q, ♥8, ♣2, ♣5, ♣8 | pair
♣Q, ♥8, ♣2, ♣K, ♠2 | pair
♣Q, ♥8, ♣2, ♣K, ♣8 | pair
♣Q, ♥8, ♣2, ♦6, ♠2 | pair
♣Q, ♥8, ♣2, ♦6, ♣8 | pair
♣Q, ♥8, ♣2, ♠2, ♣8 | two pairs
♣Q, ♥8, ♣5, ♣K, ♣8 | pair
♣Q, ♥8, ♣5, ♦6, ♣8 | pair
♣Q, ♥8, ♣5, ♠2, ♣8 | pair
♣Q, ♥8, ♣K, ♦6, ♣8 | pair
♣Q, ♥8, ♣K, ♠2, ♣8 | pair
♣Q, ♥8, ♦6, ♠2, ♣8 | pair
♣Q, ♣2, ♣5, ♣K, ♠2 | pair
♣Q, ♣2, ♣5, ♣K, ♣8 | flush
♣Q, ♣2, ♣5, ♦6, ♠2 | pair
♣Q, ♣2, ♣5, ♠2, ♣8 | pair
♣Q, ♣2, ♣K, ♦6, ♠2 | pair
♣Q, ♣2, ♣K, ♠2, ♣8 | pair
♣Q, ♣2, ♦6, ♠2, ♣8 | pair
♦7, ♥8, ♣2, ♣5, ♠2 | pair
♦7, ♥8, ♣2, ♣5, ♣8 | pair
♦7, ♥8, ♣2, ♣K, ♠2 | pair
♦7, ♥8, ♣2, ♣K, ♣8 | pair
♦7, ♥8, ♣2, ♦6, ♠2 | pair
♦7, ♥8, ♣2, ♦6, ♣8 | pair
♦7, ♥8, ♣2, ♠2, ♣8 | two pairs
♦7, ♥8, ♣5, ♣K, ♣8 | pair
♦7, ♥8, ♣5, ♦6, ♣8 | pair
♦7, ♥8, ♣5, ♠2, ♣8 | pair
♦7, ♥8, ♣K, ♦6, ♣8 | pair
♦7, ♥8, ♣K, ♠2, ♣8 | pair
♦7, ♥8, ♦6, ♠2, ♣8 | pair
♦7, ♣2, ♣5, ♣K, ♠2 | pair
♦7, ♣2, ♣5, ♦6, ♠2 | pair
♦7, ♣2, ♣5, ♠2, ♣8 | pair
♦7, ♣2, ♣K, ♦6, ♠2 | pair
♦7, ♣2, ♣K, ♠2, ♣8 | pair
♦7, ♣2, ♦6, ♠2, ♣8 | pair
♥8, ♣2, ♣5, ♣K, ♠2 | pair
♥8, ♣2, ♣5, ♣K, ♣8 | pair
♥8, ♣2, ♣5, ♦6, ♠2 | pair
♥8, ♣2, ♣5, ♦6, ♣8 | pair
♥8, ♣2, ♣5, ♠2, ♣8 | two pairs
♥8, ♣2, ♣K, ♦6, ♠2 | pair
♥8, ♣2, ♣K, ♦6, ♣8 | pair
♥8, ♣2, ♣K, ♠2, ♣8 | two pairs
♥8, ♣2, ♦6, ♠2, ♣8 | two pairs
♥8, ♣5, ♣K, ♦6, ♣8 | pair
♥8, ♣5, ♣K, ♠2, ♣8 | pair
♥8, ♣5, ♦6, ♠2, ♣8 | pair
♥8, ♣K, ♦6, ♠2, ♣8 | pair
♣2, ♣5, ♣K, ♦6, ♠2 | pair
♣2, ♣5, ♣K, ♠2, ♣8 | pair
♣2, ♣5, ♦6, ♠2, ♣8 | pair
♣2, ♣K, ♦6, ♠2, ♣8 | pair
