♠7,♣10,♦5,♥A,♠10 | Pair
♠7,♣10,♦5,♥A,♥A | Pair
♠7,♣10,♦5,♣3,♠10 | Pair
♠7,♣10,♦5,♦2,♦2 | Pair
♠7,♣10,♦5,♦2,♠10 | Pair
♠7,♣10,♦5,♣6,♠10 | Pair
♠7,♣10,♦5,♦2,♠10 | Pair
♠7,♣10,♦5,♣4,♠10 | Pair
♠7,♣10,♦5,♠10,♥8 | Pair
♠7,♣10,♦5,♠10,♥A | Pair
♠7,♣10,♦5,♠10,♦8 | Pair
♠7,♣10,♦5,♥8,♦8 | Pair
♠7,♣10,♥A,♣3,♠10 | Pair
♠7,♣10,♥A,♣3,♥A | Pair
♠7,♣10,♥A,♦2,♦2 | Pair
♠7,♣10,♥A,♦2,♠10 | Pair
♠7,♣10,♥A,♦2,♥A | Pair
♠7,♣10,♥A,♣6,♠10 | Pair
♠7,♣10,♥A,♣6,♥A | Pair
♠7,♣10,♥A,♦2,♠10 | Pair
♠7,♣10,♥A,♦2,♥A | Pair
♠7,♣10,♥A,♣4,♠10 | Pair
♠7,♣10,♥A,♣4,♥A | Pair
♠7,♣10,♥A,♠10,♥8 | Pair
♠7,♣10,♥A,♠10,♥A | Pair
♠7,♣10,♥A,♠10,♥A | Pair
♠7,♣10,♥A,♠10,♦8 | Pair
♠7,♣10,♥A,♥8,♥A | Pair
♠7,♣10,♥A,♥8,♦8 | Pair
♠7,♣10,♥A,♥A,♦8 | Pair
♠7,♣10,♣3,♦2,♦2 | Pair
♠7,♣10,♣3,♦2,♠10 | Pair
♠7,♣10,♣3,♣6,♠10 | Pair
♠7,♣10,♣3,♦2,♠10 | Pair
♠7,♣10,♣3,♣4,♠10 | Pair
♠7,♣10,♣3,♠10,♥8 | Pair
♠7,♣10,♣3,♠10,♥A | Pair
♠7,♣10,♣3,♠10,♦8 | Pair
♠7,♣10,♣3,♥8,♦8 | Pair
♠7,♣10,♦2,♣6,♦2 | Pair
♠7,♣10,♦2,♣6,♠10 | Pair
♠7,♣10,♦2,♦2,♣4 | Pair
♠7,♣10,♦2,♦2,♠10 | Pair
♠7,♣10,♦2,♦2,♠10 | Pair
♠7,♣10,♦2,♦2,♥8 | Pair
♠7,♣10,♦2,♦2,♥A | Pair
♠7,♣10,♦2,♦2,♦8 | Pair
♠7,♣10,♦2,♣4,♠10 | Pair
♠7,♣10,♦2,♠10,♥8 | Pair
♠7,♣10,♦2,♠10,♥A | Pair
♠7,♣10,♦2,♠10,♦8 | Pair
♠7,♣10,♦2,♥8,♦8 | Pair
♠7,♣10,♣6,♦2,♠10 | Pair
♠7,♣10,♣6,♣4,♠10 | Pair
♠7,♣10,♣6,♠10,♥8 | Pair
♠7,♣10,♣6,♠10,♥A | Pair
♠7,♣10,♣6,♠10,♦8 | Pair
♠7,♣10,♣6,♥8,♦8 | Pair
♠7,♣10,♦2,♣4,♠10 | Pair
♠7,♣10,♦2,♠10,♥8 | Pair
♠7,♣10,♦2,♠10,♥A | Pair
♠7,♣10,♦2,♠10,♦8 | Pair
♠7,♣10,♦2,♥8,♦8 | Pair
♠7,♣10,♣4,♠10,♥8 | Pair
♠7,♣10,♣4,♠10,♥A | Pair
♠7,♣10,♣4,♠10,♦8 | Pair
♠7,♣10,♣4,♥8,♦8 | Pair
♠7,♣10,♠10,♥8,♥A | Pair
♠7,♣10,♠10,♥8,♦8 | Pair
♠7,♣10,♠10,♥8,♦8 | Pair
♠7,♣10,♠10,♥A,♦8 | Pair
♠7,♣10,♥8,♥A,♦8 | Pair
♠7,♦5,♥A,♣3,♥A | Pair
♠7,♦5,♥A,♦2,♦2 | Pair
