♥3,♠4,♣4,♣7,♠10 | Pair
♥3,♠4,♥4,♣7,♠10 | Pair
♠4,♣4,♣7,♠10,♣K | Pair
♠4,♥4,♣7,♠10,♣K | Pair
♠4,♣4,♣7,♣9,♠10 | Pair
♠4,♥4,♣7,♣9,♠10 | Pair
♠4,♣4,♣6,♣7,♠10 | Pair
♠4,♣4,♣7,♠10,♥Q | Pair
♠4,♣4,♣7,♠10,♦A | Pair
♠4,♣4,♥4,♣7,♠10 | Three of a Kind
♠4,♥4,♣6,♣7,♠10 | Pair
♠4,♥4,♣7,♠10,♥Q | Pair
♠4,♥4,♣7,♠10,♦A | Pair
♥3,♠4,♣4,♣7,♣K | Pair
♥3,♠4,♥4,♣7,♣K | Pair
♥3,♠4,♣4,♣7,♣9 | Pair
♥3,♠4,♥4,♣7,♣9 | Pair
♥3,♠4,♣4,♣6,♣7 | Pair
♥3,♠4,♣4,♣7,♥Q | Pair
♥3,♠4,♣4,♣7,♦A | Pair
♥3,♠4,♣4,♥4,♣7 | Three of a Kind
♥3,♠4,♥4,♣6,♣7 | Pair
♥3,♠4,♥4,♣7,♥Q | Pair
♥3,♠4,♥4,♣7,♦A | Pair
♠4,♣4,♣7,♣9,♣K | Pair
♠4,♥4,♣7,♣9,♣K | Pair
♠4,♣4,♣6,♣7,♣K | Pair
♠4,♣4,♣7,♥Q,♣K | Pair
♠4,♣4,♣7,♣K,♦A | Pair
♠4,♣4,♥4,♣7,♣K | Three of a Kind
♠4,♥4,♣6,♣7,♣K | Pair
♠4,♥4,♣7,♥Q,♣K | Pair
♠4,♥4,♣7,♣K,♦A | Pair
♠4,♣4,♣6,♣7,♣9 | Pair
♠4,♣4,♣7,♣9,♥Q | Pair
♠4,♣4,♣7,♣9,♦A | Pair
♠4,♣4,♥4,♣7,♣9 | Three of a Kind
♠4,♥4,♣6,♣7,♣9 | Pair
♠4,♥4,♣7,♣9,♥Q | Pair
♠4,♥4,♣7,♣9,♦A | Pair
♠4,♣4,♣6,♣7,♥Q | Pair
♠4,♣4,♣6,♣7,♦A | Pair
♠4,♣4,♥4,♣6,♣7 | Three of a Kind
♠4,♣4,♣7,♥Q,♦A | Pair
♠4,♣4,♥4,♣7,♥Q | Three of a Kind
♠4,♣4,♥4,♣7,♦A | Three of a Kind
♠4,♥4,♣6,♣7,♥Q | Pair
♠4,♥4,♣6,♣7,♦A | Pair
♠4,♥4,♣7,♥Q,♦A | Pair
♥3,♣4,♥4,♣7,♠10 | Pair
♣4,♥4,♣7,♠10,♣K | Pair
♣4,♥4,♣7,♣9,♠10 | Pair
♣4,♥4,♣6,♣7,♠10 | Pair
♣4,♥4,♣7,♠10,♥Q | Pair
♣4,♥4,♣7,♠10,♦A | Pair
♥3,♣4,♥4,♣7,♣K | Pair
♥3,♣4,♥4,♣7,♣9 | Pair
♥3,♣4,♥4,♣6,♣7 | Pair
♥3,♣4,♥4,♣7,♥Q | Pair
♥3,♣4,♥4,♣7,♦A | Pair
♣4,♣6,♣7,♣9,♣K | Flush
♣4,♥4,♣7,♣9,♣K | Pair
♣4,♥4,♣6,♣7,♣K | Pair
♣4,♥4,♣7,♥Q,♣K | Pair
♣4,♥4,♣7,♣K,♦A | Pair
♣4,♥4,♣6,♣7,♣9 | Pair
♣4,♥4,♣7,♣9,♥Q | Pair
♣4,♥4,♣7,♣9,♦A | Pair
♣4,♥4,♣6,♣7,♥Q | Pair
♣4,♥4,♣6,♣7,♦A | Pair
♣4,♥4,♣7,♥Q,♦A | Pair
♥3,♠4,♣4,♠10,♣K | Pair
♥3,♠4,♥4,♠10,♣K | Pair
♥3,♠4,♣4,♣9,♠10 | Pair
♥3,♠4,♥4,♣9,♠10 | Pair
♥3,♠4,♣4,♣6,♠10 | Pair
♥3,♠4,♣4,♠10,♥Q | Pair
♥3,♠4,♣4,♠10,♦A | Pair
♥3,♠4,♣4,♥4,♠10 | Three of a Kind
♥3,♠4,♥4,♣6,♠10 | Pair
♥3,♠4,♥4,♠10,♥Q | Pair
♥3,♠4,♥4,♠10,♦A | Pair
♠4,♣4,♣9,♠10,♣K | Pair
♠4,♥4,♣9,♠10,♣K | Pair
♠4,♣4,♣6,♠10,♣K | Pair
♠4,♣4,♠10,♥Q,♣K | Pair
♠4,♣4,♠10,♣K,♦A | Pair
♠4,♣4,♥4,♠10,♣K | Three of a Kind
♠4,♥4,♣6,♠10,♣K | Pair
♠4,♥4,♠10,♥Q,♣K | Pair
♠4,♥4,♠10,♣K,♦A | Pair
♠4,♣4,♣6,♣9,♠10 | Pair
♠4,♣4,♣9,♠10,♥Q | Pair
♠4,♣4,♣9,♠10,♦A | Pair
♠4,♣4,♥4,♣9,♠10 | Three of a Kind
♠4,♥4,♣6,♣9,♠10 | Pair
♠4,♥4,♣9,♠10,♥Q | Pair
♠4,♥4,♣9,♠10,♦A | Pair
♠4,♣4,♣6,♠10,♥Q | Pair
♠4,♣4,♣6,♠10,♦A | Pair
♠4,♣4,♥4,♣6,♠10 | Three of a Kind
♠4,♣4,♠10,♥Q,♦A | Pair
♠4,♣4,♥4,♠10,♥Q | Three of a Kind
♠4,♣4,♥4,♠10,♦A | Three of a Kind
♠4,♥4,♣6,♠10,♥Q | Pair
♠4,♥4,♣6,♠10,♦A | Pair
♠4,♥4,♠10,♥Q,♦A | Pair
♥3,♠4,♣4,♣9,♣K | Pair
♥3,♠4,♥4,♣9,♣K | Pair
♥3,♠4,♣4,♣6,♣K | Pair
