♦7, ♣Q, ♠J, ♣3, ♥3 | pair
♦7, ♣Q, ♠J, ♣3, ♥J | pair
♦7, ♣Q, ♠J, ♥K, ♠K | pair
♦7, ♣Q, ♠J, ♥K, ♥J | pair
♦7, ♣Q, ♠J, ♥3, ♥J | pair
♦7, ♣Q, ♠J, ♠10, ♥J | pair
♦7, ♣Q, ♠J, ♠K, ♥J | pair
♦7, ♣Q, ♠J, ♣A, ♥J | pair
♦7, ♣Q, ♠J, ♥J, ♦4 | pair
♦7, ♣Q, ♠J, ♥J, ♥4 | pair
♦7, ♣Q, ♠J, ♥J, ♥8 | pair
♦7, ♣Q, ♠J, ♦4, ♥4 | pair
♦7, ♣Q, ♣3, ♥K, ♥3 | pair
♦7, ♣Q, ♣3, ♥K, ♠K | pair
♦7, ♣Q, ♣3, ♥3, ♠10 | pair
♦7, ♣Q, ♣3, ♥3, ♠K | pair
♦7, ♣Q, ♣3, ♥3, ♣A | pair
♦7, ♣Q, ♣3, ♥3, ♥J | pair
♦7, ♣Q, ♣3, ♥3, ♦4 | pair
♦7, ♣Q, ♣3, ♥3, ♥4 | pair
♦7, ♣Q, ♣3, ♥3, ♥8 | pair
♦7, ♣Q, ♣3, ♦4, ♥4 | pair
♦7, ♣Q, ♥K, ♥3, ♠K | pair
♦7, ♣Q, ♥K, ♠10, ♠K | pair
♦7, ♣Q, ♥K, ♠K, ♣A | pair
♦7, ♣Q, ♥K, ♠K, ♥J | pair
♦7, ♣Q, ♥K, ♠K, ♦4 | pair
♦7, ♣Q, ♥K, ♠K, ♥4 | pair
♦7, ♣Q, ♥K, ♠K, ♥8 | pair
♦7, ♣Q, ♥K, ♦4, ♥4 | pair
♦7, ♣Q, ♥3, ♦4, ♥4 | pair
♦7, ♣Q, ♠10, ♦4, ♥4 | pair
♦7, ♣Q, ♠K, ♦4, ♥4 | pair
♦7, ♣Q, ♣A, ♦4, ♥4 | pair
♦7, ♣Q, ♥J, ♦4, ♥4 | pair
♦7, ♣Q, ♦4, ♥4, ♥8 | pair
♦7, ♠J, ♣3, ♥K, ♥3 | pair
♦7, ♠J, ♣3, ♥K, ♠K | pair
♦7, ♠J, ♣3, ♥K, ♥J | pair
♦7, ♠J, ♣3, ♥3, ♠10 | pair
♦7, ♠J, ♣3, ♥3, ♠K | pair
♦7, ♠J, ♣3, ♥3, ♣A | pair
♦7, ♠J, ♣3, ♥3, ♥J | two pairs
♦7, ♠J, ♣3, ♥3, ♦4 | pair
♦7, ♠J, ♣3, ♥3, ♥4 | pair
♦7, ♠J, ♣3, ♥3, ♥8 | pair
♦7, ♠J, ♣3, ♠10, ♥J | pair
♦7, ♠J, ♣3, ♠K, ♥J | pair
♦7, ♠J, ♣3, ♣A, ♥J | pair
♦7, ♠J, ♣3, ♥J, ♦4 | pair
♦7, ♠J, ♣3, ♥J, ♥4 | pair
♦7, ♠J, ♣3, ♥J, ♥8 | pair
♦7, ♠J, ♣3, ♦4, ♥4 | pair
♦7, ♠J, ♥K, ♥3, ♠K | pair
♦7, ♠J, ♥K, ♥3, ♥J | pair
♦7, ♠J, ♥K, ♠10, ♠K | pair
♦7, ♠J, ♥K, ♠10, ♥J | pair
♦7, ♠J, ♥K, ♠K, ♣A | pair
♦7, ♠J, ♥K, ♠K, ♥J | two pairs
♦7, ♠J, ♥K, ♠K, ♦4 | pair
♦7, ♠J, ♥K, ♠K, ♥4 | pair
♦7, ♠J, ♥K, ♠K, ♥8 | pair
♦7, ♠J, ♥K, ♣A, ♥J | pair
♦7, ♠J, ♥K, ♥J, ♦4 | pair
♦7, ♠J, ♥K, ♥J, ♥4 | pair
♦7, ♠J, ♥K, ♥J, ♥8 | pair
♦7, ♠J, ♥K, ♦4, ♥4 | pair
♦7, ♠J, ♥3, ♠10, ♥J | pair
♦7, ♠J, ♥3, ♠K, ♥J | pair
♦7, ♠J, ♥3, ♣A, ♥J | pair
♦7, ♠J, ♥3, ♥J, ♦4 | pair
♦7, ♠J, ♥3, ♥J, ♥4 | pair
♦7, ♠J, ♥3, ♥J, ♥8 | pair
♦7, ♠J, ♥3, ♦4, ♥4 | pair
♦7, ♠J, ♠10, ♠K, ♥J | pair
♦7, ♠J, ♠10, ♣A, ♥J | pair
♦7, ♠J, ♠10, ♥J, ♦4 | pair
♦7, ♠J, ♠10, ♥J, ♥4 | pair
♦7, ♠J, ♠10, ♥J, ♥8 | pair
♦7, ♠J, ♠10, ♦4, ♥4 | pair
♦7, ♠J, ♠K, ♣A, ♥J | pair
♦7, ♠J, ♠K, ♥J, ♦4 | pair
♦7, ♠J, ♠K, ♥J, ♥4 | pair
♦7, ♠J, ♠K, ♥J, ♥8 | pair
♦7, ♠J, ♠K, ♦4, ♥4 | pair
♦7, ♠J, ♣A, ♥J, ♦4 | pair
♦7, ♠J, ♣A, ♥J, ♥4 | pair
♦7, ♠J, ♣A, ♥J, ♥8 | pair
♦7, ♠J, ♣A, ♦4, ♥4 | pair
♦7, ♠J, ♥J, ♦4, ♥4 | two pairs
♦7, ♠J, ♥J, ♦4, ♥8 | pair
♦7, ♠J, ♥J, ♥4, ♥8 | pair
♦7, ♠J, ♦4, ♥4, ♥8 | pair
♦7, ♣3, ♥K, ♥3, ♠10 | pair
♦7, ♣3, ♥K, ♥3, ♠K | two pairs
♦7, ♣3, ♥K, ♥3, ♣A | pair
♦7, ♣3, ♥K, ♥3, ♥J | pair
♦7, ♣3, ♥K, ♥3, ♦4 | pair
♦7, ♣3, ♥K, ♥3, ♥4 | pair
♦7, ♣3, ♥K, ♥3, ♥8 | pair
♦7, ♣3, ♥K, ♠10, ♠K | pair
♦7, ♣3, ♥K, ♠K, ♣A | pair
♦7, ♣3, ♥K, ♠K, ♥J | pair
♦7, ♣3, ♥K, ♠K, ♦4 | pair
♦7, ♣3, ♥K, ♠K, ♥4 | pair
♦7, ♣3, ♥K, ♠K, ♥8 | pair
♦7, ♣3, ♥K, ♦4, ♥4 | pair
♦7, ♣3, ♥3, ♠10, ♠K | pair
♦7, ♣3, ♥3, ♠10, ♣A | pair
♦7, ♣3, ♥3, ♠10, ♥J | pair
♦7, ♣3, ♥3, ♠10, ♦4 | pair
♦7, ♣3, ♥3, ♠10, ♥4 | pair
♦7, ♣3, ♥3, ♠10, ♥8 | pair
