♦2, ♥Q, ♣9, ♦5, ♠2 | pair
♦2, ♥Q, ♣9, ♦5, ♣2 | pair
♦2, ♥Q, ♣9, ♠2, ♣2 | three of a kind
♦2, ♥Q, ♣9, ♠2, ♥6 | pair
♦2, ♥Q, ♣9, ♠2, ♥7 | pair
♦2, ♥Q, ♣9, ♠2, ♣4 | pair
♦2, ♥Q, ♣9, ♣2, ♥6 | pair
♦2, ♥Q, ♣9, ♣2, ♥7 | pair
♦2, ♥Q, ♣9, ♣2, ♣4 | pair
♦2, ♥Q, ♦5, ♠2, ♣2 | three of a kind
♦2, ♥Q, ♦5, ♠2, ♥6 | pair
♦2, ♥Q, ♦5, ♠2, ♥7 | pair
♦2, ♥Q, ♦5, ♠2, ♣4 | pair
♦2, ♥Q, ♦5, ♣2, ♥6 | pair
♦2, ♥Q, ♦5, ♣2, ♥7 | pair
♦2, ♥Q, ♦5, ♣2, ♣4 | pair
♦2, ♥Q, ♠2, ♣2, ♥6 | three of a kind
♦2, ♥Q, ♠2, ♣2, ♥7 | three of a kind
♦2, ♥Q, ♠2, ♣2, ♣4 | three of a kind
♦2, ♥Q, ♠2, ♥6, ♥7 | pair
♦2, ♥Q, ♠2, ♥6, ♣4 | pair
♦2, ♥Q, ♠2, ♥7, ♣4 | pair
♦2, ♥Q, ♣2, ♥6, ♥7 | pair
♦2, ♥Q, ♣2, ♥6, ♣4 | pair
♦2, ♥Q, ♣2, ♥7, ♣4 | pair
♦2, ♣9, ♦5, ♠2, ♣2 | three of a kind
♦2, ♣9, ♦5, ♠2, ♥6 | pair
♦2, ♣9, ♦5, ♠2, ♥7 | pair
♦2, ♣9, ♦5, ♠2, ♣4 | pair
♦2, ♣9, ♦5, ♣2, ♥6 | pair
♦2, ♣9, ♦5, ♣2, ♥7 | pair
♦2, ♣9, ♦5, ♣2, ♣4 | pair
♦2, ♣9, ♠2, ♣2, ♥6 | three of a kind
♦2, ♣9, ♠2, ♣2, ♥7 | three of a kind
♦2, ♣9, ♠2, ♣2, ♣4 | three of a kind
♦2, ♣9, ♠2, ♥6, ♥7 | pair
♦2, ♣9, ♠2, ♥6, ♣4 | pair
♦2, ♣9, ♠2, ♥7, ♣4 | pair
♦2, ♣9, ♣2, ♥6, ♥7 | pair
♦2, ♣9, ♣2, ♥6, ♣4 | pair
♦2, ♣9, ♣2, ♥7, ♣4 | pair
♦2, ♦5, ♠2, ♣2, ♥6 | three of a kind
♦2, ♦5, ♠2, ♣2, ♥7 | three of a kind
♦2, ♦5, ♠2, ♣2, ♣4 | three of a kind
♦2, ♦5, ♠2, ♥6, ♥7 | pair
♦2, ♦5, ♠2, ♥6, ♣4 | pair
♦2, ♦5, ♠2, ♥7, ♣4 | pair
♦2, ♦5, ♣2, ♥6, ♥7 | pair
♦2, ♦5, ♣2, ♥6, ♣4 | pair
♦2, ♦5, ♣2, ♥7, ♣4 | pair
♦2, ♠2, ♣2, ♥6, ♥7 | three of a kind
♦2, ♠2, ♣2, ♥6, ♣4 | three of a kind
♦2, ♠2, ♣2, ♥7, ♣4 | three of a kind
♦2, ♠2, ♥6, ♥7, ♣4 | pair
♦2, ♣2, ♥6, ♥7, ♣4 | pair
♥Q, ♣9, ♦5, ♠2, ♣2 | pair
♥Q, ♣9, ♠2, ♣2, ♥6 | pair
♥Q, ♣9, ♠2, ♣2, ♥7 | pair
♥Q, ♣9, ♠2, ♣2, ♣4 | pair
♥Q, ♦5, ♠2, ♣2, ♥6 | pair
♥Q, ♦5, ♠2, ♣2, ♥7 | pair
♥Q, ♦5, ♠2, ♣2, ♣4 | pair
♥Q, ♠2, ♣2, ♥6, ♥7 | pair
♥Q, ♠2, ♣2, ♥6, ♣4 | pair
♥Q, ♠2, ♣2, ♥7, ♣4 | pair
♣9, ♦5, ♠2, ♣2, ♥6 | pair
♣9, ♦5, ♠2, ♣2, ♥7 | pair
♣9, ♦5, ♠2, ♣2, ♣4 | pair
♣9, ♠2, ♣2, ♥6, ♥7 | pair
♣9, ♠2, ♣2, ♥6, ♣4 | pair
♣9, ♠2, ♣2, ♥7, ♣4 | pair
♦5, ♠2, ♣2, ♥6, ♥7 | pair
♦5, ♠2, ♣2, ♥6, ♣4 | pair
♦5, ♠2, ♣2, ♥7, ♣4 | pair
♠2, ♣2, ♥6, ♥7, ♣4 | pair
