♥2, ♥7, ♣9, ♥8, ♠2 | pair
♥2, ♥7, ♣9, ♣J, ♠2 | pair
♥2, ♥7, ♣9, ♥4, ♠2 | pair
♥2, ♥7, ♣9, ♥4, ♦4 | pair
♥2, ♥7, ♣9, ♥4, ♠4 | pair
♥2, ♥7, ♣9, ♠2, ♠5 | pair
♥2, ♥7, ♣9, ♠2, ♥10 | pair
♥2, ♥7, ♣9, ♠2, ♣A | pair
♥2, ♥7, ♣9, ♠2, ♠K | pair
♥2, ♥7, ♣9, ♠2, ♦4 | pair
♥2, ♥7, ♣9, ♠2, ♠4 | pair
♥2, ♥7, ♣9, ♦4, ♠4 | pair
♥2, ♥7, ♥8, ♣J, ♠2 | pair
♥2, ♥7, ♥8, ♥4, ♠2 | pair
♥2, ♥7, ♥8, ♥4, ♥10 | flush
♥2, ♥7, ♥8, ♥4, ♦4 | pair
♥2, ♥7, ♥8, ♥4, ♠4 | pair
♥2, ♥7, ♥8, ♠2, ♠5 | pair
♥2, ♥7, ♥8, ♠2, ♥10 | pair
♥2, ♥7, ♥8, ♠2, ♣A | pair
♥2, ♥7, ♥8, ♠2, ♠K | pair
♥2, ♥7, ♥8, ♠2, ♦4 | pair
♥2, ♥7, ♥8, ♠2, ♠4 | pair
♥2, ♥7, ♥8, ♦4, ♠4 | pair
♥2, ♥7, ♣J, ♥4, ♠2 | pair
♥2, ♥7, ♣J, ♥4, ♦4 | pair
♥2, ♥7, ♣J, ♥4, ♠4 | pair
♥2, ♥7, ♣J, ♠2, ♠5 | pair
♥2, ♥7, ♣J, ♠2, ♥10 | pair
♥2, ♥7, ♣J, ♠2, ♣A | pair
♥2, ♥7, ♣J, ♠2, ♠K | pair
♥2, ♥7, ♣J, ♠2, ♦4 | pair
♥2, ♥7, ♣J, ♠2, ♠4 | pair
♥2, ♥7, ♣J, ♦4, ♠4 | pair
♥2, ♥7, ♥4, ♠2, ♠5 | pair
♥2, ♥7, ♥4, ♠2, ♥10 | pair
♥2, ♥7, ♥4, ♠2, ♣A | pair
♥2, ♥7, ♥4, ♠2, ♠K | pair
♥2, ♥7, ♥4, ♠2, ♦4 | two pairs
♥2, ♥7, ♥4, ♠2, ♠4 | two pairs
♥2, ♥7, ♥4, ♠5, ♦4 | pair
♥2, ♥7, ♥4, ♠5, ♠4 | pair
♥2, ♥7, ♥4, ♥10, ♦4 | pair
♥2, ♥7, ♥4, ♥10, ♠4 | pair
♥2, ♥7, ♥4, ♣A, ♦4 | pair
♥2, ♥7, ♥4, ♣A, ♠4 | pair
♥2, ♥7, ♥4, ♠K, ♦4 | pair
♥2, ♥7, ♥4, ♠K, ♠4 | pair
♥2, ♥7, ♥4, ♦4, ♠4 | three of a kind
♥2, ♥7, ♠2, ♠5, ♥10 | pair
♥2, ♥7, ♠2, ♠5, ♣A | pair
♥2, ♥7, ♠2, ♠5, ♠K | pair
♥2, ♥7, ♠2, ♠5, ♦4 | pair
♥2, ♥7, ♠2, ♠5, ♠4 | pair
♥2, ♥7, ♠2, ♥10, ♣A | pair
♥2, ♥7, ♠2, ♥10, ♠K | pair
♥2, ♥7, ♠2, ♥10, ♦4 | pair
♥2, ♥7, ♠2, ♥10, ♠4 | pair
♥2, ♥7, ♠2, ♣A, ♠K | pair
♥2, ♥7, ♠2, ♣A, ♦4 | pair
♥2, ♥7, ♠2, ♣A, ♠4 | pair
♥2, ♥7, ♠2, ♠K, ♦4 | pair
♥2, ♥7, ♠2, ♠K, ♠4 | pair
♥2, ♥7, ♠2, ♦4, ♠4 | two pairs
♥2, ♥7, ♠5, ♦4, ♠4 | pair
♥2, ♥7, ♥10, ♦4, ♠4 | pair
♥2, ♥7, ♣A, ♦4, ♠4 | pair
♥2, ♥7, ♠K, ♦4, ♠4 | pair
♥2, ♣9, ♥8, ♣J, ♠2 | pair
♥2, ♣9, ♥8, ♥4, ♠2 | pair
♥2, ♣9, ♥8, ♥4, ♦4 | pair
♥2, ♣9, ♥8, ♥4, ♠4 | pair
♥2, ♣9, ♥8, ♠2, ♠5 | pair
♥2, ♣9, ♥8, ♠2, ♥10 | pair
♥2, ♣9, ♥8, ♠2, ♣A | pair
♥2, ♣9, ♥8, ♠2, ♠K | pair
♥2, ♣9, ♥8, ♠2, ♦4 | pair
♥2, ♣9, ♥8, ♠2, ♠4 | pair
♥2, ♣9, ♥8, ♦4, ♠4 | pair
♥2, ♣9, ♣J, ♥4, ♠2 | pair
♥2, ♣9, ♣J, ♥4, ♦4 | pair
♥2, ♣9, ♣J, ♥4, ♠4 | pair
♥2, ♣9, ♣J, ♠2, ♠5 | pair
♥2, ♣9, ♣J, ♠2, ♥10 | pair
♥2, ♣9, ♣J, ♠2, ♣A | pair
♥2, ♣9, ♣J, ♠2, ♠K | pair
♥2, ♣9, ♣J, ♠2, ♦4 | pair
♥2, ♣9, ♣J, ♠2, ♠4 | pair
♥2, ♣9, ♣J, ♦4, ♠4 | pair
♥2, ♣9, ♥4, ♠2, ♠5 | pair
♥2, ♣9, ♥4, ♠2, ♥10 | pair
♥2, ♣9, ♥4, ♠2, ♣A | pair
♥2, ♣9, ♥4, ♠2, ♠K | pair
♥2, ♣9, ♥4, ♠2, ♦4 | two pairs
♥2, ♣9, ♥4, ♠2, ♠4 | two pairs
♥2, ♣9, ♥4, ♠5, ♦4 | pair
♥2, ♣9, ♥4, ♠5, ♠4 | pair
♥2, ♣9, ♥4, ♥10, ♦4 | pair
♥2, ♣9, ♥4, ♥10, ♠4 | pair
♥2, ♣9, ♥4, ♣A, ♦4 | pair
♥2, ♣9, ♥4, ♣A, ♠4 | pair
♥2, ♣9, ♥4, ♠K, ♦4 | pair
♥2, ♣9, ♥4, ♠K, ♠4 | pair
♥2, ♣9, ♥4, ♦4, ♠4 | three of a kind
♥2, ♣9, ♠2, ♠5, ♥10 | pair
♥2, ♣9, ♠2, ♠5, ♣A | pair
♥2, ♣9, ♠2, ♠5, ♠K | pair
♥2, ♣9, ♠2, ♠5, ♦4 | pair
♥2, ♣9, ♠2, ♠5, ♠4 | pair
♥2, ♣9, ♠2, ♥10, ♣A | pair
♥2, ♣9, ♠2, ♥10, ♠K | pair
♥2, ♣9, ♠2, ♥10, ♦4 | pair
♥2, ♣9, ♠2, ♥10, ♠4 | pair
♥2, ♣9, ♠2, ♣A, ♠K | pair
♥2, ♣9, ♠2, ♣A, ♦4 | pair
♥2, ♣9, ♠2, ♣A, ♠4 | pair
♥2, ♣9, ♠2, ♠K, ♦4 | pair
♥2, ♣9, ♠2, ♠K, ♠4 | pair
♥2, ♣9, ♠2, ♦4, ♠4 | two pairs
♥2, ♣9, ♠5, ♦4, ♠4 | pair
♥2, ♣9, ♥10, ♦4, ♠4 | pair
♥2, ♣9, ♣A, ♦4, ♠4 | pair
♥2, ♣9, ♠K, ♦4, ♠4 | pair
♥2, ♥8, ♣J, ♥4, ♠2 | pair
♥2, ♥8, ♣J, ♥4, ♦4 | pair
♥2, ♥8, ♣J, ♥4, ♠4 | pair
♥2, ♥8, ♣J, ♠2, ♠5 | pair
♥2, ♥8, ♣J, ♠2, ♥10 | pair
♥2, ♥8, ♣J, ♠2, ♣A | pair
♥2, ♥8, ♣J, ♠2, ♠K | pair
