♠5, ♣J, ♣2, ♣6, ♦2 | pair
♠5, ♣J, ♣2, ♣6, ♥2 | pair
♠5, ♣J, ♣2, ♥K, ♦2 | pair
♠5, ♣J, ♣2, ♥K, ♠K | pair
♠5, ♣J, ♣2, ♥K, ♥2 | pair
♠5, ♣J, ♣2, ♦2, ♦3 | pair
♠5, ♣J, ♣2, ♦2, ♣9 | pair
♠5, ♣J, ♣2, ♦2, ♠9 | pair
♠5, ♣J, ♣2, ♦2, ♠K | pair
♠5, ♣J, ♣2, ♦2, ♠10 | pair
♠5, ♣J, ♣2, ♦2, ♠4 | pair
♠5, ♣J, ♣2, ♦2, ♥2 | three of a kind
♠5, ♣J, ♣2, ♦3, ♥2 | pair
♠5, ♣J, ♣2, ♣9, ♠9 | pair
♠5, ♣J, ♣2, ♣9, ♥2 | pair
♠5, ♣J, ♣2, ♠9, ♥2 | pair
♠5, ♣J, ♣2, ♠K, ♥2 | pair
♠5, ♣J, ♣2, ♠10, ♥2 | pair
♠5, ♣J, ♣2, ♠4, ♥2 | pair
♠5, ♣J, ♣6, ♥K, ♠K | pair
♠5, ♣J, ♣6, ♦2, ♥2 | pair
♠5, ♣J, ♣6, ♣9, ♠9 | pair
♠5, ♣J, ♥K, ♦2, ♠K | pair
♠5, ♣J, ♥K, ♦2, ♥2 | pair
♠5, ♣J, ♥K, ♦3, ♠K | pair
♠5, ♣J, ♥K, ♣9, ♠9 | pair
♠5, ♣J, ♥K, ♣9, ♠K | pair
♠5, ♣J, ♥K, ♠9, ♠K | pair
♠5, ♣J, ♥K, ♠K, ♠10 | pair
♠5, ♣J, ♥K, ♠K, ♠4 | pair
♠5, ♣J, ♥K, ♠K, ♥2 | pair
♠5, ♣J, ♦2, ♦3, ♥2 | pair
♠5, ♣J, ♦2, ♣9, ♠9 | pair
♠5, ♣J, ♦2, ♣9, ♥2 | pair
♠5, ♣J, ♦2, ♠9, ♥2 | pair
♠5, ♣J, ♦2, ♠K, ♥2 | pair
♠5, ♣J, ♦2, ♠10, ♥2 | pair
♠5, ♣J, ♦2, ♠4, ♥2 | pair
♠5, ♣J, ♦3, ♣9, ♠9 | pair
♠5, ♣J, ♣9, ♠9, ♠K | pair
♠5, ♣J, ♣9, ♠9, ♠10 | pair
♠5, ♣J, ♣9, ♠9, ♠4 | pair
♠5, ♣J, ♣9, ♠9, ♥2 | pair
♠5, ♣2, ♣6, ♥K, ♦2 | pair
♠5, ♣2, ♣6, ♥K, ♠K | pair
♠5, ♣2, ♣6, ♥K, ♥2 | pair
♠5, ♣2, ♣6, ♦2, ♦3 | pair
♠5, ♣2, ♣6, ♦2, ♣9 | pair
♠5, ♣2, ♣6, ♦2, ♠9 | pair
♠5, ♣2, ♣6, ♦2, ♠K | pair
♠5, ♣2, ♣6, ♦2, ♠10 | pair
♠5, ♣2, ♣6, ♦2, ♠4 | pair
♠5, ♣2, ♣6, ♦2, ♥2 | three of a kind
♠5, ♣2, ♣6, ♦3, ♠4 | straight
♠5, ♣2, ♣6, ♦3, ♥2 | pair
♠5, ♣2, ♣6, ♣9, ♠9 | pair
♠5, ♣2, ♣6, ♣9, ♥2 | pair
♠5, ♣2, ♣6, ♠9, ♥2 | pair
♠5, ♣2, ♣6, ♠K, ♥2 | pair
♠5, ♣2, ♣6, ♠10, ♥2 | pair
♠5, ♣2, ♣6, ♠4, ♥2 | pair
♠5, ♣2, ♥K, ♦2, ♦3 | pair
♠5, ♣2, ♥K, ♦2, ♣9 | pair
♠5, ♣2, ♥K, ♦2, ♠9 | pair
♠5, ♣2, ♥K, ♦2, ♠K | two pairs
♠5, ♣2, ♥K, ♦2, ♠10 | pair
♠5, ♣2, ♥K, ♦2, ♠4 | pair
♠5, ♣2, ♥K, ♦2, ♥2 | three of a kind
♠5, ♣2, ♥K, ♦3, ♠K | pair
♠5, ♣2, ♥K, ♦3, ♥2 | pair
♠5, ♣2, ♥K, ♣9, ♠9 | pair
♠5, ♣2, ♥K, ♣9, ♠K | pair
♠5, ♣2, ♥K, ♣9, ♥2 | pair
♠5, ♣2, ♥K, ♠9, ♠K | pair
♠5, ♣2, ♥K, ♠9, ♥2 | pair
♠5, ♣2, ♥K, ♠K, ♠10 | pair
♠5, ♣2, ♥K, ♠K, ♠4 | pair
♠5, ♣2, ♥K, ♠K, ♥2 | two pairs
