♣6, ♠K, ♦5, ♣9, ♥9 | pair
♣6, ♠K, ♥7, ♣9, ♥9 | pair
♣6, ♠K, ♣9, ♥J, ♥9 | pair
♣6, ♠K, ♣9, ♥9, ♥3 | pair
♣6, ♠K, ♣9, ♥9, ♣4 | pair
♣6, ♦5, ♥7, ♣9, ♥9 | pair
♣6, ♦5, ♥7, ♥3, ♣4 | straight
♣6, ♦5, ♣9, ♥J, ♥9 | pair
♣6, ♦5, ♣9, ♥9, ♥3 | pair
♣6, ♦5, ♣9, ♥9, ♣4 | pair
♣6, ♥7, ♣9, ♥J, ♥9 | pair
♣6, ♥7, ♣9, ♥9, ♥3 | pair
♣6, ♥7, ♣9, ♥9, ♣4 | pair
♣6, ♣9, ♥J, ♥9, ♥3 | pair
♣6, ♣9, ♥J, ♥9, ♣4 | pair
♣6, ♣9, ♥9, ♥3, ♣4 | pair
♠K, ♦5, ♥7, ♣9, ♥9 | pair
♠K, ♦5, ♣9, ♥J, ♥9 | pair
♠K, ♦5, ♣9, ♥9, ♥3 | pair
♠K, ♦5, ♣9, ♥9, ♣4 | pair
♠K, ♥7, ♣9, ♥J, ♥9 | pair
♠K, ♥7, ♣9, ♥9, ♥3 | pair
♠K, ♥7, ♣9, ♥9, ♣4 | pair
♠K, ♣9, ♥J, ♥9, ♥3 | pair
♠K, ♣9, ♥J, ♥9, ♣4 | pair
♠K, ♣9, ♥9, ♥3, ♣4 | pair
♦5, ♥7, ♣9, ♥J, ♥9 | pair
♦5, ♥7, ♣9, ♥9, ♥3 | pair
♦5, ♥7, ♣9, ♥9, ♣4 | pair
♦5, ♣9, ♥J, ♥9, ♥3 | pair
♦5, ♣9, ♥J, ♥9, ♣4 | pair
♦5, ♣9, ♥9, ♥3, ♣4 | pair
♥7, ♣9, ♥J, ♥9, ♥3 | pair
♥7, ♣9, ♥J, ♥9, ♣4 | pair
♥7, ♣9, ♥9, ♥3, ♣4 | pair
♣9, ♥J, ♥9, ♥3, ♣4 | pair
