♠3,♦7,♥5,♠J,♠Q | Pair
♠3,♦7,♥5,♠J,♦A | Pair
♠3,♦7,♥5,♠J,♣5 | Pair
♠3,♦7,♥5,♠J,♦3 | Pair
♠3,♦7,♥5,♠J,♠J | Pair
♠3,♦7,♥5,♠J,♥Q | Pair
♠3,♦7,♥5,♠10,♣5 | Pair
♠3,♦7,♥5,♠10,♦3 | Pair
♠3,♦7,♥5,♠10,♦10 | Pair
♠3,♦7,♥5,♠Q,♦A | Pair
♠3,♦7,♥5,♠Q,♣5 | Pair
♠3,♦7,♥5,♠Q,♦3 | Pair
♠3,♦7,♥5,♠Q,♠J | Pair
♠3,♦7,♥5,♠Q,♥Q | Pair
♠3,♦7,♥5,♣2,♣5 | Pair
♠3,♦7,♥5,♣2,♣2 | Pair
♠3,♦7,♥5,♣2,♦3 | Pair
♠3,♦7,♥5,♦A,♣5 | Pair
♠3,♦7,♥5,♦A,♦3 | Pair
♠3,♦7,♥5,♦A,♠J | Pair
♠3,♦7,♥5,♦A,♥Q | Pair
♠3,♦7,♥5,♣5,♠8 | Pair
♠3,♦7,♥5,♣5,♣2 | Pair
♠3,♦7,♥5,♣5,♦3 | Pair
♠3,♦7,♥5,♣5,♦3 | Pair
♠3,♦7,♥5,♣5,♠J | Pair
♠3,♦7,♥5,♣5,♥Q | Pair
♠3,♦7,♥5,♣5,♦10 | Pair
♠3,♦7,♥5,♠8,♦3 | Pair
♠3,♦7,♥5,♣2,♦3 | Pair
♠3,♦7,♥5,♦3,♠J | Pair
♠3,♦7,♥5,♦3,♥Q | Pair
♠3,♦7,♥5,♦3,♦10 | Pair
♠3,♦7,♥5,♠J,♥Q | Pair
♠3,♦7,♠J,♠10,♠Q | Pair
♠3,♦7,♠J,♠10,♦A | Pair
♠3,♦7,♠J,♠10,♦3 | Pair
♠3,♦7,♠J,♠10,♠J | Pair
♠3,♦7,♠J,♠10,♥Q | Pair
♠3,♦7,♠J,♠10,♦10 | Pair
♠3,♦7,♠J,♠Q,♣2 | Pair
♠3,♦7,♠J,♠Q,♦A | Pair
♠3,♦7,♠J,♠Q,♦A | Three Of A Kind
♠3,♦7,♠J,♠Q,♣5 | Pair
♠3,♦7,♠J,♠Q,♠8 | Pair
♠3,♦7,♠J,♠Q,♣2 | Pair
♠3,♦7,♠J,♠Q,♦3 | Pair
♠3,♦7,♠J,♠Q,♦3 | Pair
♠3,♦7,♠J,♠Q,♠J | Pair
♠3,♦7,♠J,♠Q,♠J | Three Of A Kind
♠3,♦7,♠J,♠Q,♥Q | Pair
♠3,♦7,♠J,♠Q,♥Q | Three Of A Kind
♠3,♦7,♠J,♠Q,♦10 | Pair
♠3,♦7,♠J,♣2,♦A | Pair
♠3,♦7,♠J,♣2,♣2 | Pair
♠3,♦7,♠J,♣2,♦3 | Pair
♠3,♦7,♠J,♣2,♠J | Pair
♠3,♦7,♠J,♣2,♥Q | Pair
♠3,♦7,♠J,♦A,♣5 | Pair
♠3,♦7,♠J,♦A,♠8 | Pair
♠3,♦7,♠J,♦A,♣2 | Pair
♠3,♦7,♠J,♦A,♦3 | Pair
♠3,♦7,♠J,♦A,♦3 | Pair
♠3,♦7,♠J,♦A,♠J | Pair
♠3,♦7,♠J,♦A,♠J | Three Of A Kind
♠3,♦7,♠J,♦A,♥Q | Pair
♠3,♦7,♠J,♦A,♥Q | Three Of A Kind
♠3,♦7,♠J,♦A,♦10 | Pair
♠3,♦7,♠J,♣5,♦3 | Pair
♠3,♦7,♠J,♣5,♠J | Pair
♠3,♦7,♠J,♣5,♥Q | Pair
♠3,♦7,♠J,♠8,♦3 | Pair
♠3,♦7,♠J,♠8,♠J | Pair
