♣Q,♣4,♥10,♥3,♥J | Pair
♣Q,♣4,♥10,♥3,♥J | Pair
♣Q,♣4,♥10,♥3,♦J | Pair
♣Q,♣4,♥10,♥3,♦J | Pair
♣Q,♣4,♥10,♥3,♣K | Pair
♣Q,♣4,♥10,♥3,♣K | Pair
♣Q,♣4,♥10,♥3,♦3 | Pair
♣Q,♣4,♥10,♥3,♦3 | Pair
♣Q,♣4,♥10,♥J,♥9 | Pair
♣Q,♣4,♥10,♥J,♥9 | Pair
♣Q,♣4,♥10,♥J,♣2 | Pair
♣Q,♣4,♥10,♥J,♣2 | Pair
♣Q,♣4,♥10,♥J,♦J | Pair
♣Q,♣4,♥10,♥J,♦J | Three Of A Kind
♣Q,♣4,♥10,♥J,♦J | Pair
♣Q,♣4,♥10,♥J,♦J | Three Of A Kind
♣Q,♣4,♥10,♥J,♣K | Pair
♣Q,♣4,♥10,♥J,♣K | Three Of A Kind
♣Q,♣4,♥10,♥J,♣K | Pair
♣Q,♣4,♥10,♥J,♣K | Three Of A Kind
♣Q,♣4,♥10,♥J,♦3 | Pair
♣Q,♣4,♥10,♥J,♦3 | Pair
♣Q,♣4,♥10,♥J,♠5 | Pair
♣Q,♣4,♥10,♥J,♠5 | Pair
♣Q,♣4,♥10,♥9,♦J | Pair
♣Q,♣4,♥10,♥9,♦J | Pair
♣Q,♣4,♥10,♥9,♣K | Pair
♣Q,♣4,♥10,♥9,♣K | Pair
♣Q,♣4,♥10,♣2,♦J | Pair
♣Q,♣4,♥10,♣2,♦J | Pair
♣Q,♣4,♥10,♣2,♣K | Pair
♣Q,♣4,♥10,♣2,♣K | Pair
♣Q,♣4,♥10,♦J,♣K | Pair
♣Q,♣4,♥10,♦J,♣K | Three Of A Kind
♣Q,♣4,♥10,♦J,♣K | Pair
♣Q,♣4,♥10,♦J,♣K | Three Of A Kind
♣Q,♣4,♥10,♦J,♦3 | Pair
♣Q,♣4,♥10,♦J,♦3 | Pair
♣Q,♣4,♥10,♦J,♠5 | Pair
♣Q,♣4,♥10,♦J,♠5 | Pair
♣Q,♣4,♥10,♣K,♦3 | Pair
♣Q,♣4,♥10,♣K,♦3 | Pair
♣Q,♣4,♥10,♣K,♠5 | Pair
♣Q,♣4,♥10,♣K,♠5 | Pair
♣Q,♣4,♥3,♥J,♥9 | Pair
♣Q,♣4,♥3,♥J,♥9 | Pair
♣Q,♣4,♥3,♥J,♣2 | Pair
