♦7, ♠10, ♥K, ♣3, ♥3 | pair
♦7, ♠10, ♥K, ♣3, ♠7 | pair
♦7, ♠10, ♥K, ♣3, ♣10 | pair
♦7, ♠10, ♥K, ♠9, ♠7 | pair
♦7, ♠10, ♥K, ♠9, ♣10 | pair
♦7, ♠10, ♥K, ♥3, ♠7 | pair
♦7, ♠10, ♥K, ♥3, ♣10 | pair
♦7, ♠10, ♥K, ♠7, ♣A | pair
♦7, ♠10, ♥K, ♠7, ♥4 | pair
♦7, ♠10, ♥K, ♠7, ♣2 | pair
♦7, ♠10, ♥K, ♠7, ♦Q | pair
♦7, ♠10, ♥K, ♠7, ♣10 | two pairs
♦7, ♠10, ♥K, ♠7, ♠A | pair
♦7, ♠10, ♥K, ♣A, ♣10 | pair
♦7, ♠10, ♥K, ♣A, ♠A | pair
♦7, ♠10, ♥K, ♥4, ♣10 | pair
♦7, ♠10, ♥K, ♣2, ♣10 | pair
♦7, ♠10, ♥K, ♦Q, ♣10 | pair
♦7, ♠10, ♥K, ♣10, ♠A | pair
♦7, ♠10, ♣3, ♠9, ♥3 | pair
♦7, ♠10, ♣3, ♠9, ♠7 | pair
♦7, ♠10, ♣3, ♠9, ♣10 | pair
♦7, ♠10, ♣3, ♥3, ♠7 | two pairs
♦7, ♠10, ♣3, ♥3, ♣A | pair
♦7, ♠10, ♣3, ♥3, ♥4 | pair
♦7, ♠10, ♣3, ♥3, ♣2 | pair
♦7, ♠10, ♣3, ♥3, ♦Q | pair
♦7, ♠10, ♣3, ♥3, ♣10 | two pairs
♦7, ♠10, ♣3, ♥3, ♠A | pair
♦7, ♠10, ♣3, ♠7, ♣A | pair
♦7, ♠10, ♣3, ♠7, ♥4 | pair
♦7, ♠10, ♣3, ♠7, ♣2 | pair
♦7, ♠10, ♣3, ♠7, ♦Q | pair
♦7, ♠10, ♣3, ♠7, ♣10 | two pairs
♦7, ♠10, ♣3, ♠7, ♠A | pair
♦7, ♠10, ♣3, ♣A, ♣10 | pair
♦7, ♠10, ♣3, ♣A, ♠A | pair
♦7, ♠10, ♣3, ♥4, ♣10 | pair
♦7, ♠10, ♣3, ♣2, ♣10 | pair
♦7, ♠10, ♣3, ♦Q, ♣10 | pair
♦7, ♠10, ♣3, ♣10, ♠A | pair
♦7, ♠10, ♠9, ♥3, ♠7 | pair
♦7, ♠10, ♠9, ♥3, ♣10 | pair
♦7, ♠10, ♠9, ♠7, ♣A | pair
♦7, ♠10, ♠9, ♠7, ♥4 | pair
♦7, ♠10, ♠9, ♠7, ♣2 | pair
♦7, ♠10, ♠9, ♠7, ♦Q | pair
♦7, ♠10, ♠9, ♠7, ♣10 | two pairs
♦7, ♠10, ♠9, ♠7, ♠A | pair
♦7, ♠10, ♠9, ♣A, ♣10 | pair
♦7, ♠10, ♠9, ♣A, ♠A | pair
♦7, ♠10, ♠9, ♥4, ♣10 | pair
♦7, ♠10, ♠9, ♣2, ♣10 | pair
♦7, ♠10, ♠9, ♦Q, ♣10 | pair
♦7, ♠10, ♠9, ♣10, ♠A | pair
♦7, ♠10, ♥3, ♠7, ♣A | pair
♦7, ♠10, ♥3, ♠7, ♥4 | pair
♦7, ♠10, ♥3, ♠7, ♣2 | pair
♦7, ♠10, ♥3, ♠7, ♦Q | pair
♦7, ♠10, ♥3, ♠7, ♣10 | two pairs
♦7, ♠10, ♥3, ♠7, ♠A | pair
♦7, ♠10, ♥3, ♣A, ♣10 | pair
♦7, ♠10, ♥3, ♣A, ♠A | pair
♦7, ♠10, ♥3, ♥4, ♣10 | pair
♦7, ♠10, ♥3, ♣2, ♣10 | pair
♦7, ♠10, ♥3, ♦Q, ♣10 | pair
♦7, ♠10, ♥3, ♣10, ♠A | pair
♦7, ♠10, ♠7, ♣A, ♥4 | pair
♦7, ♠10, ♠7, ♣A, ♣2 | pair
♦7, ♠10, ♠7, ♣A, ♦Q | pair
♦7, ♠10, ♠7, ♣A, ♣10 | two pairs
♦7, ♠10, ♠7, ♣A, ♠A | two pairs
♦7, ♠10, ♠7, ♥4, ♣2 | pair
♦7, ♠10, ♠7, ♥4, ♦Q | pair
♦7, ♠10, ♠7, ♥4, ♣10 | two pairs
♦7, ♠10, ♠7, ♥4, ♠A | pair
♦7, ♠10, ♠7, ♣2, ♦Q | pair
♦7, ♠10, ♠7, ♣2, ♣10 | two pairs
♦7, ♠10, ♠7, ♣2, ♠A | pair
♦7, ♠10, ♠7, ♦Q, ♣10 | two pairs
♦7, ♠10, ♠7, ♦Q, ♠A | pair
♦7, ♠10, ♠7, ♣10, ♠A | two pairs
♦7, ♠10, ♣A, ♥4, ♣10 | pair
♦7, ♠10, ♣A, ♥4, ♠A | pair
♦7, ♠10, ♣A, ♣2, ♣10 | pair
♦7, ♠10, ♣A, ♣2, ♠A | pair
♦7, ♠10, ♣A, ♦Q, ♣10 | pair
♦7, ♠10, ♣A, ♦Q, ♠A | pair
♦7, ♠10, ♣A, ♣10, ♠A | two pairs
♦7, ♠10, ♥4, ♣2, ♣10 | pair
♦7, ♠10, ♥4, ♦Q, ♣10 | pair
♦7, ♠10, ♥4, ♣10, ♠A | pair
♦7, ♠10, ♣2, ♦Q, ♣10 | pair
♦7, ♠10, ♣2, ♣10, ♠A | pair
♦7, ♠10, ♦Q, ♣10, ♠A | pair
♦7, ♥K, ♣3, ♠9, ♥3 | pair
♦7, ♥K, ♣3, ♠9, ♠7 | pair
♦7, ♥K, ♣3, ♥3, ♠7 | two pairs
♦7, ♥K, ♣3, ♥3, ♣A | pair
♦7, ♥K, ♣3, ♥3, ♥4 | pair
♦7, ♥K, ♣3, ♥3, ♣2 | pair
♦7, ♥K, ♣3, ♥3, ♦Q | pair
♦7, ♥K, ♣3, ♥3, ♣10 | pair
♦7, ♥K, ♣3, ♥3, ♠A | pair
♦7, ♥K, ♣3, ♠7, ♣A | pair
♦7, ♥K, ♣3, ♠7, ♥4 | pair
♦7, ♥K, ♣3, ♠7, ♣2 | pair
♦7, ♥K, ♣3, ♠7, ♦Q | pair
♦7, ♥K, ♣3, ♠7, ♣10 | pair
♦7, ♥K, ♣3, ♠7, ♠A | pair
♦7, ♥K, ♣3, ♣A, ♠A | pair
♦7, ♥K, ♠9, ♥3, ♠7 | pair
♦7, ♥K, ♠9, ♠7, ♣A | pair
♦7, ♥K, ♠9, ♠7, ♥4 | pair
♦7, ♥K, ♠9, ♠7, ♣2 | pair
♦7, ♥K, ♠9, ♠7, ♦Q | pair
♦7, ♥K, ♠9, ♠7, ♣10 | pair
♦7, ♥K, ♠9, ♠7, ♠A | pair
♦7, ♥K, ♠9, ♣A, ♠A | pair
♦7, ♥K, ♥3, ♠7, ♣A | pair
♦7, ♥K, ♥3, ♠7, ♥4 | pair
♦7, ♥K, ♥3, ♠7, ♣2 | pair
♦7, ♥K, ♥3, ♠7, ♦Q | pair
♦7, ♥K, ♥3, ♠7, ♣10 | pair
♦7, ♥K, ♥3, ♠7, ♠A | pair
♦7, ♥K, ♥3, ♣A, ♠A | pair
♦7, ♥K, ♠7, ♣A, ♥4 | pair
♦7, ♥K, ♠7, ♣A, ♣2 | pair
♦7, ♥K, ♠7, ♣A, ♦Q | pair
♦7, ♥K, ♠7, ♣A, ♣10 | pair
♦7, ♥K, ♠7, ♣A, ♠A | two pairs
♦7, ♥K, ♠7, ♥4, ♣2 | pair
♦7, ♥K, ♠7, ♥4, ♦Q | pair
♦7, ♥K, ♠7, ♥4, ♣10 | pair
♦7, ♥K, ♠7, ♥4, ♠A | pair
♦7, ♥K, ♠7, ♣2, ♦Q | pair
♦7, ♥K, ♠7, ♣2, ♣10 | pair
♦7, ♥K, ♠7, ♣2, ♠A | pair
♦7, ♥K, ♠7, ♦Q, ♣10 | pair
♦7, ♥K, ♠7, ♦Q, ♠A | pair
♦7, ♥K, ♠7, ♣10, ♠A | pair
♦7, ♥K, ♣A, ♥4, ♠A | pair
♦7, ♥K, ♣A, ♣2, ♠A | pair
♦7, ♥K, ♣A, ♦Q, ♠A | pair
♦7, ♥K, ♣A, ♣10, ♠A | pair
♦7, ♣3, ♠9, ♥3, ♠7 | two pairs
♦7, ♣3, ♠9, ♥3, ♣A | pair
♦7, ♣3, ♠9, ♥3, ♥4 | pair
♦7, ♣3, ♠9, ♥3, ♣2 | pair
