♦K,♥J,♠3,♠K,♣J | Pair
♦K,♥J,♠3,♠K,♣J | Three Of A Kind
♦K,♥J,♠3,♠K,♣J | Four Of A Kind
♦K,♥J,♠3,♠K,♣8 | Pair
♦K,♥J,♠3,♠K,♣8 | Three Of A Kind
♦K,♥J,♠3,♠K,♠8 | Pair
♦K,♥J,♠3,♠K,♠8 | Three Of A Kind
♦K,♥J,♠3,♠K,♣4 | Pair
♦K,♥J,♠3,♠K,♣4 | Three Of A Kind
♦K,♥J,♠3,♠K,♠9 | Pair
♦K,♥J,♠3,♠K,♠9 | Three Of A Kind
♦K,♥J,♠3,♠K,♦A | Pair
♦K,♥J,♠3,♠K,♦A | Three Of A Kind
♦K,♥J,♠3,♠K,♦A | Four Of A Kind
♦K,♥J,♠3,♠K,♥3 | Pair
♦K,♥J,♠3,♠K,♥3 | Three Of A Kind
♦K,♥J,♠3,♠K,♥3 | Pair
♦K,♥J,♠3,♠K,♥8 | Pair
♦K,♥J,♠3,♠K,♥8 | Three Of A Kind
♦K,♥J,♠3,♠K,♠2 | Pair
♦K,♥J,♠3,♠K,♠2 | Three Of A Kind
♦K,♥J,♠3,♠K,♥4 | Pair
♦K,♥J,♠3,♠K,♥4 | Three Of A Kind
♦K,♥J,♠3,♠K,♠10 | Pair
♦K,♥J,♠3,♠K,♠10 | Three Of A Kind
♦K,♥J,♠3,♣J,♣8 | Pair
♦K,♥J,♠3,♣J,♣8 | Three Of A Kind
♦K,♥J,♠3,♣J,♠8 | Pair
♦K,♥J,♠3,♣J,♠8 | Three Of A Kind
♦K,♥J,♠3,♣J,♣4 | Pair
♦K,♥J,♠3,♣J,♣4 | Three Of A Kind
♦K,♥J,♠3,♣J,♠9 | Pair
♦K,♥J,♠3,♣J,♠9 | Three Of A Kind
♦K,♥J,♠3,♣J,♦A | Pair
♦K,♥J,♠3,♣J,♦A | Three Of A Kind
♦K,♥J,♠3,♣J,♦A | Four Of A Kind
♦K,♥J,♠3,♣J,♥3 | Pair
♦K,♥J,♠3,♣J,♥3 | Three Of A Kind
♦K,♥J,♠3,♣J,♥3 | Pair
♦K,♥J,♠3,♣J,♥8 | Pair
♦K,♥J,♠3,♣J,♥8 | Three Of A Kind
♦K,♥J,♠3,♣J,♠2 | Pair
♦K,♥J,♠3,♣J,♠2 | Three Of A Kind
♦K,♥J,♠3,♣J,♥4 | Pair
♦K,♥J,♠3,♣J,♥4 | Three Of A Kind
♦K,♥J,♠3,♣J,♠10 | Pair
♦K,♥J,♠3,♣J,♠10 | Three Of A Kind
