♠5,♥K,♣5,♥10,♦2 | Pair
♠5,♥K,♣5,♥10,♦2 | Pair
♠5,♥K,♣5,♥10,♥2 | Pair
♠5,♥K,♣5,♥10,♥2 | Pair
♠5,♥K,♣5,♥10,♣8 | Pair
♠5,♥K,♣5,♥10,♣8 | Pair
♠5,♥K,♣5,♥10,♣7 | Pair
♠5,♥K,♣5,♥10,♣7 | Pair
♠5,♥K,♣5,♥10,♦6 | Pair
♠5,♥K,♣5,♥10,♦6 | Pair
♠5,♥K,♣5,♥10,♦4 | Pair
♠5,♥K,♣5,♥10,♦4 | Pair
♠5,♥K,♣5,♥10,♣5 | Pair
♠5,♥K,♣5,♥10,♣5 | Three Of A Kind
♠5,♥K,♣5,♥10,♣5 | Pair
♠5,♥K,♣5,♥10,♣5 | Three Of A Kind
♠5,♥K,♣5,♥10,♦6 | Pair
♠5,♥K,♣5,♥10,♦6 | Pair
♠5,♥K,♣5,♦2,♥2 | Pair
♠5,♥K,♣5,♦2,♥2 | Pair
♠5,♥K,♣5,♦2,♥2 | Pair
♠5,♥K,♣5,♦2,♥2 | Pair
♠5,♥K,♣5,♦2,♣8 | Pair
♠5,♥K,♣5,♦2,♣8 | Pair
♠5,♥K,♣5,♦2,♣7 | Pair
♠5,♥K,♣5,♦2,♣7 | Pair
♠5,♥K,♣5,♦2,♦6 | Pair
♠5,♥K,♣5,♦2,♦6 | Pair
♠5,♥K,♣5,♦2,♦4 | Pair
♠5,♥K,♣5,♦2,♦4 | Pair
♠5,♥K,♣5,♦2,♣5 | Pair
♠5,♥K,♣5,♦2,♣5 | Three Of A Kind
♠5,♥K,♣5,♦2,♣5 | Pair
♠5,♥K,♣5,♦2,♣5 | Three Of A Kind
♠5,♥K,♣5,♦2,♦6 | Pair
♠5,♥K,♣5,♦2,♦6 | Pair
♠5,♥K,♣5,♥2,♣8 | Pair
♠5,♥K,♣5,♥2,♣8 | Pair
♠5,♥K,♣5,♥2,♣7 | Pair
♠5,♥K,♣5,♥2,♣7 | Pair
♠5,♥K,♣5,♥2,♦6 | Pair
♠5,♥K,♣5,♥2,♦6 | Pair
♠5,♥K,♣5,♥2,♦4 | Pair
♠5,♥K,♣5,♥2,♦4 | Pair
♠5,♥K,♣5,♥2,♣5 | Pair
♠5,♥K,♣5,♥2,♣5 | Three Of A Kind
♠5,♥K,♣5,♥2,♣5 | Pair
♠5,♥K,♣5,♥2,♣5 | Three Of A Kind
♠5,♥K,♣5,♥2,♦6 | Pair
♠5,♥K,♣5,♥2,♦6 | Pair
♠5,♥K,♣5,♣8,♣7 | Pair
♠5,♥K,♣5,♣8,♣7 | Pair
♠5,♥K,♣5,♣8,♦6 | Pair
♠5,♥K,♣5,♣8,♦6 | Pair
♠5,♥K,♣5,♣8,♦4 | Pair
♠5,♥K,♣5,♣8,♦4 | Pair
♠5,♥K,♣5,♣8,♣5 | Pair
♠5,♥K,♣5,♣8,♣5 | Three Of A Kind
♠5,♥K,♣5,♣8,♣5 | Pair
♠5,♥K,♣5,♣8,♣5 | Three Of A Kind
♠5,♥K,♣5,♣8,♦6 | Pair
♠5,♥K,♣5,♣8,♦6 | Pair
♠5,♥K,♣5,♣7,♦6 | Pair
♠5,♥K,♣5,♣7,♦6 | Pair
♠5,♥K,♣5,♣7,♦4 | Pair
♠5,♥K,♣5,♣7,♦4 | Pair
♠5,♥K,♣5,♣7,♣5 | Pair
♠5,♥K,♣5,♣7,♣5 | Three Of A Kind
♠5,♥K,♣5,♣7,♣5 | Pair
♠5,♥K,♣5,♣7,♣5 | Three Of A Kind
♠5,♥K,♣5,♣7,♦6 | Pair
♠5,♥K,♣5,♣7,♦6 | Pair
♠5,♥K,♣5,♦6,♦4 | Pair
♠5,♥K,♣5,♦6,♦4 | Pair
♠5,♥K,♣5,♦6,♣5 | Pair
♠5,♥K,♣5,♦6,♣5 | Three Of A Kind
♠5,♥K,♣5,♦6,♣5 | Pair
♠5,♥K,♣5,♦6,♣5 | Three Of A Kind
♠5,♥K,♣5,♦6,♦6 | Pair
♠5,♥K,♣5,♦6,♦6 | Pair
♠5,♥K,♣5,♦6,♦6 | Pair
♠5,♥K,♣5,♦6,♦6 | Pair
♠5,♥K,♣5,♦4,♣5 | Pair
♠5,♥K,♣5,♦4,♣5 | Three Of A Kind
♠5,♥K,♣5,♦4,♣5 | Pair
