♠J, ♥4, ♣4, ♣3, ♣10 | pair
♠J, ♥4, ♣4, ♣3, ♥A | pair
♠J, ♥4, ♣4, ♣3, ♣9 | pair
♠J, ♥4, ♣4, ♣3, ♠4 | three of a kind
♠J, ♥4, ♣4, ♣3, ♦8 | pair
♠J, ♥4, ♣4, ♣3, ♥6 | pair
♠J, ♥4, ♣4, ♣3, ♣2 | pair
♠J, ♥4, ♣4, ♣3, ♠7 | pair
♠J, ♥4, ♣4, ♣3, ♣A | pair
♠J, ♥4, ♣4, ♣10, ♥A | pair
♠J, ♥4, ♣4, ♣10, ♣9 | pair
♠J, ♥4, ♣4, ♣10, ♠4 | three of a kind
♠J, ♥4, ♣4, ♣10, ♦8 | pair
♠J, ♥4, ♣4, ♣10, ♥6 | pair
♠J, ♥4, ♣4, ♣10, ♣2 | pair
♠J, ♥4, ♣4, ♣10, ♠7 | pair
♠J, ♥4, ♣4, ♣10, ♣A | pair
♠J, ♥4, ♣4, ♥A, ♣9 | pair
♠J, ♥4, ♣4, ♥A, ♠4 | three of a kind
♠J, ♥4, ♣4, ♥A, ♦8 | pair
♠J, ♥4, ♣4, ♥A, ♥6 | pair
♠J, ♥4, ♣4, ♥A, ♣2 | pair
♠J, ♥4, ♣4, ♥A, ♠7 | pair
♠J, ♥4, ♣4, ♥A, ♣A | two pairs
♠J, ♥4, ♣4, ♣9, ♠4 | three of a kind
♠J, ♥4, ♣4, ♣9, ♦8 | pair
♠J, ♥4, ♣4, ♣9, ♥6 | pair
♠J, ♥4, ♣4, ♣9, ♣2 | pair
♠J, ♥4, ♣4, ♣9, ♠7 | pair
♠J, ♥4, ♣4, ♣9, ♣A | pair
♠J, ♥4, ♣4, ♠4, ♦8 | three of a kind
♠J, ♥4, ♣4, ♠4, ♥6 | three of a kind
♠J, ♥4, ♣4, ♠4, ♣2 | three of a kind
♠J, ♥4, ♣4, ♠4, ♠7 | three of a kind
♠J, ♥4, ♣4, ♠4, ♣A | three of a kind
♠J, ♥4, ♣4, ♦8, ♥6 | pair
♠J, ♥4, ♣4, ♦8, ♣2 | pair
♠J, ♥4, ♣4, ♦8, ♠7 | pair
♠J, ♥4, ♣4, ♦8, ♣A | pair
♠J, ♥4, ♣4, ♥6, ♣2 | pair
♠J, ♥4, ♣4, ♥6, ♠7 | pair
♠J, ♥4, ♣4, ♥6, ♣A | pair
♠J, ♥4, ♣4, ♣2, ♠7 | pair
♠J, ♥4, ♣4, ♣2, ♣A | pair
♠J, ♥4, ♣4, ♠7, ♣A | pair
♠J, ♥4, ♣3, ♣10, ♠4 | pair
♠J, ♥4, ♣3, ♥A, ♠4 | pair
♠J, ♥4, ♣3, ♥A, ♣A | pair
♠J, ♥4, ♣3, ♣9, ♠4 | pair
♠J, ♥4, ♣3, ♠4, ♦8 | pair
♠J, ♥4, ♣3, ♠4, ♥6 | pair
♠J, ♥4, ♣3, ♠4, ♣2 | pair
♠J, ♥4, ♣3, ♠4, ♠7 | pair
♠J, ♥4, ♣3, ♠4, ♣A | pair
♠J, ♥4, ♣10, ♥A, ♠4 | pair
♠J, ♥4, ♣10, ♥A, ♣A | pair
♠J, ♥4, ♣10, ♣9, ♠4 | pair
♠J, ♥4, ♣10, ♠4, ♦8 | pair
♠J, ♥4, ♣10, ♠4, ♥6 | pair
♠J, ♥4, ♣10, ♠4, ♣2 | pair
♠J, ♥4, ♣10, ♠4, ♠7 | pair
♠J, ♥4, ♣10, ♠4, ♣A | pair
♠J, ♥4, ♥A, ♣9, ♠4 | pair
♠J, ♥4, ♥A, ♣9, ♣A | pair
♠J, ♥4, ♥A, ♠4, ♦8 | pair
♠J, ♥4, ♥A, ♠4, ♥6 | pair
♠J, ♥4, ♥A, ♠4, ♣2 | pair
♠J, ♥4, ♥A, ♠4, ♠7 | pair
