♠A,♣2,♥8,♣Q,♦K | Pair
♠A,♣2,♥8,♣Q,♦K | Three Of A Kind
♠A,♣2,♥8,♣Q,♦K | Pair
♠A,♣2,♥8,♣Q,♦K | Three Of A Kind
♠A,♣2,♥8,♣Q,♣5 | Pair
♠A,♣2,♥8,♣Q,♣5 | Pair
♠A,♣2,♥8,♣Q,♥6 | Pair
♠A,♣2,♥8,♣Q,♥6 | Pair
♠A,♣2,♥8,♣Q,♥10 | Pair
♠A,♣2,♥8,♣Q,♥10 | Pair
♠A,♣2,♥8,♣Q,♣4 | Pair
♠A,♣2,♥8,♣Q,♣4 | Pair
♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥8,♣Q,♥K | Pair
♠A,♣2,♥8,♣Q,♥K | Three Of A Kind
♠A,♣2,♥8,♣Q,♥K | Pair
♠A,♣2,♥8,♣Q,♥K | Three Of A Kind
♠A,♣2,♥8,♣Q,♠8 | Pair
♠A,♣2,♥8,♣Q,♠8 | Pair
♠A,♣2,♥8,♣Q,♠8 | Pair
♠A,♣2,♥8,♣Q,♠8 | Pair
♠A,♣2,♥8,♣Q,♥4 | Pair
♠A,♣2,♥8,♣Q,♥4 | Pair
♠A,♣2,♥8,♣Q,♠Q | Pair
♠A,♣2,♥8,♣Q,♠Q | Three Of A Kind
♠A,♣2,♥8,♣Q,♠Q | Pair
♠A,♣2,♥8,♣Q,♠Q | Three Of A Kind
♠A,♣2,♥8,♦K,♣5 | Pair
♠A,♣2,♥8,♦K,♣5 | Pair
♠A,♣2,♥8,♦K,♥6 | Pair
♠A,♣2,♥8,♦K,♥6 | Pair
♠A,♣2,♥8,♦K,♥10 | Pair
♠A,♣2,♥8,♦K,♥10 | Pair
♠A,♣2,♥8,♦K,♣4 | Pair
♠A,♣2,♥8,♦K,♣4 | Pair
♠A,♣2,♥8,♦K,♥2 | Pair
♠A,♣2,♥8,♦K,♥2 | Pair
♠A,♣2,♥8,♦K,♥2 | Pair
♠A,♣2,♥8,♦K,♥2 | Pair
♠A,♣2,♥8,♦K,♥K | Pair
♠A,♣2,♥8,♦K,♥K | Three Of A Kind
♠A,♣2,♥8,♦K,♥K | Pair
♠A,♣2,♥8,♦K,♥K | Three Of A Kind
♠A,♣2,♥8,♦K,♠8 | Pair
♠A,♣2,♥8,♦K,♠8 | Pair
♠A,♣2,♥8,♦K,♠8 | Pair
♠A,♣2,♥8,♦K,♠8 | Pair
♠A,♣2,♥8,♦K,♥4 | Pair
♠A,♣2,♥8,♦K,♥4 | Pair
♠A,♣2,♥8,♦K,♠Q | Pair
♠A,♣2,♥8,♦K,♠Q | Three Of A Kind
♠A,♣2,♥8,♦K,♠Q | Pair
♠A,♣2,♥8,♦K,♠Q | Three Of A Kind
♠A,♣2,♥8,♣5,♥2 | Pair
♠A,♣2,♥8,♣5,♥2 | Pair
♠A,♣2,♥8,♣5,♥K | Pair
♠A,♣2,♥8,♣5,♥K | Pair
♠A,♣2,♥8,♣5,♠8 | Pair
♠A,♣2,♥8,♣5,♠8 | Pair
♠A,♣2,♥8,♣5,♠Q | Pair
♠A,♣2,♥8,♣5,♠Q | Pair
♠A,♣2,♥8,♥6,♥2 | Pair
