♠4,♠2,♥A,♠6,♦6 | Pair
♠4,♠2,♥A,♠6,♣6 | Pair
♠4,♠2,♥A,♦9,♠9 | Pair
♠4,♠2,♥A,♦6,♣6 | Pair
♠4,♠2,♠6,♥T,♦6 | Pair
♠4,♠2,♠6,♥T,♣6 | Pair
♠4,♠2,♠6,♦9,♦6 | Pair
♠4,♠2,♠6,♦9,♠9 | Pair
♠4,♠2,♠6,♦9,♣6 | Pair
♠4,♠2,♠6,♥7,♦6 | Pair
♠4,♠2,♠6,♥7,♣6 | Pair
♠4,♠2,♠6,♣3,♦6 | Pair
♠4,♠2,♠6,♣3,♣6 | Pair
♠4,♠2,♠6,♦6,♠9 | Pair
♠4,♠2,♠6,♦6,♣5 | Pair
♠4,♠2,♠6,♦6,♣6 | Full House
♠4,♠2,♠6,♦6,♥8 | Pair
♠4,♠2,♠6,♠9,♣6 | Pair
♠4,♠2,♠6,♣5,♣6 | Pair
♠4,♠2,♠6,♣6,♥8 | Pair
♠4,♠2,♥T,♦9,♠9 | Pair
♠4,♠2,♥T,♦6,♣6 | Pair
♠4,♠2,♦9,♥7,♠9 | Pair
♠4,♠2,♦9,♣3,♠9 | Pair
♠4,♠2,♦9,♦6,♠9 | Pair
♠4,♠2,♦9,♦6,♣6 | Pair
♠4,♠2,♦9,♠9,♣5 | Pair
♠4,♠2,♦9,♠9,♣6 | Pair
♠4,♠2,♦9,♠9,♥8 | Pair
♠4,♠2,♥7,♦6,♣6 | Pair
♠4,♠2,♣3,♦6,♣6 | Pair
♠4,♠2,♦6,♠9,♣6 | Pair
♠4,♠2,♦6,♣5,♣6 | Pair
♠4,♠2,♦6,♣6,♥8 | Pair
♠4,♥A,♠6,♥T,♦6 | Pair
♠4,♥A,♠6,♥T,♣6 | Pair
♠4,♥A,♠6,♦9,♦6 | Pair
♠4,♥A,♠6,♦9,♠9 | Pair
♠4,♥A,♠6,♦9,♣6 | Pair
♠4,♥A,♠6,♥7,♦6 | Pair
♠4,♥A,♠6,♥7,♣6 | Pair
♠4,♥A,♠6,♣3,♦6 | Pair
♠4,♥A,♠6,♣3,♣6 | Pair
♠4,♥A,♠6,♦6,♠9 | Pair
♠4,♥A,♠6,♦6,♣5 | Pair
♠4,♥A,♠6,♦6,♣6 | Full House
♠4,♥A,♠6,♦6,♥8 | Pair
♠4,♥A,♠6,♠9,♣6 | Pair
♠4,♥A,♠6,♣5,♣6 | Pair
♠4,♥A,♠6,♣6,♥8 | Pair
♠4,♥A,♥T,♦9,♠9 | Pair
♠4,♥A,♥T,♦6,♣6 | Pair
♠4,♥A,♦9,♥7,♠9 | Pair
♠4,♥A,♦9,♣3,♠9 | Pair
♠4,♥A,♦9,♦6,♠9 | Pair
♠4,♥A,♦9,♦6,♣6 | Pair
♠4,♥A,♦9,♠9,♣5 | Pair
♠4,♥A,♦9,♠9,♣6 | Pair
♠4,♥A,♦9,♠9,♥8 | Pair
♠4,♥A,♥7,♦6,♣6 | Pair
♠4,♥A,♣3,♦6,♣6 | Pair
♠4,♥A,♦6,♠9,♣6 | Pair
♠4,♥A,♦6,♣5,♣6 | Pair
♠4,♥A,♦6,♣6,♥8 | Pair
♠4,♠6,♥T,♦9,♦6 | Pair
♠4,♠6,♥T,♦9,♠9 | Pair
♠4,♠6,♥T,♦9,♣6 | Pair
♠4,♠6,♥T,♥7,♦6 | Pair
♠4,♠6,♥T,♥7,♣6 | Pair
♠4,♠6,♥T,♣3,♦6 | Pair
♠4,♠6,♥T,♣3,♣6 | Pair
♠4,♠6,♥T,♦6,♠9 | Pair
♠4,♠6,♥T,♦6,♣5 | Pair
♠4,♠6,♥T,♦6,♣6 | Full House
♠4,♠6,♥T,♦6,♥8 | Pair
♠4,♠6,♥T,♠9,♣6 | Pair
♠4,♠6,♥T,♣5,♣6 | Pair
♠4,♠6,♥T,♣6,♥8 | Pair
♠4,♠6,♦9,♥7,♦6 | Pair
♠4,♠6,♦9,♥7,♠9 | Pair
♠4,♠6,♦9,♥7,♣6 | Pair
♠4,♠6,♦9,♣3,♦6 | Pair
♠4,♠6,♦9,♣3,♠9 | Pair
♠4,♠6,♦9,♣3,♣6 | Pair
♠4,♠6,♦9,♦6,♠9 | Two Pairs
♠4,♠6,♦9,♦6,♣5 | Pair
♠4,♠6,♦9,♦6,♣6 | Full House
♠4,♠6,♦9,♦6,♥8 | Pair
♠4,♠6,♦9,♠9,♣5 | Pair
♠4,♠6,♦9,♠9,♣6 | Two Pairs
♠4,♠6,♦9,♠9,♥8 | Pair
♠4,♠6,♦9,♣5,♣6 | Pair
♠4,♠6,♦9,♣6,♥8 | Pair
♠4,♠6,♥7,♣3,♦6 | Pair
♠4,♠6,♥7,♣3,♣6 | Pair
♠4,♠6,♥7,♦6,♠9 | Pair
♠4,♠6,♥7,♦6,♣5 | Pair
♠4,♠6,♥7,♦6,♣6 | Full House
♠4,♠6,♥7,♦6,♥8 | Pair
♠4,♠6,♥7,♠9,♣6 | Pair
♠4,♠6,♥7,♣5,♣6 | Pair
♠4,♠6,♥7,♣6,♥8 | Pair
♠4,♠6,♣3,♦6,♠9 | Pair
♠4,♠6,♣3,♦6,♣5 | Pair
♠4,♠6,♣3,♦6,♣6 | Full House
♠4,♠6,♣3,♦6,♥8 | Pair
♠4,♠6,♣3,♠9,♣6 | Pair
♠4,♠6,♣3,♣5,♣6 | Pair
♠4,♠6,♣3,♣6,♥8 | Pair
♠4,♠6,♦6,♠9,♣5 | Pair
♠4,♠6,♦6,♠9,♣6 | Full House
♠4,♠6,♦6,♠9,♥8 | Pair
♠4,♠6,♦6,♣5,♣6 | Full House
♠4,♠6,♦6,♣5,♥8 | Pair
♠4,♠6,♦6,♣6,♥8 | Full House
♠4,♠6,♠9,♣5,♣6 | Pair
♠4,♠6,♠9,♣6,♥8 | Pair
♠4,♠6,♣5,♣6,♥8 | Pair
♠4,♥T,♦9,♥7,♠9 | Pair
♠4,♥T,♦9,♣3,♠9 | Pair
♠4,♥T,♦9,♦6,♠9 | Pair
♠4,♥T,♦9,♦6,♣6 | Pair
♠4,♥T,♦9,♠9,♣5 | Pair
♠4,♥T,♦9,♠9,♣6 | Pair
♠4,♥T,♦9,♠9,♥8 | Pair
♠4,♥T,♥7,♦6,♣6 | Pair
♠4,♥T,♣3,♦6,♣6 | Pair
♠4,♥T,♦6,♠9,♣6 | Pair
♠4,♥T,♦6,♣5,♣6 | Pair
♠4,♥T,♦6,♣6,♥8 | Pair
♠4,♦9,♥7,♣3,♠9 | Pair
♠4,♦9,♥7,♦6,♠9 | Pair
♠4,♦9,♥7,♦6,♣6 | Pair
♠4,♦9,♥7,♠9,♣5 | Pair
♠4,♦9,♥7,♠9,♣6 | Pair
♠4,♦9,♥7,♠9,♥8 | Pair
♠4,♦9,♣3,♦6,♠9 | Pair
♠4,♦9,♣3,♦6,♣6 | Pair
♠4,♦9,♣3,♠9,♣5 | Pair
♠4,♦9,♣3,♠9,♣6 | Pair
♠4,♦9,♣3,♠9,♥8 | Pair
♠4,♦9,♦6,♠9,♣5 | Pair
♠4,♦9,♦6,♠9,♣6 | Two Pairs
♠4,♦9,♦6,♠9,♥8 | Pair
♠4,♦9,♦6,♣5,♣6 | Pair
♠4,♦9,♦6,♣6,♥8 | Pair
♠4,♦9,♠9,♣5,♣6 | Pair
♠4,♦9,♠9,♣5,♥8 | Pair
♠4,♦9,♠9,♣6,♥8 | Pair
♠4,♥7,♣3,♦6,♣6 | Pair
♠4,♥7,♦6,♠9,♣6 | Pair
♠4,♥7,♦6,♣5,♣6 | Pair
♠4,♥7,♦6,♣6,♥8 | Pair
