♥8,♣4,♥7,♥K,♠8 | Pair
♥8,♣4,♥7,♥K,♥4 | Pair
♥8,♣4,♥7,♥K,♠4 | Pair
♥8,♣4,♥7,♠8,♥T | Pair
♥8,♣4,♥7,♠8,♣A | Pair
♥8,♣4,♥7,♠8,♦A | Pair
♥8,♣4,♥7,♠8,♠9 | Pair
♥8,♣4,♥7,♠8,♥4 | Two Pairs
♥8,♣4,♥7,♠8,♠3 | Pair
♥8,♣4,♥7,♠8,♠4 | Two Pairs
♥8,♣4,♥7,♠8,♥9 | Pair
♥8,♣4,♥7,♥T,♥4 | Pair
♥8,♣4,♥7,♥T,♠4 | Pair
♥8,♣4,♥7,♣A,♦A | Pair
♥8,♣4,♥7,♣A,♥4 | Pair
♥8,♣4,♥7,♣A,♠4 | Pair
♥8,♣4,♥7,♦A,♥4 | Pair
♥8,♣4,♥7,♦A,♠4 | Pair
♥8,♣4,♥7,♠9,♥4 | Pair
♥8,♣4,♥7,♠9,♠4 | Pair
♥8,♣4,♥7,♠9,♥9 | Pair
♥8,♣4,♥7,♥4,♠3 | Pair
♥8,♣4,♥7,♥4,♠4 | Full House
♥8,♣4,♥7,♥4,♥9 | Pair
♥8,♣4,♥7,♠3,♠4 | Pair
♥8,♣4,♥7,♠4,♥9 | Pair
♥8,♣4,♥K,♠8,♥T | Pair
♥8,♣4,♥K,♠8,♣A | Pair
♥8,♣4,♥K,♠8,♦A | Pair
♥8,♣4,♥K,♠8,♠9 | Pair
♥8,♣4,♥K,♠8,♥4 | Two Pairs
♥8,♣4,♥K,♠8,♠3 | Pair
♥8,♣4,♥K,♠8,♠4 | Two Pairs
♥8,♣4,♥K,♠8,♥9 | Pair
♥8,♣4,♥K,♥T,♥4 | Pair
♥8,♣4,♥K,♥T,♠4 | Pair
♥8,♣4,♥K,♣A,♦A | Pair
♥8,♣4,♥K,♣A,♥4 | Pair
♥8,♣4,♥K,♣A,♠4 | Pair
♥8,♣4,♥K,♦A,♥4 | Pair
♥8,♣4,♥K,♦A,♠4 | Pair
♥8,♣4,♥K,♠9,♥4 | Pair
♥8,♣4,♥K,♠9,♠4 | Pair
♥8,♣4,♥K,♠9,♥9 | Pair
♥8,♣4,♥K,♥4,♠3 | Pair
♥8,♣4,♥K,♥4,♠4 | Full House
♥8,♣4,♥K,♥4,♥9 | Pair
♥8,♣4,♥K,♠3,♠4 | Pair
♥8,♣4,♥K,♠4,♥9 | Pair
♥8,♣4,♠8,♥T,♣A | Pair
♥8,♣4,♠8,♥T,♦A | Pair
♥8,♣4,♠8,♥T,♠9 | Pair
