♦6,♦K,♥A,♦T,♥6 | Pair
♦6,♦K,♥A,♦T,♣A | Pair
♦6,♦K,♥A,♦T,♠6 | Pair
♦6,♦K,♥A,♥2,♠2 | Pair
♦6,♦K,♥A,♥2,♥6 | Pair
♦6,♦K,♥A,♥2,♣A | Pair
♦6,♦K,♥A,♥2,♠6 | Pair
♦6,♦K,♥A,♥7,♥6 | Pair
♦6,♦K,♥A,♥7,♣A | Pair
♦6,♦K,♥A,♥7,♠6 | Pair
♦6,♦K,♥A,♣9,♥6 | Pair
♦6,♦K,♥A,♣9,♣A | Pair
♦6,♦K,♥A,♣9,♠6 | Pair
♦6,♦K,♥A,♠2,♥6 | Pair
♦6,♦K,♥A,♠2,♣A | Pair
♦6,♦K,♥A,♠2,♠6 | Pair
♦6,♦K,♥A,♠3,♥6 | Pair
♦6,♦K,♥A,♠3,♣A | Pair
♦6,♦K,♥A,♠3,♠6 | Pair
♦6,♦K,♥A,♥6,♣A | Two Pairs
♦6,♦K,♥A,♥6,♠6 | Full House
♦6,♦K,♥A,♣A,♠6 | Two Pairs
♦6,♦K,♦T,♥2,♠2 | Pair
♦6,♦K,♦T,♥2,♥6 | Pair
♦6,♦K,♦T,♥2,♠6 | Pair
♦6,♦K,♦T,♥7,♥6 | Pair
♦6,♦K,♦T,♥7,♠6 | Pair
♦6,♦K,♦T,♣9,♥6 | Pair
♦6,♦K,♦T,♣9,♠6 | Pair
♦6,♦K,♦T,♠2,♥6 | Pair
♦6,♦K,♦T,♠2,♠6 | Pair
♦6,♦K,♦T,♠3,♥6 | Pair
♦6,♦K,♦T,♠3,♠6 | Pair
♦6,♦K,♦T,♥6,♣A | Pair
♦6,♦K,♦T,♥6,♠6 | Full House
♦6,♦K,♦T,♣A,♠6 | Pair
♦6,♦K,♥2,♥7,♠2 | Pair
♦6,♦K,♥2,♥7,♥6 | Pair
♦6,♦K,♥2,♥7,♠6 | Pair
♦6,♦K,♥2,♣9,♠2 | Pair
♦6,♦K,♥2,♣9,♥6 | Pair
♦6,♦K,♥2,♣9,♠6 | Pair
♦6,♦K,♥2,♠2,♠3 | Pair
♦6,♦K,♥2,♠2,♥6 | Two Pairs
