♣9,♥6,♥3,♠J,♦3 | Pair
♣9,♥6,♥3,♠J,♠3 | Pair
♣9,♥6,♥3,♦5,♦3 | Pair
♣9,♥6,♥3,♦5,♠3 | Pair
♣9,♥6,♥3,♦7,♦3 | Pair
♣9,♥6,♥3,♦7,♠3 | Pair
♣9,♥6,♥3,♣T,♦3 | Pair
♣9,♥6,♥3,♣T,♠3 | Pair
♣9,♥6,♥3,♦3,♠3 | Full House
♣9,♥6,♥3,♦3,♥A | Pair
♣9,♥6,♥3,♠3,♥A | Pair
♣9,♥6,♠J,♦3,♠3 | Pair
♣9,♥6,♦5,♦3,♠3 | Pair
♣9,♥6,♦7,♦3,♠3 | Pair
♣9,♥6,♣T,♦3,♠3 | Pair
♣9,♥6,♦3,♠3,♥A | Pair
♣9,♥3,♠J,♦5,♦3 | Pair
♣9,♥3,♠J,♦5,♠3 | Pair
♣9,♥3,♠J,♦7,♦3 | Pair
♣9,♥3,♠J,♦7,♠3 | Pair
♣9,♥3,♠J,♣T,♦3 | Pair
♣9,♥3,♠J,♣T,♠3 | Pair
♣9,♥3,♠J,♦3,♠3 | Full House
♣9,♥3,♠J,♦3,♥A | Pair
♣9,♥3,♠J,♠3,♥A | Pair
♣9,♥3,♦5,♦7,♦3 | Pair
♣9,♥3,♦5,♦7,♠3 | Pair
♣9,♥3,♦5,♣T,♦3 | Pair
♣9,♥3,♦5,♣T,♠3 | Pair
♣9,♥3,♦5,♦3,♠3 | Full House
♣9,♥3,♦5,♦3,♥A | Pair
♣9,♥3,♦5,♠3,♥A | Pair
♣9,♥3,♦7,♣T,♦3 | Pair
♣9,♥3,♦7,♣T,♠3 | Pair
♣9,♥3,♦7,♦3,♠3 | Full House
♣9,♥3,♦7,♦3,♥A | Pair
♣9,♥3,♦7,♠3,♥A | Pair
♣9,♥3,♣T,♦3,♠3 | Full House
♣9,♥3,♣T,♦3,♥A | Pair
♣9,♥3,♣T,♠3,♥A | Pair
♣9,♥3,♦3,♠3,♥A | Full House
♣9,♠J,♦5,♦3,♠3 | Pair
♣9,♠J,♦7,♦3,♠3 | Pair
♣9,♠J,♣T,♦3,♠3 | Pair
♣9,♠J,♦3,♠3,♥A | Pair
♣9,♦5,♦7,♦3,♠3 | Pair
♣9,♦5,♣T,♦3,♠3 | Pair
♣9,♦5,♦3,♠3,♥A | Pair
♣9,♦7,♣T,♦3,♠3 | Pair
♣9,♦7,♦3,♠3,♥A | Pair
♣9,♣T,♦3,♠3,♥A | Pair
♥6,♥3,♠J,♦5,♦3 | Pair
♥6,♥3,♠J,♦5,♠3 | Pair
♥6,♥3,♠J,♦7,♦3 | Pair
♥6,♥3,♠J,♦7,♠3 | Pair
♥6,♥3,♠J,♣T,♦3 | Pair
♥6,♥3,♠J,♣T,♠3 | Pair
♥6,♥3,♠J,♦3,♠3 | Full House
♥6,♥3,♠J,♦3,♥A | Pair
♥6,♥3,♠J,♠3,♥A | Pair
♥6,♥3,♦5,♦7,♦3 | Pair
♥6,♥3,♦5,♦7,♠3 | Pair
♥6,♥3,♦5,♣T,♦3 | Pair
♥6,♥3,♦5,♣T,♠3 | Pair
♥6,♥3,♦5,♦3,♠3 | Full House
♥6,♥3,♦5,♦3,♥A | Pair
♥6,♥3,♦5,♠3,♥A | Pair
♥6,♥3,♦7,♣T,♦3 | Pair
♥6,♥3,♦7,♣T,♠3 | Pair
♥6,♥3,♦7,♦3,♠3 | Full House
♥6,♥3,♦7,♦3,♥A | Pair
♥6,♥3,♦7,♠3,♥A | Pair
♥6,♥3,♣T,♦3,♠3 | Full House
♥6,♥3,♣T,♦3,♥A | Pair
♥6,♥3,♣T,♠3,♥A | Pair
♥6,♥3,♦3,♠3,♥A | Full House
♥6,♠J,♦5,♦3,♠3 | Pair
♥6,♠J,♦7,♦3,♠3 | Pair
♥6,♠J,♣T,♦3,♠3 | Pair
♥6,♠J,♦3,♠3,♥A | Pair
♥6,♦5,♦7,♦3,♠3 | Pair
♥6,♦5,♣T,♦3,♠3 | Pair
♥6,♦5,♦3,♠3,♥A | Pair
♥6,♦7,♣T,♦3,♠3 | Pair
♥6,♦7,♦3,♠3,♥A | Pair
