♠7,♦7,♦3,♥8,♣2 | Pair
♠7,♦7,♦3,♥8,♣7 | Full House
♠7,♦7,♦3,♥8,♦J | Pair
♠7,♦7,♦3,♥8,♠Q | Pair
♠7,♦7,♦3,♥8,♣3 | Two Pairs
♠7,♦7,♦3,♥8,♦Q | Pair
♠7,♦7,♦3,♥8,♠2 | Pair
♠7,♦7,♦3,♥8,♦T | Pair
♠7,♦7,♦3,♥8,♥4 | Pair
♠7,♦7,♦3,♥8,♣5 | Pair
♠7,♦7,♦3,♥8,♣J | Pair
♠7,♦7,♦3,♣2,♣7 | Full House
♠7,♦7,♦3,♣2,♦J | Pair
♠7,♦7,♦3,♣2,♠Q | Pair
♠7,♦7,♦3,♣2,♣3 | Two Pairs
♠7,♦7,♦3,♣2,♦Q | Pair
♠7,♦7,♦3,♣2,♠2 | Two Pairs
♠7,♦7,♦3,♣2,♦T | Pair
♠7,♦7,♦3,♣2,♥4 | Pair
♠7,♦7,♦3,♣2,♣5 | Pair
♠7,♦7,♦3,♣2,♣J | Pair
♠7,♦7,♦3,♣7,♦J | Full House
♠7,♦7,♦3,♣7,♠Q | Full House
♠7,♦7,♦3,♣7,♣3 | Full House
♠7,♦7,♦3,♣7,♦Q | Full House
♠7,♦7,♦3,♣7,♠2 | Full House
♠7,♦7,♦3,♣7,♦T | Full House
♠7,♦7,♦3,♣7,♥4 | Full House
♠7,♦7,♦3,♣7,♣5 | Full House
♠7,♦7,♦3,♣7,♣J | Full House
♠7,♦7,♦3,♦J,♠Q | Pair
♠7,♦7,♦3,♦J,♣3 | Two Pairs
♠7,♦7,♦3,♦J,♦Q | Pair
♠7,♦7,♦3,♦J,♠2 | Pair
♠7,♦7,♦3,♦J,♦T | Pair
♠7,♦7,♦3,♦J,♥4 | Pair
♠7,♦7,♦3,♦J,♣5 | Pair
♠7,♦7,♦3,♦J,♣J | Two Pairs
♠7,♦7,♦3,♠Q,♣3 | Two Pairs
♠7,♦7,♦3,♠Q,♦Q | Two Pairs
♠7,♦7,♦3,♠Q,♠2 | Pair
♠7,♦7,♦3,♠Q,♦T | Pair
♠7,♦7,♦3,♠Q,♥4 | Pair
♠7,♦7,♦3,♠Q,♣5 | Pair
♠7,♦7,♦3,♠Q,♣J | Pair
♠7,♦7,♦3,♣3,♦Q | Two Pairs
♠7,♦7,♦3,♣3,♠2 | Two Pairs
♠7,♦7,♦3,♣3,♦T | Two Pairs
♠7,♦7,♦3,♣3,♥4 | Two Pairs
♠7,♦7,♦3,♣3,♣5 | Two Pairs
♠7,♦7,♦3,♣3,♣J | Two Pairs
♠7,♦7,♦3,♦Q,♠2 | Pair
♠7,♦7,♦3,♦Q,♦T | Pair
♠7,♦7,♦3,♦Q,♥4 | Pair
♠7,♦7,♦3,♦Q,♣5 | Pair
♠7,♦7,♦3,♦Q,♣J | Pair
♠7,♦7,♦3,♠2,♦T | Pair
♠7,♦7,♦3,♠2,♥4 | Pair
♠7,♦7,♦3,♠2,♣5 | Pair
♠7,♦7,♦3,♠2,♣J | Pair
♠7,♦7,♦3,♦T,♥4 | Pair
♠7,♦7,♦3,♦T,♣5 | Pair
♠7,♦7,♦3,♦T,♣J | Pair
♠7,♦7,♦3,♥4,♣5 | Pair
♠7,♦7,♦3,♥4,♣J | Pair
♠7,♦7,♦3,♣5,♣J | Pair
♠7,♦7,♥8,♣2,♣7 | Full House
♠7,♦7,♥8,♣2,♦J | Pair
♠7,♦7,♥8,♣2,♠Q | Pair
♠7,♦7,♥8,♣2,♣3 | Pair
♠7,♦7,♥8,♣2,♦Q | Pair
♠7,♦7,♥8,♣2,♠2 | Two Pairs
♠7,♦7,♥8,♣2,♦T | Pair
♠7,♦7,♥8,♣2,♥4 | Pair
♠7,♦7,♥8,♣2,♣5 | Pair
♠7,♦7,♥8,♣2,♣J | Pair
♠7,♦7,♥8,♣7,♦J | Full House
♠7,♦7,♥8,♣7,♠Q | Full House
♠7,♦7,♥8,♣7,♣3 | Full House
♠7,♦7,♥8,♣7,♦Q | Full House
♠7,♦7,♥8,♣7,♠2 | Full House
♠7,♦7,♥8,♣7,♦T | Full House
♠7,♦7,♥8,♣7,♥4 | Full House
♠7,♦7,♥8,♣7,♣5 | Full House
♠7,♦7,♥8,♣7,♣J | Full House
♠7,♦7,♥8,♦J,♠Q | Pair
♠7,♦7,♥8,♦J,♣3 | Pair
♠7,♦7,♥8,♦J,♦Q | Pair
♠7,♦7,♥8,♦J,♠2 | Pair
♠7,♦7,♥8,♦J,♦T | Pair
♠7,♦7,♥8,♦J,♥4 | Pair
♠7,♦7,♥8,♦J,♣5 | Pair
♠7,♦7,♥8,♦J,♣J | Two Pairs
♠7,♦7,♥8,♠Q,♣3 | Pair
♠7,♦7,♥8,♠Q,♦Q | Two Pairs
♠7,♦7,♥8,♠Q,♠2 | Pair
♠7,♦7,♥8,♠Q,♦T | Pair
♠7,♦7,♥8,♠Q,♥4 | Pair
♠7,♦7,♥8,♠Q,♣5 | Pair
♠7,♦7,♥8,♠Q,♣J | Pair
♠7,♦7,♥8,♣3,♦Q | Pair
♠7,♦7,♥8,♣3,♠2 | Pair
♠7,♦7,♥8,♣3,♦T | Pair
♠7,♦7,♥8,♣3,♥4 | Pair
♠7,♦7,♥8,♣3,♣5 | Pair
♠7,♦7,♥8,♣3,♣J | Pair
♠7,♦7,♥8,♦Q,♠2 | Pair
♠7,♦7,♥8,♦Q,♦T | Pair
♠7,♦7,♥8,♦Q,♥4 | Pair
♠7,♦7,♥8,♦Q,♣5 | Pair
♠7,♦7,♥8,♦Q,♣J | Pair
♠7,♦7,♥8,♠2,♦T | Pair
♠7,♦7,♥8,♠2,♥4 | Pair
♠7,♦7,♥8,♠2,♣5 | Pair
♠7,♦7,♥8,♠2,♣J | Pair
♠7,♦7,♥8,♦T,♥4 | Pair
♠7,♦7,♥8,♦T,♣5 | Pair
♠7,♦7,♥8,♦T,♣J | Pair
♠7,♦7,♥8,♥4,♣5 | Pair
♠7,♦7,♥8,♥4,♣J | Pair
♠7,♦7,♥8,♣5,♣J | Pair
♠7,♦7,♣2,♣7,♦J | Full House
♠7,♦7,♣2,♣7,♠Q | Full House
♠7,♦7,♣2,♣7,♣3 | Full House
♠7,♦7,♣2,♣7,♦Q | Full House
♠7,♦7,♣2,♣7,♠2 | Full House
♠7,♦7,♣2,♣7,♦T | Full House
♠7,♦7,♣2,♣7,♥4 | Full House
♠7,♦7,♣2,♣7,♣5 | Full House
♠7,♦7,♣2,♣7,♣J | Full House
♠7,♦7,♣2,♦J,♠Q | Pair
♠7,♦7,♣2,♦J,♣3 | Pair
♠7,♦7,♣2,♦J,♦Q | Pair
♠7,♦7,♣2,♦J,♠2 | Two Pairs
♠7,♦7,♣2,♦J,♦T | Pair
♠7,♦7,♣2,♦J,♥4 | Pair
♠7,♦7,♣2,♦J,♣5 | Pair
♠7,♦7,♣2,♦J,♣J | Two Pairs
♠7,♦7,♣2,♠Q,♣3 | Pair
♠7,♦7,♣2,♠Q,♦Q | Two Pairs
♠7,♦7,♣2,♠Q,♠2 | Two Pairs
♠7,♦7,♣2,♠Q,♦T | Pair
