♠K,♠8,♣9,♥5,♣8 | Pair
♠K,♠8,♣9,♥5,♣5 | Pair
♠K,♠8,♣9,♣T,♣8 | Pair
♠K,♠8,♣9,♣3,♣8 | Pair
♠K,♠8,♣9,♣8,♣5 | Pair
♠K,♠8,♣9,♣8,♣6 | Pair
♠K,♠8,♥5,♣T,♣8 | Pair
♠K,♠8,♥5,♣T,♣5 | Pair
♠K,♠8,♥5,♣3,♣8 | Pair
♠K,♠8,♥5,♣3,♣5 | Pair
♠K,♠8,♥5,♣8,♣5 | Two Pairs
♠K,♠8,♥5,♣8,♣6 | Pair
♠K,♠8,♥5,♣5,♣6 | Pair
♠K,♠8,♣T,♣3,♣8 | Pair
♠K,♠8,♣T,♣8,♣5 | Pair
♠K,♠8,♣T,♣8,♣6 | Pair
♠K,♠8,♣3,♣8,♣5 | Pair
♠K,♠8,♣3,♣8,♣6 | Pair
♠K,♠8,♣8,♣5,♣6 | Pair
♠K,♣9,♥5,♣T,♣5 | Pair
♠K,♣9,♥5,♣3,♣5 | Pair
♠K,♣9,♥5,♣8,♣5 | Pair
♠K,♣9,♥5,♣5,♣6 | Pair
♠K,♥5,♣T,♣3,♣5 | Pair
♠K,♥5,♣T,♣8,♣5 | Pair
♠K,♥5,♣T,♣5,♣6 | Pair
♠K,♥5,♣3,♣8,♣5 | Pair
♠K,♥5,♣3,♣5,♣6 | Pair
♠K,♥5,♣8,♣5,♣6 | Pair
♠8,♣9,♥5,♣T,♣8 | Pair
♠8,♣9,♥5,♣T,♣5 | Pair
♠8,♣9,♥5,♣3,♣8 | Pair
♠8,♣9,♥5,♣3,♣5 | Pair
♠8,♣9,♥5,♣8,♣5 | Two Pairs
♠8,♣9,♥5,♣8,♣6 | Pair
♠8,♣9,♥5,♣5,♣6 | Pair
♠8,♣9,♣T,♣3,♣8 | Pair
♠8,♣9,♣T,♣8,♣5 | Pair
♠8,♣9,♣T,♣8,♣6 | Pair
♠8,♣9,♣3,♣8,♣5 | Pair
♠8,♣9,♣3,♣8,♣6 | Pair
♠8,♣9,♣8,♣5,♣6 | Pair
♠8,♥5,♣T,♣3,♣8 | Pair
♠8,♥5,♣T,♣3,♣5 | Pair
♠8,♥5,♣T,♣8,♣5 | Two Pairs
♠8,♥5,♣T,♣8,♣6 | Pair
♠8,♥5,♣T,♣5,♣6 | Pair
♠8,♥5,♣3,♣8,♣5 | Two Pairs
♠8,♥5,♣3,♣8,♣6 | Pair
♠8,♥5,♣3,♣5,♣6 | Pair
♠8,♥5,♣8,♣5,♣6 | Two Pairs
♠8,♣T,♣3,♣8,♣5 | Pair
♠8,♣T,♣3,♣8,♣6 | Pair
♠8,♣T,♣8,♣5,♣6 | Pair
♠8,♣3,♣8,♣5,♣6 | Pair
♣9,♥5,♣T,♣3,♣5 | Pair
♣9,♥5,♣T,♣8,♣5 | Pair
♣9,♥5,♣T,♣5,♣6 | Pair
♣9,♥5,♣3,♣8,♣5 | Pair
♣9,♥5,♣3,♣5,♣6 | Pair
♣9,♥5,♣8,♣5,♣6 | Pair
♣9,♣T,♣3,♣8,♣5 | Flush
♣9,♣T,♣3,♣8,♣6 | Flush
♣9,♣T,♣3,♣5,♣6 | Flush
♣9,♣T,♣8,♣5,♣6 | Flush
♣9,♣3,♣8,♣5,♣6 | Flush
♥5,♣T,♣3,♣8,♣5 | Pair
♥5,♣T,♣3,♣5,♣6 | Pair
♥5,♣T,♣8,♣5,♣6 | Pair
♥5,♣3,♣8,♣5,♣6 | Pair
♣T,♣3,♣8,♣5,♣6 | Flush
