♠4,♦J,♣7,♥T,♥7 | Pair
♠4,♦J,♣7,♥T,♣T | Pair
♠4,♦J,♣7,♥T,♠T | Pair
♠4,♦J,♣7,♦5,♥7 | Pair
♠4,♦J,♣7,♦6,♥7 | Pair
♠4,♦J,♣7,♥8,♥7 | Pair
♠4,♦J,♣7,♦2,♥7 | Pair
♠4,♦J,♣7,♥7,♣T | Pair
♠4,♦J,♣7,♥7,♠T | Pair
♠4,♦J,♣7,♥7,♣K | Pair
♠4,♦J,♣7,♣T,♠T | Pair
♠4,♦J,♥T,♦5,♣T | Pair
♠4,♦J,♥T,♦5,♠T | Pair
♠4,♦J,♥T,♦6,♣T | Pair
♠4,♦J,♥T,♦6,♠T | Pair
♠4,♦J,♥T,♥8,♣T | Pair
♠4,♦J,♥T,♥8,♠T | Pair
♠4,♦J,♥T,♦2,♣T | Pair
♠4,♦J,♥T,♦2,♠T | Pair
♠4,♦J,♥T,♥7,♣T | Pair
♠4,♦J,♥T,♥7,♠T | Pair
♠4,♦J,♥T,♣T,♠T | Full House
♠4,♦J,♥T,♣T,♣K | Pair
♠4,♦J,♥T,♠T,♣K | Pair
♠4,♦J,♦5,♣T,♠T | Pair
♠4,♦J,♦6,♣T,♠T | Pair
♠4,♦J,♥8,♣T,♠T | Pair
♠4,♦J,♦2,♣T,♠T | Pair
♠4,♦J,♥7,♣T,♠T | Pair
♠4,♦J,♣T,♠T,♣K | Pair
♠4,♣7,♥T,♦5,♥7 | Pair
♠4,♣7,♥T,♦5,♣T | Pair
♠4,♣7,♥T,♦5,♠T | Pair
♠4,♣7,♥T,♦6,♥7 | Pair
♠4,♣7,♥T,♦6,♣T | Pair
♠4,♣7,♥T,♦6,♠T | Pair
♠4,♣7,♥T,♥8,♥7 | Pair
♠4,♣7,♥T,♥8,♣T | Pair
♠4,♣7,♥T,♥8,♠T | Pair
♠4,♣7,♥T,♦2,♥7 | Pair
♠4,♣7,♥T,♦2,♣T | Pair
♠4,♣7,♥T,♦2,♠T | Pair
♠4,♣7,♥T,♥7,♣T | Two Pairs
♠4,♣7,♥T,♥7,♠T | Two Pairs
♠4,♣7,♥T,♥7,♣K | Pair
♠4,♣7,♥T,♣T,♠T | Full House
♠4,♣7,♥T,♣T,♣K | Pair
♠4,♣7,♥T,♠T,♣K | Pair
♠4,♣7,♦5,♦6,♥7 | Pair
♠4,♣7,♦5,♥8,♥7 | Pair
♠4,♣7,♦5,♦2,♥7 | Pair
♠4,♣7,♦5,♥7,♣T | Pair
