♦Q,♥Q,♣J,♥T,♥5 | Pair
♦Q,♥Q,♣J,♥T,♦T | Two Pairs
♦Q,♥Q,♣J,♥T,♠A | Pair
♦Q,♥Q,♣J,♥T,♣4 | Pair
♦Q,♥Q,♣J,♥T,♦3 | Pair
♦Q,♥Q,♣J,♥T,♥4 | Pair
♦Q,♥Q,♣J,♥5,♦T | Pair
♦Q,♥Q,♣J,♥5,♠A | Pair
♦Q,♥Q,♣J,♥5,♣4 | Pair
♦Q,♥Q,♣J,♥5,♦3 | Pair
♦Q,♥Q,♣J,♥5,♥4 | Pair
♦Q,♥Q,♣J,♦T,♠A | Pair
♦Q,♥Q,♣J,♦T,♣4 | Pair
♦Q,♥Q,♣J,♦T,♦3 | Pair
♦Q,♥Q,♣J,♦T,♥4 | Pair
♦Q,♥Q,♣J,♠A,♣4 | Pair
♦Q,♥Q,♣J,♠A,♦3 | Pair
♦Q,♥Q,♣J,♠A,♥4 | Pair
♦Q,♥Q,♣J,♣4,♦3 | Pair
♦Q,♥Q,♣J,♣4,♥4 | Two Pairs
♦Q,♥Q,♣J,♦3,♥4 | Pair
♦Q,♥Q,♥T,♥5,♦T | Two Pairs
♦Q,♥Q,♥T,♥5,♠A | Pair
♦Q,♥Q,♥T,♥5,♣4 | Pair
♦Q,♥Q,♥T,♥5,♦3 | Pair
♦Q,♥Q,♥T,♥5,♥4 | Pair
♦Q,♥Q,♥T,♦T,♠A | Two Pairs
♦Q,♥Q,♥T,♦T,♣4 | Two Pairs
♦Q,♥Q,♥T,♦T,♦3 | Two Pairs
♦Q,♥Q,♥T,♦T,♥4 | Two Pairs
♦Q,♥Q,♥T,♠A,♣4 | Pair
♦Q,♥Q,♥T,♠A,♦3 | Pair
♦Q,♥Q,♥T,♠A,♥4 | Pair
♦Q,♥Q,♥T,♣4,♦3 | Pair
♦Q,♥Q,♥T,♣4,♥4 | Two Pairs
♦Q,♥Q,♥T,♦3,♥4 | Pair
♦Q,♥Q,♥5,♦T,♠A | Pair
♦Q,♥Q,♥5,♦T,♣4 | Pair
♦Q,♥Q,♥5,♦T,♦3 | Pair
♦Q,♥Q,♥5,♦T,♥4 | Pair
♦Q,♥Q,♥5,♠A,♣4 | Pair
♦Q,♥Q,♥5,♠A,♦3 | Pair
♦Q,♥Q,♥5,♠A,♥4 | Pair
♦Q,♥Q,♥5,♣4,♦3 | Pair
♦Q,♥Q,♥5,♣4,♥4 | Two Pairs
♦Q,♥Q,♥5,♦3,♥4 | Pair
♦Q,♥Q,♦T,♠A,♣4 | Pair
♦Q,♥Q,♦T,♠A,♦3 | Pair
♦Q,♥Q,♦T,♠A,♥4 | Pair
♦Q,♥Q,♦T,♣4,♦3 | Pair
♦Q,♥Q,♦T,♣4,♥4 | Two Pairs
♦Q,♥Q,♦T,♦3,♥4 | Pair
♦Q,♥Q,♠A,♣4,♦3 | Pair
♦Q,♥Q,♠A,♣4,♥4 | Two Pairs
♦Q,♥Q,♠A,♦3,♥4 | Pair
♦Q,♥Q,♣4,♦3,♥4 | Two Pairs
♦Q,♣J,♥T,♥5,♦T | Pair
♦Q,♣J,♥T,♦T,♠A | Pair
♦Q,♣J,♥T,♦T,♣4 | Pair
♦Q,♣J,♥T,♦T,♦3 | Pair
♦Q,♣J,♥T,♦T,♥4 | Pair
♦Q,♣J,♥T,♣4,♥4 | Pair
♦Q,♣J,♥5,♣4,♥4 | Pair
♦Q,♣J,♦T,♣4,♥4 | Pair
♦Q,♣J,♠A,♣4,♥4 | Pair
♦Q,♣J,♣4,♦3,♥4 | Pair
♦Q,♥T,♥5,♦T,♠A | Pair
♦Q,♥T,♥5,♦T,♣4 | Pair
♦Q,♥T,♥5,♦T,♦3 | Pair
♦Q,♥T,♥5,♦T,♥4 | Pair
♦Q,♥T,♥5,♣4,♥4 | Pair
♦Q,♥T,♦T,♠A,♣4 | Pair
♦Q,♥T,♦T,♠A,♦3 | Pair
♦Q,♥T,♦T,♠A,♥4 | Pair
♦Q,♥T,♦T,♣4,♦3 | Pair
♦Q,♥T,♦T,♣4,♥4 | Two Pairs
♦Q,♥T,♦T,♦3,♥4 | Pair
♦Q,♥T,♠A,♣4,♥4 | Pair
♦Q,♥T,♣4,♦3,♥4 | Pair
♦Q,♥5,♦T,♣4,♥4 | Pair
♦Q,♥5,♠A,♣4,♥4 | Pair
♦Q,♥5,♣4,♦3,♥4 | Pair
♦Q,♦T,♠A,♣4,♥4 | Pair
♦Q,♦T,♣4,♦3,♥4 | Pair
♦Q,♠A,♣4,♦3,♥4 | Pair
♥Q,♣J,♥T,♥5,♦T | Pair
♥Q,♣J,♥T,♦T,♠A | Pair
♥Q,♣J,♥T,♦T,♣4 | Pair
♥Q,♣J,♥T,♦T,♦3 | Pair
